sp004-000001_KS_11	अभ्यर्थ्येति
sp004-000489_KS_12	निधानम् तेन विशुद्धम् पवित्रम् गिरिम् कैलासम् अभि सम्मुखम् कथञ्चित् केनापि प्रकारेण
sp004-000490_KS_12	कष्टेनेत्यर्थः
sp004-000491_KS_12	अवाततार उत्ततार
sp004-000492_KS_12	गिरीशगौरीति गिरीशस्य अभ्यर्हितत्वात् बह्वचोऽपि पूर्वनिपातः इति वा
sp004-000493_KS_12	सङ्क्रन्दन इति
sp004-000494_KS_12	अथ अनन्तरम् सङ्क्रन्दनः इन्द्रः
sp004-000495_KS_12	सङ्क्रन्दनो दुश्च्यवनः इत्यमरः
sp004-000496_KS_12	मातलिना सारथिना दत्तः आश्रयीकरणार्थम् अग्रेकृतः हस्तः यस्मै सः
sp004-000497_KS_12	अवलम्बितमातलिहस्तः सन् इत्यर्थः
sp004-000498_KS_12	मेघात्मनः मेघस्वरूपधारिणः मेघरूपात् इत्यर्थः
sp004-000499_KS_12	स्यन्दनतः रथात्
sp004-000500_KS_12	पञ्चम्यास्तसिल्
sp004-000501_KS_12	अवतीर्य उत्तीर्य शुचौ ग्रीष्मे पिपासया तृष्णया तृषेति यावत्
sp004-000502_KS_12	आकुलितः आतुरः पुरुषः अम्भो यथा जलमिव पिनाकिनः हरस्य आलयम् निलयम् उच्चचाल
sp004-000503_KS_12	उद्दिश्य चलति स्म इत्यर्थः
sp004-000504_KS_12	निकाय्यनिलयालयाः
sp004-000505_KS_12	इत्यमरः
sp004-000506_KS_12	पिपासेति अप्रत्ययात् इत्यकारप्रत्यये टाप्
sp004-000507_KS_12	अत्रापि पूर्णोपमालङ्कारः
sp004-000508_KS_12	सामान्यधर्मस्तु आकुलितत्त्वम् इति आकुलितत्त्वे निमित्तीभूतौ पिपासोपप्लवौ
sp004-000509_KS_12	अनयोः बिम्बप्रतिबिम्बभावेन सादृश्यम्
sp004-000510_KS_12	इतस्तत इति
sp004-000511_KS_12	अथ अनन्तरम् व्रजन् गच्छन् सः इन्द्रः स्फटिकाद्रिः कैलासः तस्य भूमौ पृथिव्याम्
sp004-000512_KS_12	इतस्ततः यत्र तत्र प्रतिबिम्बभाजम् प्रतिबिम्बितम् एकमपि आत्मानम् शरीरम् अनेकसङ्ख्यम् विलोकमानः पश्यन् सन्
sp004-000513_KS_12	विभोः महेश्वरस्य आस्पदम् स्थानम् आससाद प्राप
sp004-000514_KS_12	विचित्रमिति
sp004-000515_KS_12	सः इन्द्रः विचित्राः अनेकवर्णाः चञ्चन्तः दीप्यमानाः ये मणयः रत्नानि
sp004-000516_KS_12	तेषाम् तत्कर्मिकाः याः भङ्ग्यः रचनाविशेषाः तेषाम् सङ्गः सम्बन्धः यस्य
sp004-000517_KS_12	अनेकवर्णमणिखचितम् इत्यर्थः
sp004-000518_KS_12	तथा अतिचण्डम् अतिभीषणम् सौवर्णदण्डम् सुवर्णमयवेत्रम् दधता बिभ्रता नन्दिना गणेन अधिष्ठितम्
sp004-000519_KS_12	द्वारपालतया अधिश्रितम् अनङ्गशत्रोः शिवस्य सौधस्य राजसदनसम्बन्धिनः अङ्गणस्य आजिरस्य
sp004-000520_KS_12	अङ्गणम् चत्वराजिरे इत्यमरः
sp004-000521_KS_12	द्वारम् प्रतीहारम्
sp004-000522_KS_12	स्त्री द्वार्द्वारम् प्रतीहारः इत्यमरः
sp004-000523_KS_12	अध्यतिष्ठत् अधितस्थौ
sp004-000524_KS_12	अधिशीङ्स्थासाम् इति कर्मत्वम्
sp004-000525_KS_12	अन्तःप्रवेशे भगवदाज्ञानुपालनम् कुर्वन् द्वार एव तस्थौ इत्यर्थः
sp004-000526_KS_12	तत इति
sp004-000527_KS_12	ततः अनन्तरम् सः नन्दी गणः सुरेन्द्रम् इन्द्रम् सद्यः आशु प्रतिपद्य समीपम् प्राप्य
sp004-000528_KS_12	सुतराम् गौरवेण आदरेण स्वागतादिना प्रतोषयामास सन्तोषितवान्
sp004-000529_KS_12	अथ च स्वयम् गत्वा कक्षायाम् हर्म्यप्रकोष्ठे
sp004-000530_KS_12	कक्षा प्रकोष्ठे हर्म्यादेः काञ्च्याम् मध्येभ बन्धने इत्यमरः
sp004-000531_KS_12	आहितः स्थापितः हेमदण्डः सुवर्णवेत्रः येन तथोक्तः सन्
sp004-000532_KS_12	ईश्वरस्य
sp004-000533_KS_12	ईश्वरम् इत्यर्थः
sp004-000534_KS_12	सम्बन्धविवक्षायाम् षष्ठी
sp004-000535_KS_12	शशंस कथयामास
sp004-000536_KS_12	ससुरः महेन्द्रः आगत इति निवेदितवान् इत्यर्थः
sp004-000537_KS_12	भ्रूसञ्ज्ञयेति
sp004-000538_KS_12	अनेन जगताम् ईश्वरेण महेश्वरेण भ्रूसञ्ज्ञया
sp004-000539_KS_12	भ्रूकुटीचमत्कृतिसङ्केतेन इत्यर्थः
sp004-000540_KS_12	कृताभ्यनुज्ञः सुरेन्द्रागमनार्थम् कृतानुशासनः सः नन्दी गणः पुरोगः अग्रगामी सन्
sp004-000541_KS_12	तम् सुरेश्वरम् इन्द्रम् सत् शोभनम् अस्य महेश्वरस्य सदनम् गृहम् सुरैः समम् प्रवेशयामास
sp004-000542_KS_12	प्रवेशितवान् इत्यर्थः
sp004-000543_KS_12	स इति
sp004-000544_KS_12	सः सहस्रनेत्रः इन्द्रः गरिष्ठैः अतिशयेन गुरुभिः
sp004-000545_KS_12	प्रियस्थिर इत्यादिना गुरुशब्दस्य गरादेशः
sp004-000546_KS_12	अनेकैः बहुभिः विविधस्वरूपैः नानाकृतिभिः चण्डिभृङ्गिप्रमुखैः गणैः रत्नमय्याम् रत्नप्रचुरायाम्
sp004-000547_KS_12	प्राचुर्ये मयट् टिड्ढाणञ् इति ङीप्
sp004-000548_KS_12	संसदि सभायाम् अधिष्ठितम् उपविष्टम् शिवम् आलुलोके ददर्श
sp004-000549_KS_12	इह अधिशीङ् इत्याधारस्य कर्मत्वप्रसङ्गः दुर्निवारः
sp004-000550_KS_12	अत एव रत्नमयीम् सभाम् ताम् इति प्रतिष्ठितमिति वा पठनीयम्
sp004-000551_KS_12	यथास्थितविन्यासे दूषणोद्धारम् सुधियो विभावयन्त्विति
sp004-000552_KS_12	अथ त्रयोदशभिः महेश्वरम् विशिनष्टि कपर्देत्यादिभिः
sp004-000553_KS_12	कपर्दमिति
sp004-000554_KS_12	किम्भूतम् शिवम्
sp004-000555_KS_12	उद्बद्धम् भुजङ्गरज्जुभिः दृढीकृतम् उल्लसद्भिः शोभमानैः अत एव अहीनाम् इनाः
sp004-000556_KS_12	स्वामिनः तेषाम् वासुकिप्रभृति महासर्पाणाम् मूर्धसु शिरःसु यानि रत्नानि मणयः
sp004-000557_KS_12	तेषाम् अंशुभिः मयूखैः भासुरम् दीप्यमानम्
sp004-000558_KS_12	भञ्जभास इति घुरच्
sp004-000559_KS_12	उच्चैस्तरम् महान्तम् कपर्दम् जटाजूटम् दधानम् बिभ्रतम्
sp004-000560_KS_12	कपर्दोऽस्य जटाजूटः इत्यमरः
sp004-000561_KS_12	अथ एव पुनः किम्भूतम् इद्धाः प्रवृद्धाः धातवः गैरिकादयः यत्र तथाभूतम् यत्
sp004-000562_KS_12	सुमेरोः स्वर्णाद्रेः श्रृङ्गम् तस्य समत्वम् सादृश्यम् आप्तम् प्राप्तम्
sp004-000563_KS_12	बिभ्राणमिति
sp004-000564_KS_12	पुनः किम्भूतम्
sp004-000565_KS_12	उत्तुङ्गोन्नतगामिनी
sp004-000566_KS_12	उत्प्लवनरीतिगामिनी इत्यर्थः
sp004-000567_KS_12	तथाभूता तरङ्गमाला कल्लोलपङ्क्तिः यस्याः ताम् जटाजूटस्य कपर्दस्य तटम् समीपभागम् भजन्तीम्
sp004-000568_KS_12	तत्र स्थिताम् इत्यर्थः
sp004-000569_KS_12	तथा शरदभ्रवत् शरत्कालिकमेघवत् शुभ्रैः विशदैः
sp004-000570_KS_12	स्वफेनैः तस्य हरस्य उत्सङ्गम् जुषते सेवते ताम्
sp004-000571_KS_12	हराङ्कस्थिताम् इत्यर्थः
sp004-000572_KS_12	गौरीम् पार्वतीम् हसन्तीमिव उपहास्यम् कुर्वतीमिव
sp004-000573_KS_12	सापत्न्यप्रयुक्त मनःसन्तापम् हास्येन स्फुटीकुर्वाणामिव इत्युत्प्रेक्षा
sp004-000574_KS_12	गङ्गाम् बिभ्राणम् दधानम्
sp004-000575_KS_12	गङ्गेति
sp004-000576_KS_12	पुनः किम्भूतम्
sp004-000577_KS_12	गङ्गातरङ्गेषु जाह्नवीकल्लोलेषु प्रतिबिम्बितैः स्वैः आत्मभिः
sp004-000578_KS_12	शरीरैः इति यावत्
sp004-000579_KS_12	बहूभवन्तम् अनेकीभवन्तम् सुधांशुम् चन्द्रम् शिरसा मूर्ध्ना उद्वहन्तम् दधानम्
sp004-000580_KS_12	अत एव पुनः किम्भूतम्
sp004-000581_KS_12	तुषारवत् तुहिनवत् गौरैः सितैः
sp004-000582_KS_12	गौरोऽरुणे सिते पीते इति विश्वः
sp004-000583_KS_12	चलन्तः प्रसरन्तः ये मरीचिप्रचयाः किरणसङ्घाताः तैः हिमद्योतितम्
sp004-000584_KS_12	द्योतते शोभते इति सः द्योती
sp004-000585_KS_12	शोभावान् इत्यर्थः
sp004-000586_KS_12	तस्य भावः द्योतिता
sp004-000587_KS_12	द्युतिरित्यर्थः
sp004-000588_KS_12	हिमवत् हिमसङ्घातवत् द्योतिता द्युतिः यस्य तम्
sp004-000589_KS_12	पूर्वम् धवलाङ्गमपि अनेकचन्द्रशोभाभिः अधिकधवलीभूतम् इत्यर्थः
sp004-000590_KS_12	भालस्थले इति
sp004-000591_KS_12	भालस्थले ललाटदेशे एधमानम् वर्धमानम् यत् धाम तेजः तेन निमित्तेन
sp004-000592_KS_12	अधरीभूते परिभावम् उपागते रवीन्दू एव नेत्रे यस्मात्
sp004-000593_KS_12	ताभ्याम् अधिकतेजस्कम् इत्यर्थः
sp004-000594_KS_12	यद्वा
sp004-000595_KS_12	एधमानधाम अधरीभूतम् चेति पदद्वयम् तत्र एवम् व्याख्येम्
sp004-000596_KS_12	एधमानम् वर्धमानम् धाम तेजः यस्य
sp004-000597_KS_12	वर्धिष्णुतेजस्कम् इत्यर्थः
sp004-000598_KS_12	तथा उन्नतानतस्थानभेदेन अधरीभूते भालस्थनेत्रापेक्षया नीचैर्भूते रवीन्दू एव नेत्रे यस्य
sp004-000599_KS_12	तथा युगान्तकाले प्रलयकाले उचितम् परिचितम् हव्यवाहम् अग्निरूपम्
sp004-000600_KS_12	प्रलयकालिक अनलरूपम् इत्यर्थः
sp004-000601_KS_12	अत एव मीनध्वजस्य कामस्य प्लोषणम् दाहकम्
sp004-000602_KS_12	प्लुष दाहे कृत्यल्युटो बहुलम् इति कर्तरि ल्युट्
sp004-000603_KS_12	एवम्भूतम् लोचनम् आदधानम् बिभ्राणम् इत्यर्थः
sp004-000604_KS_12	महेति
sp004-000605_KS_12	पुनः किम्भूतम्
sp004-000606_KS_12	महार्हाणि बहूमूल्यानि यानि रत्नानि मणयः तैः अञ्चितयोः खचितयोः
sp004-000607_KS_12	अत एव समन्तात् सर्वतः उदारम् अधिकम् यथा स्यात् तथा स्फुरत् प्रस्फुरत् प्रभामण्डलम् कान्तिवितानम्
sp004-000608_KS_12	ययोः तथाभूतयोः कुण्डलयोः कर्णभूषणयोः छलेन कैतवेन कर्णयोः श्रवणयोः
sp004-000609_KS_12	स्थिताभ्याम् उपविष्टाभ्याम् शशिभास्कराभ्याम् चन्द्रसूर्याभ्याम् उपासितम् सेवितम्
sp004-000610_KS_12	कुण्डलविषये कैतवात् सूर्याचन्द्रमसोः आरोप्यमाणत्वात् ताद्रूप्यरूपकम् कैतवापह्नुतिश्च इत्युभयोः संसृष्टिः
sp004-000611_KS_12	स्वबद्धयेति
sp004-000612_KS_12	पुनः किम्भूतम्
sp004-000613_KS_12	परिस्फुरन्त्या परितः प्रसरन्त्या नीलस्य श्यामस्य कण्ठस्य आत्मगलस्य
sp004-000614_KS_12	महत्या कान्त्या प्रभया सुतराम् विराजमानम् शोभमानम्
sp004-000615_KS_12	कया इव इत्युत्प्रेक्षते
sp004-000616_KS_12	कुतुकेन कौतुकेन स्वस्मिन् आत्मीयकण्ठे बद्धया निहितया नीलमाणिक्यमय्या
sp004-000617_KS_12	नीलरत्नविशेषप्रचुरया गौर्याः कण्ठिक एव कण्ठ भूषयेव
sp004-000618_KS_12	कण्ठिका कण्ठभूषणम् इति मेदिनी
sp004-000619_KS_12	कालेति
sp004-000620_KS_12	पुनः किम्भूतम्
sp004-000621_KS_12	कालेन अवसानकालिकमृत्युना अर्दितानाम् पीडितानाम्
sp004-000622_KS_12	मृतानामिति यावत्
sp004-000623_KS_12	त्रिदशासुराणाम् देवदैत्यानाम् चितायाः मृतमण्डपस्य रजोभिः भस्मभिः
sp004-000624_KS_12	परितः पाण्डुरम् शुभ्रम् अङ्गम् यस्य विहितमृतमण्डप भस्मोद्धूलनम् इत्यर्थः
sp004-000625_KS_12	इह देवानाम् अमरत्वाभावः दुर्घटः
sp004-000626_KS_12	तत्र ज्ञानाभावेन निहितपदस्य कवेः प्रमादः इत्याहुः
sp004-000627_KS_12	केचित्पुनः
sp004-000628_KS_12	मनुजाऽसुराणाम् इति पाठान्तरम् कल्पयन्ति
sp004-000629_KS_12	अथ यद्यपि कालार्दितानामिति विशेषणम् उभयविशेष्यान्वयित्वेन
sp004-000630_KS_12	द्वितीयविशेष्ये विवक्षितमपि अकालार्दितत्वविशेषणस्य व्यभिचारनियमने नियमनात् निषिद्धम् भवति
sp004-000631_KS_12	तथापि प्रथमविशेष्ये लोकोपकारकतापक्षेऽपि व्यभिचरितार्थसम्भवेन विशेषणानुपयोगात्
sp004-000632_KS_12	सम्भवप्रयुक्तप्रधानभूतद्वितीयविशेष्यसम्बन्धेन प्रथमविशेष्यान्वयित्वनिरासः
sp004-000633_KS_12	एवम् च उपकार्यमनुजसहचरितत्वेन लोकोपकारकतापक्षावलम्बेन च विवक्षितार्थस्य अविवक्षितत्वात्
sp004-000634_KS_12	संहारकतापक्षे तु प्रायो गतिः अन्वेषणीया इत्यलम्
sp004-000635_KS_12	तथा महत्परिणाहि महेभस्य महतः गजस्य अजिनम् चर्म परिदधानम् इति पूर्वेण सम्बन्धः
sp004-000636_KS_12	अत एव उद्गतम् उदितम् अभ्रम् मेघः यत्र स चासौ प्रालेयशैलः
sp004-000637_KS_12	हिमवान् तस्य श्रियम् शोभाम् उद्वहन्तम् दधानम्
sp004-000638_KS_12	निदर्शनालङ्कारः
sp004-000639_KS_12	पाणीति
sp004-000640_KS_12	पुनः किम्भूतम्
sp004-000641_KS_12	पाणौ स्थितम् ब्रह्मकपालमेव पात्रम् यस्य
sp004-000642_KS_12	पाणिना ब्रह्मकरोटीपात्रम् बिभ्राणम् इत्यर्थः
sp004-000643_KS_12	पुनः किम्भूतम्
sp004-000644_KS_12	वैकुण्ठभाजापि हरिणापि निषेव्यमाणम्
sp004-000645_KS_12	सेव्यमानम् सेवनम् अत्र कादाचित्कम् नतु इदानीन्तनमेव
sp004-000646_KS_12	त्रयाणाम् अभेदस्यैव इष्टार्थकरत्वात्
sp004-000647_KS_12	एकैव मूर्तिः इति सप्तमसर्गोक्तेरिति भावः
sp004-000648_KS_12	हरापेक्षया हरेरपि लघुत्वसम्भावनया सम्भवत्येव कदाचित्सेवनम्
sp004-000649_KS_12	तथा नराणाम् अस्थिखण्डान्येव आभरणानि यस्य
sp004-000650_KS_12	हिंसाकालसंलग्न स्वशूलत्रितयास्थिकम् इत्यर्थः
sp004-000651_KS_12	तथा रणे यः अन्तः रिपूणाम् अवसानम्
sp004-000652_KS_12	तस्य मूलम् कारणम् मूलम् कारणमूल्ययोः इति मेदिनी
sp004-000653_KS_12	उच्चैः महत् त्रिशूलम् आयुधविशेषम् कलयन्तम् दधानम्
sp004-000654_KS_12	पुरातनीमिति
sp004-000655_KS_12	पुनः किम्भूतम्
sp004-000656_KS_12	मुकुटे यः इन्दुः चन्द्रः तस्मात् वर्षन् गलन् यः सुधाभरौघः
sp004-000657_KS_12	अमृतसमूहप्रवाहः तत्र यः आप्लवः स्नानम् तेन निमित्तेन लब्धसञ्ज्ञाम्
sp004-000658_KS_12	प्राप्तचेतनाम् अत एव आश्वसन्तीम् उज्जीवन्तीम्
sp004-000659_KS_12	अत एव पुनः भूयः अपि उद्गीतवेदाम् पठितश्रुतिकाम्
sp004-000660_KS_12	ब्रह्मत्वादिति भावः
sp004-000661_KS_12	पुरातनीम् प्राक्तनीम्
sp004-000662_KS_12	सायञ्चिरम् इत्यादिना पुराव्ययात् ट्युतुटौ
sp004-000663_KS_12	टित्वान्ङीप्
sp004-000664_KS_12	ब्रह्मकपालानाम् मालाम् स्रयम् कण्ठे गले वहन्तम्
sp004-000665_KS_12	दधानम् इत्यर्थः
sp004-000666_KS_12	सलीलमिति
sp004-000667_KS_12	पुनः किम्भूतम्
sp004-000668_KS_12	नवम् यत् अष्टापदम् हेम
sp004-000669_KS_12	हेमन्यष्टापदम् वरे इति मेदिनी
sp004-000670_KS_12	तस्य वल्ली लता
sp004-000671_KS_12	वल्ली तु व्रततिर्लता इत्यमरः
sp004-000672_KS_12	प्रकृत्या तु वल्लीशब्दस्य ह्रस्वत्वमेव
sp004-000673_KS_12	कृदिकारादक्तिनः इति दीर्घत्वम् तस्याः भा इव भा यस्याः
sp004-000674_KS_12	तद्वच्छोभमानया इत्यर्थः
sp004-000675_KS_12	तथा सलीलम् सक्रीडम् अङ्कस्थितया अङ्कम् आरुढया
sp004-000676_KS_12	गिरीन्द्रपुत्र्या हिमालयकन्यया परितः स्फुरन्त्या प्रसरन्तया अचिररोचिषा चलप्रभया
sp004-000677_KS_12	विद्युता शरदभ्रस्य शरत्कालिकमेघस्य खण्डम् शकलम् इव विराजमानम् शोभमानम्
sp004-000678_KS_12	महेश्वरस्य शुभ्रत्वम् भस्मोद्धूलनात् इति विवेचनीयम्
sp004-000679_KS_12	खण्डौपम्यम् च शुभ्रत्वमात्रतात्पर्येण न विरुध्यते
sp004-000680_KS_12	दृप्तेति
sp004-000681_KS_12	दृप्तः अभिमानी यः अन्धकः अन्धकासुरः तस्य प्राणानाम् हरम् अपहारकम्
sp004-000682_KS_12	तद्धननसाधनम् इत्यर्थः
sp004-000683_KS_12	तथा महासुराः त्रिपुरादयः तेषाम् याः स्त्रियः तासाम् विधवत्वम् वैधव्यम्
sp004-000684_KS_12	मृतभर्तृकत्वम् इति यावत्
sp004-000685_KS_12	तस्य हेतुम् कारणम्
sp004-000686_KS_12	महासुरविनाशकम् इत्यर्थः
sp004-000687_KS_12	तथा पुरा पूर्वम् स्मरस्य कामस्य प्लोषणम् दाहम् केलि अनायासेन करोतीति तथा
sp004-000688_KS_12	अन्यैः शिवातिरिक्तैः अगृह्यम् ग्रहीतुम् अशक्यम् पिनाकम् धनुः करेण पाणिना गृह्णन्तम् दधानम्
sp004-000689_KS_12	भद्रासनमिति
sp004-000690_KS_12	महार्हाणाम् बहुमूल्यानाम् माणिक्यानाम् विभङ्गिभिः रचनाभिः चित्रम् विचित्रम्
sp004-000691_KS_12	भद्रम् शुभम् आसनम् पट्टादिनिर्मितम् यत्र तादृशम्
sp004-000692_KS_12	बध्नन्तमिति पदम् अध्याहार्यम् भद्रासनम् आसनविशेषमिति केचिद् व्याचक्षते
sp004-000693_KS_12	तत्तु अध्याहारदोषत् योगाभ्याससमयाभावेन तदसम्भावाच्च उपेक्षणीयमिति
sp004-000694_KS_12	काञ्चनपादपीठम् सौवर्णसिंहासनम् अधिष्ठितम्
sp004-000695_KS_12	तत्र उपविष्टम् इत्यर्थः
sp004-000696_KS_12	अधिशीङ्स्थासाम् इति कर्मत्वम्
sp004-000697_KS_12	पुनश्च
sp004-000698_KS_12	चन्द्रमरीचिवत् गौरैः विशदैः चमरैः कृत्वा गणाभ्याम् कर्तृभ्याम् उद्वीज्यमानम् प्रेङ्ख्यमानम्
sp004-000699_KS_12	कर्तृद्वित्वे चमरबहुत्वम् प्रतिक्षण नूतनग्रहणात् सङ्गमनीयम्
sp004-000700_KS_12	शस्त्रास्त्रेति
sp004-000701_KS_12	शस्त्राणि धनुरादीनि
sp004-000702_KS_12	अस्त्राणि मोहनादीनि तान्येव विद्याः तासाम् अभ्यसने एव एकम् केवलम् सक्ते अनुरक्ते
sp004-000703_KS_12	तथा गणैः प्रमथप्रभृतिभिः एत्य तत्समीपम् प्राप्य
sp004-000704_KS_12	सविस्मयैः साश्चर्यैः सद्भिः सुतराम् दृष्टे
sp004-000705_KS_12	साभिलाषम् अवलोकिते इत्यर्थः
sp004-000706_KS_12	तथा स्फटिकाचलेन कैलासेन
sp004-000707_KS_12	जङ्गमात्मकेन सता इति शेषः
sp004-000708_KS_12	नीराज्यमाने
sp004-000709_KS_12	आर्तिक्येन इति शेषः
sp004-000710_KS_12	एवम्भूते कुमारे पुत्रे सानन्दम् सामोदम् निर्दिष्टा सन्निहिता दृक् दृष्टिः येन तम्
sp004-000711_KS_12	सानन्दतया कुमारम् अवलोकयन्तम् इत्यर्थः
sp004-000712_KS_12	तथाविधमिति
sp004-000713_KS_12	पुलोमपुत्री पुलोमजा शचीति यावत्
sp004-000714_KS_12	पुलोमजा शचीन्द्राणी इत्यमरः
sp004-000715_KS_12	तस्याः दयितः प्रियः पुरन्दरः
sp004-000716_KS_12	तथाविधम् पूर्वोक्तविशेषणविशिष्टम् शैलसुतायाः पार्वत्याः अधिनाथम् महेश्वरम्
sp004-000717_KS_12	निरीक्ष्य क्षणम् मुहूर्तम् क्षोभे चित्तसञ्चलने परः आसक्तः सञ्चलनेन व्याकुलः आसीत्
sp004-000718_KS_12	ननु महेश्वरदर्शनेन कथम् व्याकुलः आसीत् इति अर्थान्तरम् न्यस्यति
sp004-000719_KS_12	हि यतः धामधाम्नि तेजोराशौ कस्य मनः चेतः न क्षुभ्यति क्षोभम् प्राप्नोति
sp004-000720_KS_12	अपि तु सर्वस्यापि इत्यर्थः
sp004-000721_KS_12	विकस्वरेति
sp004-000722_KS_12	स्वर्गपतिः महेन्द्रः
sp004-000723_KS_12	विकस्वराणाम् प्रफुल्लानाम् अम्भोजानाम् कमलानाम् वनस्य श्रीरिव श्रीः
sp004-000724_KS_12	शोभा यस्य तथाभूतेन दृशाम् नेत्राणाम् सहस्रेण तम् महेश्वरम् निरीक्षमाणः विलोकमानः सन्
sp004-000725_KS_12	रोम्णाम् आलिभिः समूहैः निमित्तैः पुष्पाणाम् उत्करेण समूहेन आकीर्णः
sp004-000726_KS_12	आसमन्तात् व्याप्तः आम्रशाखी आम्रवृक्ष इव बभासे शुशुभे
sp004-000727_KS_12	उपमालङ्कारः
sp004-000728_KS_12	दृष्ट्वेति
sp004-000729_KS_12	दृशाम् सहस्रेण महेशम् शिवम् दृष्ट्वा महेन्द्रः इन्द्रः अतितराम् अतिशयम् कृतार्थः कृतकृत्यः अभूत्
sp004-000730_KS_12	अथः अनन्तरम् तत्सर्वाङ्गजातम् सर्वेषु अङ्गेषु भूतम् विरूपम् रोमाञ्चजनितवैरूप्यम्
sp004-000731_KS_12	प्रियायाः शच्याः कोपकरम् क्रोधविधायीव विवेद जज्ञे
sp004-000732_KS_12	सपत्नीसम्बन्ध जनितत्व शङ्काकुलत्वात् इति भावः
sp004-000733_KS_12	तत इति
sp004-000734_KS_12	ततः अनन्तरम्
sp004-000735_KS_12	पुरन्दरः इन्द्रः कनकाद्रेः सुमेरोः सार इव सारः वीर्यम् यस्य तम्
sp004-000736_KS_12	महाबलीयांसम् इत्यर्थः
sp004-000737_KS_12	अत एव धृतानि अस्त्राणि शस्त्राणि च येन तथा महेश्वरस्य पितुः
sp004-000738_KS_12	उपान्तिके समीपे वर्तमानम् तिष्ठन्तम् कुमारम् प्रेक्ष्य विलोक्य
sp004-000739_KS_12	शत्रोः तारकस्य जये आशाम् मनसा बबन्ध धृतवान्
sp004-000740_KS_12	एवम्भूतः अयम् कुमारः मच्छत्रून् जेष्यत्येव इति पुरन्दरस्य प्रतीतिः अभूत् इत्यर्थः
sp004-000741_KS_12	श्रीति
sp004-000742_KS_12	इतीति
sp004-000743_KS_12	अथ नन्दी गणः पुरतः सर्वेभ्यः अग्रगामितया इन्द्राधिष्ठितकक्षाम् आरभ्य
sp004-000744_KS_12	महेश्वराधिश्रितमन्दिरपर्यन्तम् अहम्पूर्विकया
sp004-000745_KS_12	बहुविधगणसुरगणावृते मध्यगतदेशे अहम्पूर्विकावलम्बेन इति तात्पर्यार्थः
sp004-000746_KS_12	प्रसादस्य इन्द्रागमनिवेदनाम् उदन्धेन अन्धकारिणा
sp004-000747_KS_12	दत्तपारितोषिकरूपस्य पात्रम् योग्यः भविष्णुः भवितुम् इच्छुः सन् एत्य
sp004-000748_KS_12	अन्तरिति शेषः
sp004-000749_KS_12	तथा कक्षाम् द्वारमभि सम्मुखम् हेमवेत्रम् सौवर्णयष्टिकाम् निधाय संस्थाप्य
sp004-000750_KS_12	इयम् वेत्रधारिणः रीतिः वर्णिता
sp004-000751_KS_12	प्रबद्धाञ्जलिः सन् स्मरारातिम् महेश्वरम्
sp004-000752_KS_12	भो श्रीयुक्तनीलकण्ठ सपार्वतीक महेश्वर
sp004-000753_KS_12	द्युपतिः इन्द्रः त्वयि भवति प्रणामावसरम् प्रणतिसमयम् प्रतीच्छन्
sp004-000754_KS_12	प्रतीक्षमाणः पुरः अग्रे अस्ति विद्यते
sp004-000755_KS_12	महेश्वरम् प्रणिनंसुः सन् बहिः आस्ते इत्यर्थः
sp004-000756_KS_12	अतः हे त्रिनेत्र भो महेश
sp004-000757_KS_12	अत्र पुरोवर्तिनि सहस्रनेत्रे इन्द्रे दृष्ट्या दर्शनेन प्रसादगुणः प्रसादविधानानुकूलो भव
sp004-000758_KS_12	आत्मीयदर्शनरूपम् प्रसादम् तदुपरि कुरु इत्यर्थः
sp004-000759_KS_12	इत्येवम्भूताम् वाचम् उवाच उक्तवान्
sp004-000760_KS_12	पुरेति
sp004-000761_KS_12	ततः अनन्तरम् निवेदनानन्तरम् त्रिलोकसेव्यः त्रैलोक्यपूजनीयः
sp004-000762_KS_12	त्रिपुरासुरस्य अरिः शत्रुः महेश्वरः सुरसङ्घेन देवसमूहेन
sp004-000763_KS_12	सेव्यम् पूज्यम् सुरेन्द्रम् इन्द्रम् पुरा प्रथमम् प्रीत्या निमित्तेन सुधासारम्
sp004-000764_KS_12	अमृततुल्यम् इत्यर्थः
sp004-000765_KS_12	निधारयति नितराम् धाराम् धारारूपम् करोति
sp004-000766_KS_12	तत्करोति इति करोत्यर्थे णिच्
sp004-000767_KS_12	सुधासारधाराम् वर्षते इत्यर्थः
sp004-000768_KS_12	एवम्भूतेनेव विलोकनेन दर्शनेन अनुजग्राह
sp004-000769_KS_12	तदुपरि अनुग्रहम् अकार्षीत् इत्यर्थः
sp004-000770_KS_12	स्वामिनाम् प्रसादपूर्वकम् अवलोकनमेव भृत्यानाम् उपरि महान् अनुग्रहः इति भावः
sp004-000771_KS_12	किरीटेति
sp004-000772_KS_12	स्वर्गे एव एकम् केवलम् वन्द्यः नमस्करणीयः देवः इन्द्रः
sp004-000773_KS_12	आनमितेन अत एव किरीटकोट्याः च्युतः अधःपतितः
sp004-000774_KS_12	पारिजातपुष्पाणाम् मन्दारकुसुमानाम् उत्करः समूहः यस्मात्
sp004-000775_KS_12	तथाभूतेन मूर्ध्ना शिरसा जगताम् एकमेव वन्द्यम् नमस्करणीयम्
sp004-000776_KS_12	एतत्सदृशः जगताम् वन्द्यतया अन्यः न विद्यते इत्यर्थः
sp004-000777_KS_12	तम् देवदेवम् महेश्वरम् प्रणनाम नमश्चक्रे
sp004-000778_KS_12	अनेकेति
