sp019-000001_lahari_2	भावना कीदृशी तस्य
sp019-000273_lahari_4	सर्वेषामपि छात्राणाम् हृदयानि कम्पितुम् आरभन्त
sp019-000274_lahari_4	सः अध्यापकः अङ्कानाम् दाने अतीव कृपणः दोषान्वेषी च
sp019-000275_lahari_4	सः किम् वदिष्यति कैः वचनैः अस्मान् निन्दिष्यतीति सर्वे कातराः आसन्
sp019-000276_lahari_4	स एकाम् पत्रिकाम् हस्तेन गृहीत्वा मम नाम तत्र लिखितम् पठित्वा एतन्नामकः छात्रः उत्तिष्ठतु इति गम्भीरम् अवदत्
sp019-000277_lahari_4	मम तु तदा प्राणैः उत्क्रान्तमिव
sp019-000278_lahari_4	प्रकम्पमानगात्रः स्विन्नमुखः अहम् कथञ्चित् उत्थितवान्
sp019-000279_lahari_4	कक्ष्यायाः सर्वेषाम् छात्राणाम् नयनानि च मयि लग्नानि
sp019-000280_lahari_4	रमा च प्रायः प्रथमवारम् माम् अपश्यत्
sp019-000281_lahari_4	अध्यापकः अवदत् त्वदीयानि उत्तराणि सर्वाणि समीचीनानि
sp019-000282_lahari_4	भाषा च निर्दोषा
sp019-000283_lahari_4	लेखनम् च स्फुटाक्षरम्
sp019-000284_lahari_4	मम सेवावधौ कदाचिदेव एतादृशी उत्तरपत्त्रिका दृष्टा
sp019-000285_lahari_4	इतःपरम् सुष्ठुतरम् अभ्यस्यताम्
sp019-000286_lahari_4	यदि पाठविषये कोऽपि सन्देहः कापि समस्या वा भवेत् आगच्छ मम समीपम्
sp019-000287_lahari_4	ऐषमः अस्माकम् विद्यालयस्य नाम त्वया उज्वलीकरणीयम्
sp019-000288_lahari_4	एवमुक्त्वा अध्यापकः उत्तरपत्रिकाम् मह्यम् अददात्
sp019-000289_lahari_4	विस्मयप्रहर्षाभ्याम् अहम् मूकः अभवम्
sp019-000290_lahari_4	ततः अध्यापकः अन्यानुद्दिश्य अब्रवीत्
sp019-000291_lahari_4	अन्यः कोऽपि छात्रः शुद्धया भाषया उत्तराणि न लिखितवान्
sp019-000292_lahari_4	विद्यार्थिनीनामपि स्थितिः न उत्तमा
sp019-000293_lahari_4	सर्वैः इतःपरम् सावधानम् अभ्यसनम् कार्यम्
sp019-000294_lahari_4	अन्यथा वर्षान्तपरीक्षायाम् फलितांशः तोषदः न भवेत्
sp019-000295_lahari_4	इत्थमुक्त्वा अध्यापकः सर्वेभ्यः उत्तरपत्रिकाः वितीर्णवान्
sp019-000296_lahari_4	मया अष्टाशीतिः अङ्काः प्राप्ताः आसन्
sp019-000297_lahari_4	न कोऽपि अन्यः षष्टेः सीमामपि अतिक्रान्तवान् आसीत्
sp019-000298_lahari_4	एवम् दिनत्रये अन्येषामपि विषयाणाम् अध्यापकाः उत्तरपत्रिकाः वितीर्णवन्तः
sp019-000299_lahari_4	गणितम् विना अन्यत्र अहमेव कक्ष्यायाम् प्रथमः आसम्
sp019-000300_lahari_4	ततः आरभ्य अध्यापकाः मम विषये आदरविशेषम् दर्शयन्ति स्म
sp019-000301_lahari_4	कक्षायाम् छात्राः सासूयम् माम् द्रष्टुम् आरभन्त
sp019-000302_lahari_4	केचित्तु कथम् अभ्यासः कर्तव्यः
sp019-000303_lahari_4	के ग्रन्थाः अवलोकनीयाः इति माम् अपृच्छन्
sp019-000304_lahari_4	परे द्युः मयि विद्यालयात् निवर्तमाने कोऽपि मधुरः स्वरः मम नाम सादरम् उदचारयत्
sp019-000305_lahari_4	अहम् पश्चात् अपश्यम् रमा सा मम नाम उच्चारितवती
sp019-000306_lahari_4	इति ज्ञात्वा स्वप्नोऽनु मायानु मतिभ्रमोऽनु इति कविवाक्यम् मया श्रुतम्
sp019-000307_lahari_4	याम् द्रष्टुम् सर्वे छात्राः आकाङ्क्षन्ति
sp019-000308_lahari_4	यस्याः स्मितमात्रम् अनुग्रहम् मन्यन्ते
sp019-000309_lahari_4	सा रमा स्वयम् माम् भाषितवती
sp019-000310_lahari_4	अहम् मुग्धः इव मूकः इव ताम् केवलम् ईक्षमाणः अतिष्ठम्
sp019-000311_lahari_4	सा अवदत् आङ्ग्लभाषायाम् अत्यधिकान् अङ्कान् प्राप्तवन्तम् भवन्तम् अभिनन्दामि
sp019-000312_lahari_4	मया अन्येषु विषयेषु पर्यप्ताः अङ्काः लब्धाः
sp019-000313_lahari_4	किन्तु भाषाविषये अहमतीव दुर्बला
sp019-000314_lahari_4	भवान् यदि कृपया मम किञ्चित् साहाय्यम् करिष्यति तर्हि परीक्षाम् उत्तरिष्यामि
sp019-000315_lahari_4	मम आनन्दस्य तदा सीमा एव नासीत्
sp019-000316_lahari_4	अवदम् महता सन्तोषेण किमपि करोमि
sp019-000317_lahari_4	कथ्यताम् किम् करवाणि इति
sp019-000318_lahari_4	मम गृहमागच्छतु भवान् मम मातापितरौ परिचाययिष्यामि
sp019-000319_lahari_4	ततः विरामदिनेषु माम् किञ्चित् आङ्ग्लभाषाम् अध्यापयतु इति रमा अब्रवीत्
sp019-000320_lahari_4	तथास्तु इति अहम् सोत्साहमवदम्
sp019-000321_lahari_4	ततः सा माम् कार्यानेन स्वगृहम् नीतवती
sp019-000322_lahari_4	तस्याः पिता उन्नतः अधिकारी
sp019-000323_lahari_4	माम् दृष्ट्वा सः नातीव सन्तुष्टः अभात्
sp019-000324_lahari_4	मम साधारणानि वस्त्राणि मदीयम् निर्धनत्वम् प्रकटयन्ति स्म खलु
sp019-000325_lahari_4	सः मामवदत्
sp019-000326_lahari_4	रमा भाषाध्ययने तव साहाय्यम् अपेक्षते
sp019-000327_lahari_4	कस्यचन अध्यापकस्य गृहम् पाठार्थम् गच्छतु इति मया सा उक्ता
sp019-000328_lahari_4	मद्वचनम् सा न शृणोति
sp019-000329_lahari_4	भवतु नाम
sp019-000330_lahari_4	सप्ताहे द्विस्त्रिः वा अत्र आगत्य आङ्ग्लपाठम् बोधय
sp019-000331_lahari_4	कियद्धनम् निरीक्षसे
sp019-000332_lahari_4	धनस्य अपेक्षा नास्ति
sp019-000333_lahari_4	पाठनेन ममापि प्रयोजनम् भवतु खलु इति अहमवदम्
sp019-000334_lahari_4	एषा मूर्खता
sp019-000335_lahari_4	प्रतिफलम् विना किमपि न करणीयम्
sp019-000336_lahari_4	प्रतिफलमदत्त्वा किमपि न स्वीकरिणीयमिति मम नीतिः
sp019-000337_lahari_4	मह्यम् यदुचितम् भाति तत् दास्यामि
sp019-000338_lahari_4	रमा यथा वर्षान्तपरिक्षायाम् उत्तीर्णा भवेत् तथा कुरु इति उक्त्वा उत्तरनिरीक्षाम् विना सः निरगच्छत्
sp019-000339_lahari_4	रमायाः माता तु सादरम् मया सह भाषित्वा खाद्यम् पेयम् च दत्त्वा सत्कृतवती
sp019-000340_lahari_4	ततः आरभ्य अहम् रमाम् आङ्ग्लभाषाम् बोधितवान्
sp019-000341_lahari_4	मदीयः छात्रवासः तस्याः गृहस्य नातिदूरे आसीत्
sp019-000342_lahari_4	अतः कापि समस्या नाभवत्
sp019-000343_lahari_4	तादृश्याः सुन्दर्याः सन्निधिः
sp019-000344_lahari_4	तया सह भाषितुम् अवसरः
sp019-000345_lahari_4	तदभिमानस्य पात्रता इति इदम् सर्वम् मयि धन्यताभावम् उत्पादयति स्म
sp019-000346_lahari_4	गतानि कतिपयानि दिनानि
sp019-000347_lahari_4	विश्वविद्यालये महान् युवजनोत्सवः सम्पन्नः
sp019-000348_lahari_4	तत्र विविधाः स्पर्धाः आयोजिताः आसन्
sp019-000349_lahari_4	आङ्ग्लचर्चास्पर्धायाम् भागम् वोढुम् मम विद्यालयस्य अहम् प्रतिनिधिः अभवम्
sp019-000350_lahari_4	स्पर्धाभवनम् छात्रैः अध्यापकैः अधिकारिभिः जनैः च पूर्णम् आसीत्
sp019-000351_lahari_4	रमा पित्रा साकम् वेदिकायाः पुरा उपविष्टा मया दृष्टा
sp019-000352_lahari_4	अपूर्वः उत्साहः मम हृदयम् आविशत्
sp019-000353_lahari_4	वक्तुम् अवसरे लब्धे स्फूर्त्यतिशयेन अहम् धाराप्रवाहरूपेण भाषितवान्
sp019-000354_lahari_4	अन्ते सर्वे सभासदः तालिकाभिः माम् अभिनन्दितवन्तः
sp019-000355_lahari_4	स्पर्धायाम् समाप्तायाम् फलितम् घोषितम् अध्यक्षवर्येण
sp019-000356_lahari_4	मया प्रथनस्थानम् लब्धम्
sp019-000357_lahari_4	तत्र उपस्थिताः मम अध्यापकाः परिचिताः अपरिचिताः च जनाः अभिनन्दनधाराम् अवर्षन्
sp019-000358_lahari_4	रमा महता सन्तोषेण माम् प्राशंसत्
sp019-000359_lahari_4	तस्याः पिता च हस्तलाघवेन माम् आनन्दयत्
sp019-000360_lahari_4	तदनन्तरम् परीक्षायै बहुधा मम सिद्धता कृता
sp019-000361_lahari_4	परीक्षायाम् उत्तमम् स्थानम् प्राप्तव्यम्
sp019-000362_lahari_4	एवम् खलु मयि रमायाः अभिमानो वर्धेत
sp019-000363_lahari_4	क्रमेण अभिमानः अनुरागरूपम् धारयेत्
sp019-000364_lahari_4	इति विविधान् स्वप्नान् द्रष्टुम् अहम् आरब्धवान्
sp019-000365_lahari_4	महता श्रमेण सर्वम् बुद्धौ धारयन् परीक्षायाम् उत्तराणि लिखितवान्
sp019-000366_lahari_4	परीक्षानन्तरम् नगरात् अहम् ग्रामम् स्वीयम् गतः
sp019-000367_lahari_4	तत्र बन्धवः बाल्यसुहृदः हितैषिणः इति बहवः दृष्टाः
sp019-000368_lahari_4	सर्वे मयि स्नेहम् अदर्शयन्
sp019-000369_lahari_4	माता वात्सल्यवृष्टिम् अस्रावयत्
sp019-000370_lahari_4	किन्तु सदा मम मनस्तु रमामेव लक्षीकृत्य चिन्तामग्नम् भवति स्म
sp019-000371_lahari_4	गते मासद्वये परिक्षा फलितांशः प्रकटितः
sp019-000372_lahari_4	अहम् मम विद्याशालायाः प्रथमः
sp019-000373_lahari_4	राज्यस्य छात्रसमूहे दशमः इति पत्रिकासु वार्ता प्रकटिता
sp019-000374_lahari_4	मम आनन्दस्य मितिरेव न आसीत्
sp019-000375_lahari_4	रमा च प्रथमवर्गे उत्तीर्णताम् प्राप्तवती
sp019-000376_lahari_4	ग्रामात् नगरम् प्रति शीघ्रम् गतः अहम् विद्यालयम् अगच्छम्
sp019-000377_lahari_4	तत्र अध्यापकाः सुहृदः च स्वसन्तोषम् प्राकटयन्
sp019-000378_lahari_4	रमा द्रष्टव्या सा नितान्तम् सन्तुष्टा भवति
sp019-000379_lahari_4	तस्याः पिता च मयि आदरम् दर्शयति इति मया बहु निरीक्षितम्
sp019-000380_lahari_4	आशु तद्गृहम् गत्वा द्वारस्थाम् घण्टिकाम् अवादयम्
sp019-000381_lahari_4	यदा द्वारम् अपावृतम् तदा कापि अपरिचिता महिला दृष्टा
sp019-000382_lahari_4	को भवान् किमपेक्षितम् इति सा अपृच्छत्
sp019-000383_lahari_4	रमाम् द्रष्टुमागतः सा किम् गृहे नास्ति इति अहम् अपृच्छम्
sp019-000384_lahari_4	का रमा इति सा महिला पुनः अपृच्छत्
sp019-000385_lahari_4	रमायाः पितुः नाम उक्त्वा तस्य सुता रमा मया द्रष्टव्या इति अहमवदम्
sp019-000386_lahari_4	सा महिला ईषत् स्मितम् कृत्वा तस्य महाशयस्य स्थानपरिवर्तनमभवत्
sp019-000387_lahari_4	उत्तरप्रदेशे क्वापि तस्य उद्योगः
sp019-000388_lahari_4	मासात् प्राक् एव ते सर्वे गताः इति अस्माभिः श्रुतम्
sp019-000389_lahari_4	वयम् सम्प्रति अत्र निवसामः इति उक्तवती
sp019-000390_lahari_4	मम उत्साहः सहसा शून्यताम् प्रापत्
sp019-000391_lahari_4	निर्विण्णः छात्रावासम् अगच्छम्
sp019-000392_lahari_4	जीवनमेव निरर्थकम् इति भावना मम अबाधत
sp019-000393_lahari_4	रमा क्व वर्तते किम् करोति
sp019-000394_lahari_4	माम् स्मरति वा इति ज्ञातुम् मया कृताः प्रयत्नाः विफलाः अभवन्
sp019-000395_lahari_4	कथञ्चिद् विद्याभ्यासम् अनुवर्तितवान्
sp019-000396_lahari_4	पदवी च लब्धा क्वचिद् उद्योगः अपि लब्धः
sp019-000397_lahari_4	किन्तु जीवने उत्साहस्रोतः न आसीत्
sp019-000398_lahari_4	न मृतः इति हेतोः जीवितः आसम्
sp019-000399_lahari_4	रुचिस्तु कस्मिन् अपि कर्मणि विनोदे वा न अवशिष्टा
sp019-000400_lahari_4	रमा भूलोकस्य अप्सरायमाणा क्वापि वर्तते
sp019-000401_lahari_4	ताम् द्रष्टुमपि अहम् न शक्नोमि
sp019-000402_lahari_4	मम जीवितेन किम् प्रयोजनम् इति मे चिन्ता अनुस्यूता
sp019-000403_lahari_4	बन्धवः विवाहविषये माम् पीडयितुम् आरभन्त
sp019-000404_lahari_4	कांश्चन मृदुवचनैः कांश्चन कठिनवचनैः कांश्चन मिथ्याकारणकथनैः च अहम् निवारितवान्
sp019-000405_lahari_4	तथापि माता माम् निर्बध्नाति स्म
sp019-000406_lahari_4	परम् तु याम् कामपि कन्याम् दृष्ट्वा रमया सह ताम् अहम् तोलयामि स्म
sp019-000407_lahari_4	रत्नस्य समीपे स्थिताः पाषाणखण्डाः यथा अवज्ञाम् उत्पादयन्ति
sp019-000408_lahari_4	तथा एताः कन्यकाः मयि अनादरम् उत्पादयन्ति इति अहम् मातरमवदम्
sp019-000409_lahari_4	एवमपि मातुः निर्बन्धः दिने दिने अधिकः अभवत्
sp019-000410_lahari_4	बन्धूनाम् पुरतः सा रोदिति
sp019-000411_lahari_4	मम सुतः कयापि मोहिन्या वशीकृतः
sp019-000412_lahari_4	सः कामपि नेच्छति इति निश्चित्य माता मोहिनीपीडानिवारणाय नवग्रहपूजाम् कारितवती
sp019-000413_lahari_4	मम सहनायाः सीमा भग्ना
sp019-000414_lahari_4	भवति याम् कन्याम् दर्शयेत् ताम् परिणेष्यामि
sp019-000415_lahari_4	सा कुरूपा वा स्यात् अन्धा वा बधिरा वा इति सा कोपमवदन्
sp019-000416_lahari_4	तावदेव अलमिति माता कमपि कन्यापितरम् याचित्वा सुशीला नाम्नीम् कन्यामदर्शयत्
sp019-000417_lahari_4	सा कीदृशी इत्यपि मया न विचारितम्
sp019-000418_lahari_4	उत्सववृषभवत् अहम् शिरः आन्दोलितवान्
sp019-000419_lahari_4	मम विवाहः मातुः इच्छानुसारेण सम्पन्नः
sp019-000420_lahari_4	सुशीलाय मम कापि आसक्तिः नासीत्
sp019-000421_lahari_4	प्रीतेः कथा तु दूरे
sp019-000422_lahari_4	तस्याम् कदाचित् अनुकम्पा उत्पद्यते स्म सा मुग्धा
sp019-000423_lahari_4	मम पूर्वकथाम् न जानाति स्म
sp019-000424_lahari_4	माम् आक्रष्टुम् विविधानि वस्त्राणि धरति स्म
sp019-000425_lahari_4	पुष्पाणि आमुच्य मम पुरतः स्थित्वा किम् एतानि पुष्पाणि ते रोचन्ते इत्यादि वदति स्म
sp019-000426_lahari_4	मम तु तदा कोपोद्रेकः भवति स्म
sp019-000427_lahari_4	इयम् पुष्पाणि आमुञ्चतु प्रसाधनम् करोतु आभरणानि धारयतु सर्वम् करोतु
sp019-000428_lahari_4	किम् रमायाः पादकनिष्ठिकाम् स्प्रष्टुमपि शक्नोति इति मम मनसि भावना भवति स्म
sp019-000429_lahari_5	रक्ताभ्याम् नयनाभ्याम् तान् दृष्ट्वा दूरे तिष्ठ
sp019-000430_lahari_5	मया सह सम्भाषणम् मा कुरु इति एकदा ताम् निर्भर्त्सितवान्
sp019-000431_lahari_5	सा अश्रूणि श्रावयन्ती प्रकोष्ठम् प्रविश्य रोदितुम् आरभत
sp019-000432_lahari_5	एतेन मम मातुः महती खिन्नता जाता
sp019-000433_lahari_5	सा माम् आहूय अरे किमिदम् क्रियते त्वया
sp019-000434_lahari_5	सुशीलायाः कः अपराधः
sp019-000435_lahari_5	किमर्थम् ताम् तीक्ष्णाभिः वाग्भिः तुदसि
sp019-000436_lahari_5	पतिः माम् कामयताम् तस्य सन्तोषम् उत्पादयेयम् इति पत्नी यदि इच्छति तत्र दोषः कः
sp019-000437_lahari_5	कामपि त्रिपुरसुन्दरीम् पुरा दृष्टवान् स्यात्
sp019-000438_lahari_5	तावता किम्
sp019-000439_lahari_5	सा न लब्धा खलु
sp019-000440_lahari_5	इयम् सुशीला न कुरूपा
sp019-000441_lahari_5	सदा भक्त्या तव सेवाम् करोति
sp019-000442_lahari_5	तव इष्टम् साधयितुम् श्राम्यति
sp019-000443_lahari_5	एताम् अनादृत्य स्वप्नसुन्दर्याः ध्यानेन कालम् व्यापयसि
sp019-000444_lahari_5	किम् त्वम् न मूर्खः इति माम् अगर्हत
sp019-000445_lahari_5	अम्ब किम् करोमि
sp019-000446_lahari_5	मयूरम् दृष्टवन्तः काकम् चटकम् वा किम् द्रष्टुम् इच्छन्ति
sp019-000447_lahari_5	तव निर्बन्धेन अस्याः कण्ठे माङ्गल्यम् अधारयम्
sp019-000448_lahari_5	किन्तु स्वप्नेऽपि एनाम् नेच्छामि
sp019-000449_lahari_5	किमहम् करवाणि इति अहम् मदीयाम् स्थितिम् निवेदितवान्
sp019-000450_lahari_5	न जाने तव मनसि स्थिता कीदृशी इति
sp019-000451_lahari_5	मया तु पापमेव आचरितम्
sp019-000452_lahari_5	अस्याः मुग्धायाः त्वया सम्बन्धम् विधाप्य
sp019-000453_lahari_5	इदमीयम् जीवनमेव निष्फलम् कृतम्
sp019-000454_lahari_5	इति माता दुःखम् प्राकटयत्
sp019-000455_lahari_5	एवम् वर्षद्वयम् व्यतीतम्
sp019-000456_lahari_5	सुशीलायाः विषये मम व्यवहारः तु समानः एव आसीत्
sp019-000457_lahari_5	कर्मसिद्धान्ते सविश्वासा सा
sp019-000458_lahari_5	मम भाग्यम् एतावदेव इति निश्चित्य यन्त्रवत् जीवनम् यापयति स्म
sp019-000459_lahari_5	दिल्लीनगरे काचिद् विद्वद्गोष्ठी अस्ति
sp019-000460_lahari_5	आगन्तव्यम् इति आह्वानम् लब्धम् मया
sp019-000461_lahari_5	अनेकेषाम् विदुषाम् दर्शनस्य अवसरः न त्यक्तव्यः इति तत्र गन्तुम् निश्चयम् कृतवान् अहम्
sp019-000462_lahari_5	विमानेन दिल्लीम् अगच्छम्
sp019-000463_lahari_5	विद्वद्गोष्ठ्यः अनन्तरम् विपणौ किञ्चित् क्रेतुम् इच्छुः तत्र अटितवान्
sp019-000464_lahari_5	तदा सहसा रमायाः पिता मया दृष्टः
sp019-000465_lahari_5	आशु तत्समीपम् गत्वा महाशय नमस्ते
sp019-000466_lahari_5	अपि अयम् जनः स्मर्यते इति प्रश्नम् कृतवान्
sp019-000467_lahari_5	सह माम् दीर्घम् निरीक्ष्य आम् इदानी स्मरामि
sp019-000468_lahari_5	भवान् न रमायाः आङ्ग्लाध्यापकः
sp019-000469_lahari_5	कथम् अत्र भवद्दर्शनम्
sp019-000470_lahari_5	अपि कुशली भवान् इति योगक्षेमम् विचारितवान्
sp019-000471_lahari_5	मदीयम् कुशलम् निवेद्य अहम् पृष्टवान्
sp019-000472_lahari_5	कथम् वर्तते रमा कुत्र वर्तते सा इति
sp019-000473_lahari_5	रमायाः पिता अवाङ्मुखः अभूत्
sp019-000474_lahari_5	दीर्घम् निःश्वस्य नेत्रे प्रमृज्य सः सगद्गदम् अभाषत
sp019-000475_lahari_5	दुःखमयी तस्याः स्थितिः
sp019-000476_lahari_5	कैः शब्दैः निवेदिनीयमिति न जानामि
sp019-000477_lahari_5	मम हृदयम् धड् धड् इति शब्दायते स्म
sp019-000478_lahari_5	रमायाः किमपि कष्टम् भवति दुःखम् भवति इति चिन्ता एव माम् सातङ्कम् अकरोत्
sp019-000479_lahari_5	आगच्छतु अत्र पानीयगृहे उपविश्य किञ्चित् शीतलम् पेयम् पीत्वा विचारान् निवेदयतु
sp019-000480_lahari_5	स्तम्भयतु भवान् दुःखावेगम् इति उक्त्वा अहम् तम् पानीयगृहस्य पीठे उपवेशितवान्
sp019-000481_lahari_5	सेवकमाहूय पानीयचषकद्वयम् आनेतुम् आदिशम्
sp019-000482_lahari_5	सः आनयत्
sp019-000483_lahari_5	मन्दमन्दम् पानीयम् निपीय रमायाः पिता अवदत्
sp019-000484_lahari_5	मम सुता मदीयम् सर्वस्वम् किन्तु भगवान् मयि कृपाम् न दर्शितवान्
sp019-000485_lahari_5	दत्त्वा तादृशीम् सुताम् तस्यै हि अवर्णनीयम् क्लेशम् दत्त्वा माम् दुःखाम्बुधौ निमज्जितवान्
sp019-000486_lahari_5	किम् जातमिति स्पष्टम् कथयतु भवान्
sp019-000487_lahari_5	अस्पष्टानि वाक्यानि मे भीतिम् वर्धयन्ति इति अहमवोचम्
sp019-000488_lahari_5	कथयामि अचिकित्स्येन अर्बुदरोगेण सा पीडिता
sp019-000489_lahari_5	तस्याः चिकित्सायै भूयिष्ठम् धनम् मया व्ययितम् भूयांसः श्रेयांसः वैद्याः प्रार्थिताः
sp019-000490_lahari_5	सर्वेषाम् देवानाम् अर्चना कृता सर्वम् निष्फलम्
sp019-000491_lahari_5	सा जीवन्ती अपि मृता इव गृहे अस्ति
sp019-000492_lahari_5	ताम् दर्शम् दर्शम् मम भार्या अश्रूणि प्रवाहयति
sp019-000493_lahari_5	मयि कस्माद् भगवतः क्रोधः इति न जानामि
sp019-000494_lahari_5	इति कथयन् हस्तयुग्मावृतमुखः सः अशूणि अमुञ्चत्
sp019-000495_lahari_5	यदि भवान् अनुमन्यते तर्हि सकृत् रमाम् द्रष्टुमिच्छामि इति मया उक्तम्
sp019-000496_lahari_5	आगच्छ गच्छाव इति उक्त्वा सः उदतिष्ठत्
sp019-000497_lahari_5	पानीयस्य मूल्यम् दत्त्वा अहम् तम् अन्वसरम्
sp019-000498_lahari_5	त्रिचक्रिकया आवाम् तद्गृहम् गतौ
sp019-000499_lahari_5	प्रथमम् रमायाः माता दृष्टा
sp019-000500_lahari_5	तस्यै प्रणामम् कृत्वा ततः रमायाः प्रकोष्ठम् प्रविष्टवन्तौ
sp019-000501_lahari_5	रमा शववत् सुप्ता पित्रा जागरिता
sp019-000502_lahari_5	दुर्बलाभ्याम् कान्तिहीनाभ्याम् नेत्राभ्याम् सा माम् अपश्यत्
sp019-000503_lahari_5	यदा मम स्मरणम् जातम् तयोः नेत्रयोः तदा कान्तिकणिका जाता
sp019-000504_lahari_5	क्षीणेनापि स्नेहपूर्णेन स्वरेण सा अपि कुशलम्
sp019-000505_lahari_5	कदा कथम् आगतः
sp019-000506_lahari_5	मम पिता भवता कथम् मिलितः
sp019-000507_lahari_5	लोकान्तरगमनात् प्राक् भवतः दर्शनम् स्यात् इति मया न निरीक्षितम्
sp019-000508_lahari_5	एतावत्तु भगवता अनुगृहीतम् इति अवदत्
sp019-000509_lahari_5	मम नेत्रयोः अश्रूणि निर्गतानि
sp019-000510_lahari_5	तानि करवस्त्रेण प्रमृज्य अहम् अवदम्
sp019-000511_lahari_5	रमे अहम् तु कुशली
sp019-000512_lahari_5	कार्यान्तरेण दिल्लीमागतः
sp019-000513_lahari_5	आकस्मिकतया भवत्याः पितुः दर्शनम् लब्धम्
sp019-000514_lahari_5	तेन सह अत्र आगतः
sp019-000515_lahari_5	मम देवताम् नम आराधनमूर्तिम् मम स्वप्नसुन्दरीम् शोच्यायाम् अवस्थायाम् द्रक्ष्यामीति ऊहितुम् अपि कष्टम्
sp019-000516_lahari_5	तदेव सत्यमिति न विश्वसिमि
sp019-000517_lahari_5	अहो शोकभारम् वोढुम् असमर्थः अस्मि इति वदतः मम कण्ठः स्तम्भितबाष्पवृत्तिकलुषः अभवत्
sp019-000518_lahari_5	सा अब्रवीत्
sp019-000519_lahari_5	ममापि मदीयरूपविषये गर्वः आसीत्
sp019-000520_lahari_5	चित्रनटी भविष्यामि
sp019-000521_lahari_5	सकलानाम् हृदयसंराज्ञी भविष्याम इति स्वप्नसौधः मया निर्मितः
sp019-000522_lahari_5	किन्तु क्रूरः विधिः रोगाग्नौ माम् अपातयत्
sp019-000523_lahari_5	प्रतिक्षणम् दह्यमाना अस्मि
sp019-000524_lahari_5	इमाम् यातनाम् शीघ्रम् समापय इति भगवन्तम् मुहुर्मुहुः प्रार्थये
sp019-000525_lahari_5	अद्य श्वो वा इतः निर्गमिष्यामि
sp019-000526_lahari_5	अस्तु मम व्यथामयी कथा
sp019-000527_lahari_5	भवान् कुत्र वर्तते
sp019-000528_lahari_5	अपि भवतः विवाहः सन्पन्नः
sp019-000529_lahari_5	कीदृशी भवतः भार्या
sp019-000530_lahari_5	किम् अनुरूपा इति
sp019-000531_lahari_5	रमे इदानीम् किम् वदामि सत्यम् ब्रवीमि
sp019-000532_lahari_5	प्रांशुलभ्ये फले लोभात् उद्बाहुः वामन इव अहम् भवत्याम् मधुरभावनाम् धृतवान्
sp019-000533_lahari_5	भवती सहसा अदृश्या जाता
sp019-000534_lahari_5	भवत्याः अन्वेषणाय बहुधा प्रयत्नः कृतः मया
sp019-000535_lahari_5	विद्याभ्यासे पूर्णे जाते उद्योगे च लब्धे सति मम माता विवाहम् कर्तुम् माम् निरबध्नात्
sp019-000536_lahari_5	भवत्याः रूपम् मनसि धारयता मया अन्याः कन्याः कथम् वा अङ्गीक्रियेरन् वर्षाणि व्यतीतानि
sp019-000537_lahari_5	अन्ततस्तु मातुः क्लेशम् द्रष्टुम् असमर्थः अहम् कयापि कन्यया सह मम परिणयम् अङ्गीकृतवान्
sp019-000538_lahari_5	किन्तु तस्याम् मम प्रेमलेशोऽपि नास्ति
sp019-000539_lahari_5	पद्मम् दृष्टवान् भ्रमरः इक्षुरककुसुमम् द्रष्टुम् किम् ईहते
sp019-000540_lahari_5	इति मया सावेशमुक्तम्
sp019-000541_lahari_5	क्षीणम् स्मितम् कृत्वा रमा अवदत्
sp019-000542_lahari_5	भवता न्यायम् न आचरितम् न च तत्र विवेकः
sp019-000543_lahari_5	नेत्राकर्षकम् रूपम् कियन्ति दिनानि स्थास्यति
sp019-000544_lahari_5	पश्यतु सम्प्रति माम्
sp019-000545_lahari_5	पुरा शिरसि स्थिताः ऊर्मिमन्तः दीर्घाः मम केशाः सम्प्रति लुप्तप्रायाः
sp019-000546_lahari_5	मुखस्य कनकावदातः वर्णः मम गर्वस्य कारणमासीत्
sp019-000547_lahari_5	इदानीम् मुखे भस्मपाण्डुरता दृश्यते
sp019-000548_lahari_5	न उत्थातुमपि पारयामि
sp019-000549_lahari_5	क्षणिकम् रूपमिति ज्ञात्वापि तत्र मोहम् न त्यजन्ति जनाः
sp019-000550_lahari_5	भवतः भार्या आरोग्यवती सुशीला च खलु
sp019-000551_lahari_5	तत्रैव प्रीत्या नेत्रे प्रेरयतु
sp019-000552_lahari_5	सा अप्सरसः इति रूपवत्तरा इति ज्ञानम् भवतः उत्पत्स्यते
sp019-000553_lahari_5	आसन्नमरणायै मह्यम् वचनम् ददातु
sp019-000554_lahari_5	भार्यायाम् अनादरम् न करिष्यामि इति
sp019-000555_lahari_5	तदा अहम् निश्चिन्तम् लोकान्तरम् गमिष्यामि इति
sp019-000556_lahari_5	अहम् रमायाः हस्तम् दृढम् गृहीत्वा अवदम्
sp019-000557_lahari_5	रमे भवत्या कथ्यमानम् सर्वम् करिष्यामि
sp019-000558_lahari_5	किन्तु भवती मातापितरौ माम् च त्यक्त्वा मा गच्छतु
sp019-000559_lahari_5	एवम् वदता मया अप्रयत्नम् रुदितम्
sp019-000560_lahari_5	मम अश्रुभिः तस्याः वसनम् आर्द्रम् जातम्
sp019-000561_lahari_5	त्यक्तुमहम् वाञ्छामि इति न
sp019-000562_lahari_5	किन्तु काले उपस्थिते सर्वैः गन्तव्यमेव
sp019-000563_lahari_5	अस्य नियमस्य अपवादः नास्ति
