sp002-000001_KS_04	मूर्च्छिता रतिः इत्युक्तम्
sp002-000712_RV_02	आचारपूतत्वात् स राजा जगत्पावनस्यापि पवनस्य सेव्यः आसीत् इति भावः
sp002-000713_RV_02	शशामेति
sp002-000714_RV_02	गोप्तरि रक्षके तस्मिन्राज्ञि वनम् गाहमाने प्रविशति सति वृष्ट्या विनापि
sp002-000715_RV_02	दवाग्निः शशाम
sp002-000716_RV_02	शान्तिम् प्राप
sp002-000717_RV_02	फलानाम् पुष्पाणाम् च वृद्धिः
sp002-000718_RV_02	विशिष्यत इति विशेषा
sp002-000719_RV_02	अतिशयिता आसीत्
sp002-000720_RV_02	कर्मार्थे घञ्प्रत्ययः
sp002-000721_RV_02	सत्त्वेषु जन्तुषु मध्ये
sp002-000722_RV_02	यतश्च निर्धारणमिति सप्तमी
sp002-000723_RV_02	अधिकः प्रबलो व्याघ्रादिः ऊनम् दुर्बलम् हरिणादिकम् न बबाधे
sp002-000724_RV_02	न हिनस्तिस्मा
sp002-000725_RV_02	सञ्चारेति
sp002-000726_RV_02	पल्लवस्य रागो वर्णः पल्लवरागः
sp002-000727_RV_02	रागोऽनुरागे मात्सर्ये क्लेशादौ लोहितादिषु इति शाश्वतः
sp002-000728_RV_02	स इव ताम्रा पल्लवरागताम्रा पतङ्गस्य सूर्यस्य प्रभा कान्तिः
sp002-000729_RV_02	पतङ्गः पक्षिसूयर्योः इति शाश्वतः
sp002-000730_RV_02	मुनेः धेनुश्च
sp002-000731_RV_02	दिगन्तराणि दिशाम् अवकाशान्
sp002-000732_RV_02	अन्तरमवकाशावधि परिधानान्तर्थिभेदतादर्थ्ये इत्यमरः
sp002-000733_RV_02	सञ्चारेण पूतानि शुद्धानि कृत्वा दिनान्ते सायङ्काले निलयाय आस्तमयाय
sp002-000734_RV_02	धेनुपक्षे आलयाय च
sp002-000735_RV_02	गन्तुम् प्रचक्रमे
sp002-000736_RV_02	तामिति
sp002-000737_RV_02	मध्यमलोकपालः भूपालो दिलीपः
sp002-000738_RV_02	देवतापित्रतिथीनाम् क्रिया यागश्राद्धदानानि ता एव अर्थः प्रयोजनम् यस्यास्ताम् धेनुम् अन्वक् अनुपदम् ययौ
sp002-000739_RV_02	अन्वगन्वक्षमनुगेऽनुपदम् क्लीबमव्ययम् इत्यमरः
sp002-000740_RV_02	सताम् मतेन सद्भिः सम्मान्यमानेन
sp002-000741_RV_02	मतिबुद्धि इत्यादिना वर्तमाने तः
sp002-000742_RV_02	तस्य च वर्तमाने इति षष्ठी
sp002-000743_RV_02	तेन राज्ञा उपपन्ना युक्ता सा धेनुः
sp002-000744_RV_02	सताम् मतेन अनुष्ठानेन उपपन्ना श्रद्धा आस्तिक्यबुद्धिरिव बभौ
sp002-000745_RV_02	स इति
sp002-000746_RV_02	स राजा पल्वलेभ्यः अल्पजलाशयेभ्यः उत्तीर्णानि निर्गतानि
sp002-000747_RV_02	बवराहाणाम् यूथानि कुलानि येषु तानि
sp002-000748_RV_02	बर्हाण्येषाम् सन्तीति बर्हिणः मयूराः
sp002-000749_RV_02	मयूरो बर्हिणो बर्ही इत्यमरः
sp002-000750_RV_02	फलबर्हाभ्याम् इनच्प्रत्ययो वक्तव्यः
sp002-000751_RV_02	इति मत्वर्थीय इनच्प्रत्ययः
sp002-000752_RV_02	आवासवृक्षोन्मुखाः बर्हिणाः येषु तानि श्यामायमानानि
sp002-000753_RV_02	वराहबर्हिणादिमलिनिम्ना अश्यामानि श्यामानि भवन्तीति श्यामायमानानि
sp002-000754_RV_02	लोहितादिडाज्भ्यः क्यष् इति क्यष्प्रत्ययः
sp002-000755_RV_02	वा क्यषः इति आत्मनेपदे शानच्
sp002-000756_RV_02	मृगैरध्यासिता अधिष्ठिताः शाद्वला येषु तानि
sp002-000757_RV_02	शादाः शष्पाण्येषु देशेषु सन्तीति शाद्वलाः शष्पश्यामदेशाः
sp002-000758_RV_02	शाद्वलः शादहरिते इत्यमरः
sp002-000759_RV_02	शादः कर्दमशष्पयोः इति विश्वः
sp002-000760_RV_02	नडशादाद्ड्वलच् इति ड्वलच्प्रत्ययः
sp002-000761_RV_02	वनानि पश्यन्ययौ
sp002-000762_RV_02	आपीनेति
sp002-000763_RV_02	गृष्टिः सकृत्प्रसूता गौः
sp002-000764_RV_02	सकृत्प्रसूता गौः गृष्टिः इति हलायुधः
sp002-000765_RV_02	नरेन्द्रश्च
sp002-000766_RV_02	उभौ यथाक्रमम्
sp002-000767_RV_02	आपीनमूधः
sp002-000768_RV_02	ऊधस्तु क्लीबमापीनम् इत्यमरः
sp002-000769_RV_02	आपीनस्य भारोद्वहने प्रयत्नात्प्रयासात् वपुषो गुरुत्वात् आधिक्याच्च
sp002-000770_RV_02	अञ्चिताभ्याम् चारुभ्याम् गताभ्याम् गमनाभ्याम् तपोवनादावृत्तेः पन्थास्तम् तपोवनावृत्तिपथम्
sp002-000771_RV_02	ऋक्पूरब्धू इत्यादिना समासान्तो अप्रत्ययः
sp002-000772_RV_02	अलञ्चक्रतुः भूषितवन्तौ
sp002-000773_RV_02	वसिष्ठेति
sp002-000774_RV_02	वसिष्ठधेनोः नन्दिन्याः अनुयायिनम् अनुचरम् वनान्तात् आवर्तमानम् प्रत्यागच्छन्तम् तम् दिलीपम्
sp002-000775_RV_02	वनिता जनितात्यन्तानुरागा सुदक्षिणा वनिताजनितात्यन्तानुरागायाञ्च योषिति इत्यमरः
sp002-000776_RV_02	निमेषेषु अलसा मन्दा पक्ष्मणाम् पङ्किर्यस्याः सा
sp002-000777_RV_02	निमेषरहिता सती इत्यर्थः
sp002-000778_RV_02	लोचनाभ्याम् उपोषिताभ्यामिव उपवासो भोजननिवृत्तिः
sp002-000779_RV_02	तम् कृतवद्भ्यामिव वसतेः कर्तरि क्तः
sp002-000780_RV_02	पपौ
sp002-000781_RV_02	यथा उपोषितो अतितृष्णया जलमधिकम् पिबति तद्वत् अतितृष्णया सा सुदक्षिणा दिलीपमधिकम् व्यलोकयद् इत्यर्थः
sp002-000782_RV_02	पुरस्कृतेति
sp002-000783_RV_02	वर्त्मनि मार्गे पार्थिवेन पृथिव्या ईश्वरेण दिलीपेन
sp002-000784_RV_02	तस्येश्वर इति अञ्प्रत्ययः
sp002-000785_RV_02	पुरस्कृता अग्रतः कृता
sp002-000786_RV_02	धर्मस्य पत्नी धर्मपत्नी धर्मार्थपत्नीत्यर्थः
sp002-000787_RV_02	अश्वघासादिवत्तदर्थ्ये षष्ठीसमासः
sp002-000788_RV_02	तया पार्थिवस्य धर्मपत्न्या प्रत्युद्गता अभिमुखीकृता सा धेनुः तदन्तरे तयोर्दम्पत्योर्मध्ये
sp002-000789_RV_02	दिनक्षपयोर्दिनरात्र्योः मध्यगता सन्ध्येव
sp002-000790_RV_02	विरराज
sp002-000791_RV_02	पूर्वार्धेनैव तदन्तरवर्तित्वेसिद्धे पुनः तदन्तर इति ग्रहणम्
sp002-000792_RV_02	अत्र उपमेयोपमानयोः क्रमावस्थानमात्रसादृश्यविवक्षार्थम् इति मन्तव्यम्
sp002-000793_RV_02	प्रदक्षिणीकृत्येति
sp002-000794_RV_02	अक्षतानाम् पात्रेण सह वर्तेते इति साक्षतपात्रौ तादृशौ हस्तौ यस्याः सा
sp002-000795_RV_02	सुदक्षिणा पयस्विनीम् प्रभूतक्षीराम् ताम् धेनुम् प्रदक्षिणीकृत्य प्रणम्य च
sp002-000796_RV_02	अस्याः धेनोः विशालम् शृङ्गान्तरम् शृङ्गमध्यम्
sp002-000797_RV_02	अर्थसिद्धेः कार्यसिद्धेः द्वारम् प्रवेशमार्गमिव आनर्चा अर्चयामास
sp002-000798_RV_02	अर्च पूजायाम्
sp002-000799_RV_02	अर्चतेः भौवादिकाल्लिट्
sp002-000800_RV_02	लिटि धातोरित्यादिना द्वित्वम्
sp002-000801_RV_02	तस्मात् नुड् इत्यादिना नुडागमः
sp002-000802_RV_02	वत्सेति
sp002-000803_RV_02	धेनुः
sp002-000804_RV_02	वत्सोत्सुकापि वत्से उत्कण्ठिता अपि स्तिमिता निश्चला सती
sp002-000805_RV_02	सपर्याम् पूजाम् पूजा नमस्यापतिथिः सपर्यार्चार्हणाः समा इत्यमरः
sp002-000806_RV_02	प्रत्यग्रहीत् इति हेतोः तौ दम्पती ननन्दतुः
sp002-000807_RV_02	पूजास्वीकरस्य आनन्दहेतुत्वम् आह भक्त्या इति
sp002-000808_RV_02	पूज्येषु अनुरागो भक्तिः
sp002-000809_RV_02	तया उपपन्नेषु युक्तेषु विषये तद्विधानाम्
sp002-000810_RV_02	तस्याः धेनोः विधेव विधा प्रकारो येषाम् तेषाम्
sp002-000811_RV_02	महतामित्यर्थः
sp002-000812_RV_02	प्रसादस्य चिह्नानि लिङ्गानि पूजास्वीकारादीनि पुरःफलानि
sp002-000813_RV_02	पुरोगतानि प्रत्यासन्नानि फलानि येषाम् तानि हि
sp002-000814_RV_02	अविलम्बितफलसूचकलिङ्गदर्शनात् आनन्दो युज्यते इति भावः
sp002-000815_RV_02	गुरोरिति
sp002-000816_RV_02	भुजोच्छिन्नरिपुः भुजाभ्याम् नान्येन सहायेन उच्छिन्नाः उत्कर्षेण छिन्नाः
sp002-000817_RV_02	निःशेषिताः रिपवः शत्रवः येन स तथोक्तः
sp002-000818_RV_02	दिलीपः सदारस्य दारैररुन्धत्या सह वर्तमानस्य गुरोः
sp002-000819_RV_02	उभयोरपीत्यर्थः
sp002-000820_RV_02	पादौ निपीड्य अभिवाद्य
sp002-000821_RV_02	सान्ध्यम् सन्ध्यायाम् विहितम् विधिम् अनुष्ठानम् च समाप्य
sp002-000822_RV_02	दोहावसाने निषण्णाम् आसीनाम् दोग्ध्रीमेव दोहनशीलाम् धेनुमेव
sp002-000823_RV_02	तृन् इति तृन्प्रत्ययः
sp002-000824_RV_02	पुनः भेजे सेवितवान्
sp002-000825_RV_02	भज सेवायामिति अस्मात् लिट्
sp002-000826_RV_02	भुजोच्छिन्नरिपुरित्यनेन अस्य निर्भीकत्वम् सूचितम्
sp002-000827_RV_02	दोग्ध्रीति निरुपपदप्रयोगात् अस्याः कामधुक्त्वम् गम्यते
sp002-000828_RV_02	अवधारणार्थकः अयमेवकारः अस्य कार्यान्तरप्रवृत्त्यभावम् बोधयति
sp002-000829_RV_02	तामिति
sp002-000830_RV_02	गोप्ता रक्षकः सः गृहिणीसहायः पत्नीद्वितीयस्सन्
sp002-000831_RV_02	उभावपीत्यर्थः
sp002-000832_RV_02	अन्तिके न्यस्ताः बलयः प्रदीपाश्च यस्यास्ताम् तथोक्ताम् करोपहारयोः पुंसि बलिः प्राण्यङ्गजेस्त्रियामित्यमरः
sp002-000833_RV_02	ताम् पूर्वोक्ताम् निषण्णाम् धेनुम् अन्वास्य अनूपविश्य क्रमेण सुप्ताम् अनु अनन्तरम् संविवेश सुष्वाप
sp002-000834_RV_02	प्रातः सुप्तोत्थिताम् सुप्ता च सा उत्तिथा च ताम् अनु उदतिष्ठित् उत्थितवान्
sp002-000835_RV_02	अत्र अनुशब्देन धेनुराजव्यापारयोः पौर्वापर्यमुच्यते
sp002-000836_RV_02	क्रमशब्देन तु धेनुव्यापाराणामिति न पौनरुक्त्यम्
sp002-000837_RV_02	कर्मप्रवचनीययुक्ते इति द्वितीया
sp002-000838_RV_02	इत्थमिति
sp002-000839_RV_02	इत्थमनेन प्रकारेण प्रजार्थम् सन्तानाय महिष्या समम् अभिषिक्तपत्न्या सह
sp002-000840_RV_02	कृताभिषेका महिषी इत्यमरः
sp002-000841_RV_02	व्रतम् धारयतः
sp002-000842_RV_02	महनीया पूज्या कीर्तिर्यस्य तस्य
sp002-000843_RV_02	दीनानाम् उद्धरणे दैन्यविमोचने उचितस्य परिचितस्य तस्य नृपस्य
sp002-000844_RV_02	त्रयो गुणाः आवृत्तयो येषाम् तानि त्रिगुणानि त्रिरावृत्तानि त्रिगुणितानि
sp002-000845_RV_02	सप्त दिनानि एकविंशतिदिनानि इत्यर्थः व्यतीयुः
sp002-000846_RV_02	अन्येद्युरिति
sp002-000847_RV_02	अन्येद्युरन्यस्मिन्दिने द्वाविंश दिने इत्यर्थः
sp002-000848_RV_02	सद्यःपरुत्परेरित्यादिना निपातनात् अव्ययत्वम्
sp002-000849_RV_02	अद्यात्राह्नयध पूर्वेऽह्नीत्यादौ पूर्वोत्तरापरात्
sp002-000850_RV_02	तथाधरान्यान्यतरेतरात्पूर्वेद्युरादयः इत्यमरः
sp002-000851_RV_02	मुनिहोमधेनुः
sp002-000852_RV_02	आत्मानुचरस्य नृपस्य भावमभिप्रायम् दृढभक्तित्वम् आकृतिर्मतमाकूतम् भावोऽभिप्राय आशयः इति यादवः
sp002-000853_RV_02	जिज्ञासमाना ज्ञातुमिच्छन्ति
sp002-000854_RV_02	ज्ञाश्रुस्मृदृशाम् सनः इत्यात्मनेपदम् तस्माच्छानच् प्रत्ययः
sp002-000855_RV_02	प्रपतति अस्मिन् इति प्रपातः पतनप्रदेशः गङ्गायाः प्रपातः तस्य अन्ते समीपे
sp002-000856_RV_02	निरूढानि जातानि शष्पाणि बालतृणानि यस्मिन् तत्
sp002-000857_RV_02	शष्पम् बालतृणम् घास इत्यमरः
sp002-000858_RV_02	गौरीगुरोः पार्वतीपितुः हिमवतः गह्वरम् गुहाम् आविवेश
sp002-000859_RV_02	सेति
sp002-000860_RV_02	सा धेनुः हिंस्रैः व्याघ्रादिभिः घातुकजन्तुभिः मनसापि दुष्प्रधर्षा दुर्धर्षेति हेतोः
sp002-000861_RV_02	अद्रिशोभायाम् प्रहितेक्षणेन दत्तदृष्टिना नृपेण अलक्षितम् अभ्युत्पतनम् आभिमुखेन
sp002-000862_RV_02	उत्प्लुत्स्य पतनम् यस्य सः सिंहः ताम् धेनुम् प्रसह्य हठात्
sp002-000863_RV_02	प्रसह्य तु हठार्थकम् इत्यमरः
sp002-000864_RV_02	चकर्ष किल
sp002-000865_RV_02	किलेत्यलीके
sp002-000866_RV_02	तदीयमिति
sp002-000867_RV_02	गुहानिबद्धेन प्रतिशब्देन प्रतिध्वनिना दीर्घम्
sp002-000868_RV_02	तस्याः इदम् तदीयम्
sp002-000869_RV_02	आक्रन्दितम् आर्तघोषः आर्तेष्वापन्नेषु साधोर्हितकारिणः नृपस्य दिलीपस्य नगेन्द्रसक्ताम् दृष्टिम्
sp002-000870_RV_02	रश्मिषु प्रग्रहेषु
sp002-000871_RV_02	किरणप्रग्रहौ रश्मी इत्यमरः
sp002-000872_RV_02	आदायेव गृह्यीत्वेव
sp002-000873_RV_02	निवर्तयामास
sp002-000874_RV_02	स इति
sp002-000875_RV_02	धनुर्धरः धन्वी स नृपः पाटलायाम् रक्तवर्णायाम् गवि धेन्वाम् तस्थिवांसम् संस्थितम्
sp002-000876_RV_02	क्वसुश्चेति क्वसुप्रत्ययः
sp002-000877_RV_02	केसरा अस्य सन्तीति केसरी तम् सिंहम् सानुमतः अद्रेः
sp002-000878_RV_02	धातवः गैरिकादयः तेषाम् विकारोधातुमयी
sp002-000879_RV_02	तस्याम् अधित्यकायाम् ऊर्ध्वभूमौ
sp002-000880_RV_02	उपत्यकाद्रेरासन्ना भूमिरूर्ध्वमधित्यका इत्यमरः
sp002-000881_RV_02	उपाधिभ्याम् त्यकन्नासन्नारूढयोरिति त्यकन्प्रत्ययः
sp002-000882_RV_02	तस्थिवांसम् प्रफुल्लम् विकसितम्
sp002-000883_RV_02	फुल्ल विकसन इति धातोः पचाद्यच्
sp002-000884_RV_02	लोध्राख्यम् द्रुममिव
sp002-000885_RV_02	ददर्श
sp002-000886_RV_02	प्रफुल्तमिति तकारान्तपाठे ञिफला विशरण इति धातोः कर्तरि क्तः
sp002-000887_RV_02	तिचेति अकारस्य उकारादेशः
sp002-000888_RV_02	धवलकेसरत्वात् सिंहलोध्रद्रुमयोः सादृश्यम्
sp002-000889_RV_02	तत इति
sp002-000890_RV_02	ततः सिंहदर्शनानन्तरम् मृगेन्द्रगामी सिंहगामी
sp002-000891_RV_02	शरणम् रक्षणम्
sp002-000892_RV_02	शरणम् गृहरक्षित्रोरित्यमरः
sp002-000893_RV_02	शरणम् रक्षणे गृहे इति यादवश्च
sp002-000894_RV_02	शरणे साधुः शरण्यः तत्र साधुरिति यत्प्रत्ययः
sp002-000895_RV_02	प्रसभेन बलात्कारेण उद्धृताः हताः अरयो वैरिणो येन सः नृपतिः दिलीपः
sp002-000896_RV_02	जाताभिषङ्गः जातपराभवः सन्
sp002-000897_RV_02	अभिषङ्गः पराभवे इत्यमरः
sp002-000898_RV_02	वध्यस्य वधार्हस्य
sp002-000899_RV_02	दण्डादिभ्यो यदिति यत्प्रत्ययः
sp002-000900_RV_02	मृगेन्द्रस्य सिंहस्य वधाय हननाय निषङ्गात् तूणीरात् तूणोपासङ्गतुणीरनिषङ्गा इषुधिर्द्वयोरित्यमरः
sp002-000901_RV_02	शरमुद्धर्तुमैच्छत्
sp002-000902_RV_02	इएष
sp002-000903_RV_02	वामेति
sp002-000904_RV_02	प्रहर्तुः प्रहरणशीलस्य तस्य वामेतरः दक्षिणः करः
sp002-000905_RV_02	नखप्रभाभिः भूषितानि विच्छुरितानि कङ्कस्य पक्षिविशेषस्य पत्राणि यस्य तस्मिन्
sp002-000906_RV_02	कङ्कस्तु कर्कटस्कन्धः प्रकटः कमलच्छदः कङ्कः पक्षिविशेषे स्यात् गुप्ताकारे युधिष्ठिरे इति यादव विश्वौ
sp002-000907_RV_02	सायकस्य पुङ्ख एव कर्तर्याख्ये मूलप्रदेशे
sp002-000908_RV_02	कर्तरी पुङ्ख इति यादवः
sp002-000909_RV_02	सक्ताङ्गुलिस्सन्
sp002-000910_RV_02	चित्रार्पितारम्भ इव चित्रलिखितशरोद्धरणोद्योग इव
sp002-000911_RV_02	अवतस्थे स्थितः
sp002-000912_RV_02	बाह्विति
sp002-000913_RV_02	बाह्वोः प्रतिष्टम्भेन प्रतिबन्धेन
sp002-000914_RV_02	प्रतिबन्धः प्रतिष्टम्भः इत्यमरः
sp002-000915_RV_02	विवृद्धमन्युः प्रवृद्धकोपः राजा
sp002-000916_RV_02	मन्त्रौषधाभ्याम् रुद्धवीर्यः प्रतिबद्धशक्तिः भोगीव सर्प इव
sp002-000917_RV_02	भोगी राजभुजङ्गयोरिति शाश्वतः
sp002-000918_RV_02	अभ्यर्णम् आसन्नम्
sp002-000919_RV_02	आगस्कृतम् अपराधकारिणम् अस्पृशद्भिः स्वतेजोभिः अन्तः अदह्यत
sp002-000920_RV_02	अधिक्षेपाद्यसहनम् तेजः प्राणात्ययेष्वपीति यादवः
sp002-000921_RV_02	तमिति
sp002-000922_RV_02	निगृहीता पीडिता धेनुर्येन सः सिंहः
sp002-000923_RV_02	आर्याणाम् सताम् गृह्यम् पक्ष्यम्
sp002-000924_RV_02	पदास्वैरिबाह्यापक्ष्येषु च इति क्यप्
sp002-000925_RV_02	मनुवंशस्य केतुम् चिह्नम् केतुवद्व्यावर्तकम्
sp002-000926_RV_02	सिंह इव उरुसत्त्वः महाबलः तम्
sp002-000927_RV_02	आत्मनो वृत्तौ बाहुस्तम्भनरूप व्यापारे अभूतपूर्वत्वात् विस्मितम्
sp002-000928_RV_02	कर्तरि क्तः
sp002-000929_RV_02	तम् दिलीपम् मनुष्यवाचा करणेन
sp002-000930_RV_02	पुनर्विस्माययन् विस्मयमाश्चर्यम् प्रापयन् निजगाद
sp002-000931_RV_02	स्मिङ ईषद्धसन इति धातोः णिचि वृद्धौ आयादेशे शतृप्रत्यये सति विस्माययन् इति रूपम् सिद्धम्
sp002-000932_RV_02	विस्मापयन् इति पाठे तु पुगागममात्रम् वक्तव्यम्
sp002-000933_RV_02	तच्च नित्यम् स्मयतेरिति हेतुस्मयविवक्षायामेवेति भीस्म्योर्हेतुभय इत्यात्मनेपदे विस्मापयमान इति स्यात्
sp002-000934_RV_02	यद्वा मनुष्यवाक्प्रयोज्यकर्त्री विस्मापयतेः तया सिंहो विस्मापयन् इति न्यन्ताद्वा रूपमत्र इति व्याख्येयम्
sp002-000935_RV_02	अलमिति
sp002-000936_RV_02	हे महीपाल तव श्रमेण अलम्
sp002-000937_RV_02	साध्याभावाच्छ्रमो न कर्तव्य इत्यर्थः
sp002-000938_RV_02	अलम् भूषणपर्याप्तिशक्तिवारणवाचकमित्यमरः
sp002-000939_RV_02	अत्र गम्यमानसाधनक्रियापेक्षया श्रमस्य करणत्वात् तृतीया
sp002-000940_RV_02	इतोऽस्मिन्मयि
sp002-000941_RV_02	सार्वविभक्तिकस्तसिः
sp002-000942_RV_02	प्रयुक्तमपि अस्त्रम् वृथा स्यात्
sp002-000943_RV_02	तथाहि पादपोन्मूलने शक्तिर्यस्य तत् तथोक्तम् मारुतस्य
sp002-000944_RV_02	रंहः वेगः शिलोच्चये पर्वते न मूर्च्छति न प्रसरति
sp002-000945_RV_02	कैलासेति
sp002-000946_RV_02	कैलास इव गौरम् शुभ्रम् वृषम् आरुरुक्षोः आरोढुमिच्छोः
sp002-000947_RV_02	चामीकरम् च शुभ्रम् च गौरमाहुर्मनीषिणः इति शाश्वतः
sp002-000948_RV_02	अष्टौ मूर्तयो यस्य तस्य अष्टमूर्तेः शिवस्य पादार्पणम्
sp002-000949_RV_02	पादन्यासः तदेव अनुग्रहः प्रसादः तेन पूतम् पृष्ठम् यस्य तम् तथोक्तम्
sp002-000950_RV_02	शिवः स्वस्योपरि पादम् निक्षिप्य वृषम् आरोहतीति भावः
sp002-000951_RV_02	निकुम्भमित्रम् निकुम्भसदृशम् कुम्भोदरम् नाम किङ्करम् माम् अवेहि विद्धि
sp002-000952_RV_02	पृथिवी सलिलम् तेजो वायुराकाशमेव च
sp002-000953_RV_02	सूर्याचन्द्रमसौ सोमयाजी च इत्यष्टमूर्तयः
sp002-000954_RV_02	इति यादवः
sp002-000955_RV_02	अमुमिति
sp002-000956_RV_02	पुरः अग्रतः स्थितम् अमुम् देवदारुम् पश्यसीति काकुः
sp002-000957_RV_02	असौ देवदारुः
sp002-000958_RV_02	वृषभः ध्वजे यस्य तेन शिवेन पुत्रीकृतः पुत्रत्वेन स्वीकृतः
sp002-000959_RV_02	अभूततद्भावे च्विः
sp002-000960_RV_02	यो देवदारुः स्कन्दस्य मातुः गौर्याः हेम्नः कुम्भ एव स्तनः
sp002-000961_RV_02	तस्मात् निःसृतानाम् पयसाम् अम्बूनाम् रसज्ञः स्वादज्ञः
sp002-000962_RV_02	स्कन्दपक्षे हेमकुम्भ इव स्तन इति विग्रहः
sp002-000963_RV_02	पयसाम् क्षीराणाम्
sp002-000964_RV_02	पयः क्षीरम् पयोऽम्बु च इत्यमरः
sp002-000965_RV_02	स्कन्दसमानप्रेमास्पदमिति भावः
sp002-000966_RV_02	कण्डूयमानेनेति
sp002-000967_RV_02	कदाचित् कटम् कपोलम् कण्डूयमानेन कर्षता
sp002-000968_RV_02	कण्डवादिभ्यो यक इति यक्
sp002-000969_RV_02	ततः शानच्
sp002-000970_RV_02	वन्यद्विपेन अस्य देवदारोः त्वक् उन्मथिता
sp002-000971_RV_02	अथ अद्रेः तनया गौरी
sp002-000972_RV_02	असुरास्त्रैः आलीढम् क्षतम्
sp002-000973_RV_02	सेनाम् नयतीति सेनानीः स्कन्दः
sp002-000974_RV_02	पार्वतीनन्दनस्कन्दस्सेनानीरग्निभूर्गुहः इत्यमरः
sp002-000975_RV_02	सत्सूद्विषे इत्यादिना क्विप्
sp002-000976_RV_02	तमिव
sp002-000977_RV_02	एनम् देवदारुम् शुशोच
sp002-000978_RV_02	तदेति
sp002-000979_RV_02	तत्कालः प्रभृतिः आदिः यस्मिन् कर्मणि तद्यथा भवति तथा तदाप्रभृत्येव
sp002-000980_RV_02	वनद्विपानाम् त्रासार्थम् भयार्थम् शूलभृता शिवेन
sp002-000981_RV_02	अङ्कम् समीपम् आगताः प्राप्ताः सत्त्वाः प्राणिनः वृत्तिः आहारः यस्मिन् तत्
sp002-000982_RV_02	अङ्कः समीप उत्सङ्गे चिह्ने स्थानापराधयोरिति केशवः
sp002-000983_RV_02	सिंहत्वम् विधाय
sp002-000984_RV_02	अस्मिन् अद्रिकुक्षौ गुहायाम् अहम् व्यापारितो नियुक्तः
sp002-000985_RV_02	तस्येति
sp002-000986_RV_02	परमेश्वरेण प्रदिष्टो निर्दिष्टः कालो भोजनवेला यस्याः सा उपस्थिता प्राप्ता
sp002-000987_RV_02	एषा गोरूपा शोणितपारणा रुधिरस्य व्रतान्तभोजनम्
sp002-000988_RV_02	सुरद्विषः राहोः चन्द्रमस इयम् चान्द्रमसी सुधेव क्षुधितस्य
sp002-000989_RV_02	बुभुक्षितस्य तस्य अङ्कागतसत्त्ववृत्तेः मे तृप्त्यै अलम् पर्याप्ता
sp002-000990_RV_02	नमःस्वस्ति इत्यादिना चतुर्थी
sp002-000991_RV_02	स इति
sp002-000992_RV_02	सः एवमुपायशून्यः त्वम् लज्जाम् विहाय निवर्तस्व
sp002-000993_RV_02	भवान् गुरोः दर्शिता प्रकाशिता शिष्यस्य कर्तव्या भक्तिः येन स तथोक्तः
sp002-000994_RV_02	ननु गुरुधनम् विनाश्य कथम् तत्समीपम् गच्छेयम् इत्यत आह शस्त्रेणेति
sp002-000995_RV_02	यद्रक्ष्यम् धनम् शस्त्रेण आयुधेन
sp002-000996_RV_02	शस्त्रमायुधलोहयोरिति अमरः
sp002-000997_RV_02	अशक्या रक्षा यस्य तदशक्यरक्षम्
sp002-000998_RV_02	रक्षितुमशक्यमित्यर्थः
sp002-000999_RV_02	तद्रक्ष्यम् नष्टमपि शस्त्रभृताम् यशः न क्षिणोति न हिनस्ति
sp002-001000_RV_02	अशक्यार्थेषु अप्रतिविधानम् न दोषाय इति भावः
sp002-001001_RV_02	इतीति
sp002-001002_RV_02	पुरुषाधिराजः पुरुषाणाम् अधिराजो नृपः इति इत्थम् प्रगल्भम् प्रौढम् मृगाधिराजस्य मृगनायकस्य सिंहस्य
sp002-001003_RV_02	वचः निशम्य श्रुत्वा गिरिशस्य ईश्वरस्य प्रभावात् प्रत्याहतास्त्रः
sp002-001004_RV_02	कुण्ठितास्त्रः सन् आत्मनि विषये अवज्ञाम् अवमानम् रीढावमाननावज्ञावहेलनम् असूर्क्षणम् इत्यमरः
sp002-001005_RV_02	शिथिलीचकार
sp002-001006_RV_02	तत्याज इत्यर्थः
sp002-001007_RV_02	अवज्ञातोऽहमिति निर्वेदम् न प्राप इत्यर्थः
sp002-001008_RV_02	समानेषु हि क्षत्रियाणामभिमानः न सर्वेश्वरम् प्रति इति भावः
sp002-001009_RV_02	प्रत्यब्रवीदिति
sp002-001010_RV_02	स एव पूर्वः प्रथमः भङ्गः प्रतिबन्धः यस्य स तत्पूर्वभङ्गः तस्मिन् इषुप्रयोगे
sp002-001011_RV_02	बाणप्रयोगे पत्री रोप इषुर्द्वयोरित्यमरः वितथ प्रयत्नः व्यर्थप्रयासः
sp002-001012_RV_02	अत एव वज्रम् मुमुक्षन् मोक्तुमिच्छन्
sp002-001013_RV_02	त्र्यम्बकवीक्षणेन त्रीणि अम्बकानि लोचनानि यस्य स त्र्यम्बको हरः
sp002-001014_RV_02	दृग्दृष्टिनेत्रलोचनचक्षुः नयनाम्बकेक्षणाक्षीणीति हलायुधः
sp002-001015_RV_02	तस्य वीक्षणेन जडीकृतः निष्पन्दीकृतः स्तम्भित इति यावत् वज्रपाणिरिन्द्रः
sp002-001016_RV_02	वज्रम् पाणौ यस्येति विग्रहः
sp002-001017_RV_02	प्रहरणार्थेभ्यः परे निष्ठासप्तम्यौ भवतः इति वक्तव्यमिति पाणि शब्दस्य उत्तरनिपातः
sp002-001018_RV_02	स इव स्थितः नृपः एनम् सिंहम् प्रत्यब्रवीत्
