sp021-000001_01	BaktaH kulaSeKaraH
sp021-000379_10	saH cawakaSAvakam svIkftya mAritavAn
sp021-000380_10	kiYcitsamayAnantaram mAtA cawakA tatra AgatA
sp021-000381_10	svasya SAvakasya maraRasTitim dfzwvA duHKitA sA aSrURi asrAvayat
sp021-000382_10	mama putrasya maraRasya kAraRam rAjakumAraH eva iti cintayitvA
sp021-000383_10	sA nIqAt rAjaBavanam gatvA caYcvA rAjakumArasya netrayoH nASam kftavatI
sp021-000384_10	rAjA etam vizayam jYAtavAn
sp021-000385_10	svasya putrasya eva dozaH iti avagatavAn saH cawakayA kftam aparADam kzAntavAn
sp021-000386_10	tataH cawakA rAjAnam namaskftya avadat
sp021-000387_10	mahArAja itaHparam aham atra vAsam kartum na icCAmi
sp021-000388_10	ataH deSAntaram gamizyAmi
sp021-000389_10	tadA rAjA uktavAn
sp021-000390_10	kimarTam evam ucyate
sp021-000391_10	kim mayA pramAdaH AcaritaH
sp021-000392_10	aham tava vizaye nyAyyam eva vyavahAram kftavAn
sp021-000393_10	evam sTite api anyatra gamanam kimarTam cintyeta
sp021-000394_10	atrEva vAsam kuru kfpayA iti
sp021-000395_10	kintu cawakayA ezaH prastAvaH na aNgIkftaH
sp021-000396_10	sA avadat mahArAja BavatputreRa mama putraH mAritaH
sp021-000397_10	mayA ca Bavatputrasya dfzwihAniH kalpitA iti tu satyam
sp021-000398_10	evam parasparaviroDaH yatra syAt tatra vAsaH na karaRIyaH
sp021-000399_10	idAnIm BavAn mAm kzAntavAn syAt cedapi
sp021-000400_10	agre putraH yadA yadA dfSyeta
sp021-000401_10	tadA tadA mayA kftaH dozaH BavatA smaryeta eva
sp021-000402_10	tadavasare nyAyadfzwiH viluptA Bavet
sp021-000403_10	ataH aDunEva aham itaH prasTAnam karomi
sp021-000404_10	iti uktvA AkASe uqqIya agacCat
sp021-000405_11	anullaNGayA nyAyaniyamAH
sp021-000406_11	varadarAjaH
sp021-000407_11	nyAyADISaH nyAyapIWe upaviSya vAdiprativAdinoH kaTanam SfRvan AsIt
sp021-000408_11	nyAyADISaH SAntamudrayA mandahAsam prakawayan yuvarAjasya muKam apaSyat
sp021-000409_11	mama sahacaraH BavatA kArAgAre sTApitaH iti Srutam
sp021-000410_11	kim etat vimucyatAm saH
sp021-000411_11	yuvarAjaH kroDena avadat
sp021-000412_11	aparADam vicArya sAkzyAdikam pariSIlya saH saptAhAtmakena kArAgAravAsena mayA daRqitaH
sp021-000413_11	yaTAparADam daRqaH prApyeta sarveRa api nyAyADISaH gAmBIryeRa avadat
sp021-000414_11	saH asti mama sahacaraH
sp021-000415_11	saH vimoktavyaH eva
sp021-000416_11	sAnuroDam AjYAsvareRa avadat yuvarAjaH
sp021-000417_11	yuktAyuktAm vicArya daRqanam vihitam nyAyapIWena
sp021-000418_11	vihitasya daRqasya apAkaraRe aDikAraH tu mahArAjasya eva
sp021-000419_11	ataH etadvizaye mahArAjaH eva prArTanIyaH
sp021-000420_11	nyAyapIWena na kimapi kartum Sakyam iti avadat nyAyADISaH
sp021-000421_11	etasya alpasya vizayasya nimittam mahArAjaH kimarTam prArTyeta
sp021-000422_11	aham BAvI rAjA yuvarAjaH AdiSAmi saH mucyatAm
sp021-000423_11	BAvini rAjani tatra Bavati Adaram pradarSayan aham prArTaye
sp021-000424_11	idAnIm vicAraRA kAcit pracalati
sp021-000425_11	tatra viGnakaraRam na SoBate
sp021-000426_11	kfpayA itaH bahiH gamyatAm
sp021-000427_11	nyAyapIWasya nirRayaH sammataH yadi na syAt
sp021-000428_11	tarhi mahArAjaH nivedyatAm
sp021-000429_11	kim yuvarAjam mAm eva BavAn vadati bahiH gamyatAm iti
sp021-000430_11	vetanaBoginaH kiyat DArzwyam tava
sp021-000431_11	yuvarAjavarya nyAyapIWasya agOravam na karaRIyam
sp021-000432_11	nyAyapIWena rAjapIWe AdaraH darSyate
sp021-000433_11	taTEva rAjapIWena api nyAyapIWe AdaraH darSanIyaH
sp021-000434_11	yuvarAjam uddiSya nirgacCa iti kaTanam kim AdaradarSanasya cihnam
sp021-000435_11	yuvarAjaH mahatA kroDena apfcCat
sp021-000436_11	yuvarAjavarya nyAyAlaye etAdfSasya avinayasya pradarSanam na SoBate
sp021-000437_11	tatrApi BAvI rAjA prajAnAm purataH AdarSasya upasTApayitA evam kadApi na kuryAt
sp021-000438_11	nyAyAlayakArye viGnaH kftaH OdDatyam ca darSitam ityataH
sp021-000439_11	dinAtmakena kArAgAravAsena BavAn daRqyate etena nyAyapIWena
sp021-000440_11	iti dfQasvareRa avadat nyAyADISaH
sp021-000441_11	etasya SravaRAt sarve stabDAH aBavan
sp021-000442_11	nyAyADISasya AjYAm puraskftya BawAH yuvarAjam kArAgAram prati anayan
sp021-000443_11	etAvatA svasya sAparADatAm jYAtavAn yuvarAjaH
sp021-000444_11	vinA viroDam kArAgAram prati agacCat
sp021-000445_11	mahArAjena ezA vArtA SrutA
sp021-000446_11	yasmin rAjye etAdfSAH nirBIkAH nyAyEkapakzapAtinaH BaveyuH
sp021-000447_11	tasmin rAjye prajAH suKena tizWanti ityatra sandehaH eva nAsti
sp021-000448_11	nyAyaniyamAnAm ullaNGanam kenApi kartum na Sakyate iti avadat saH
sp021-000449_12	aho gatiH kazwadeyam
sp021-000450_12	qAkwar gopAlanArAyaRaSarmA
sp021-000451_12	pUrvam catvAraH BrAtaraH Asan
sp021-000452_12	tEH kadApi vidyAByAsaH na kftaH
sp021-000453_12	tezAm pitA kaTAkAravfttim karoti sma
sp021-000454_12	pitA yadA divam gataH tadA ete anASrayAH jAtAH
sp021-000455_12	te acintayan nagaram gatvA vayamapi kaTAkAravfttim karavAma iti
sp021-000456_12	te rAjAsTAnam gatvA rAjAnam avadan vayam kaTAkArAH
sp021-000457_12	kaTASrAvaRAya vyavasTA kartavyA iti
sp021-000458_12	vastutaH rAjA api mUrKaH eva
sp021-000459_12	kintu rAjYI budDimatI vidyAvatI suSIlA ca
sp021-000460_12	ataH sA tAn uddiSya astu iti uktavatI
sp021-000461_12	anantaradine kaTASravaRAya vyavasTA kftA
sp021-000462_12	catvAraH api BrAtaraH maYcam prati AgatavantaH
sp021-000463_12	AdO jyezWasya paryAyaH
sp021-000464_12	kintu janAnAm rAjYaH rAjYyAH ca darSanAt tasya DErya cyutam jAtam
sp021-000465_12	SuzkakaRWaH kampamAnapAdaH ca saH jYAtAm kaTAmapi vismftavAn eva
sp021-000466_12	tasya muKAt ekameva vacanam nirgatam
sp021-000467_12	aho gatiH kazwadA iyam iti
sp021-000468_12	tataH saH mOnena upAviSat
sp021-000469_12	tadA vastusTitim jYAtavatI rAjYI avadat
sp021-000470_12	mAnyena kaTAkAreRa rAmasya kaTA atisaNkzepeRa vivftA
sp021-000471_12	rAmaH salakzmaRaH sasItaH ca araRyam gataH asti
sp021-000472_12	BarataSatruGnO mAtAmahasya gfhe staH
sp021-000473_12	daSaraTaSca divam gataH
sp021-000474_12	tadA mantrI sumantraH etat vAkyam vadati iti
sp021-000475_12	tataH dvitIyena kaTA anuvartanIyA AsIt
sp021-000476_12	kintu tasyApi sTitiH agrajasya iva eva
sp021-000477_12	saH api ekameva vAkyam uktvA tUzRIm atizWat
sp021-000478_12	tasya vAkyam AsIt
sp021-000479_12	yattavAsIt mamApi sA iti
sp021-000480_12	etasyApi vivaraRarUpeRa rAjYI uktavatI
sp021-000481_12	etena mAnyena kizkinDAkARqasya sAraH uktaH
sp021-000482_12	tava BAryAm rAvaRaH yaTA apahftavAn taTA mama BAryAm agrajaH vAlI vaSIkftavAn asti iti
sp021-000483_12	asya vAkyasya tAtparyam iti
sp021-000484_12	tftIyasya sTitiH api agrajayoH iva eva AsIt
sp021-000485_12	soऽpi kazwena kiyatkAlam calet ezA iti
sp021-000486_12	uktvA mOnam ASritavAn
sp021-000487_12	tadA rAjYI vivftavatI
sp021-000488_12	etena mAnyena laNkAkaTA vivftA asti
sp021-000489_12	meGanAda kumBakarRAdInAm maraRavArtAm SrutvA
sp021-000490_12	manqodarI rAvaRam yat pfcCati sA kaTA atra nihitA asti iti
sp021-000491_12	caturTaH api BrAtFRAmeva daSAm prApya
sp021-000492_12	yacCakyam tat kftam mayA iti uktvA mOnam ASritavAn
sp021-000493_12	tadA rAjYI punaH vivftavatI
sp021-000494_12	senApatInAm maraRavArtAm SrutvA laNkADipatiH asahAyakatayA etat vacanam avadat
sp021-000495_12	sA eva kaTA etena nirUpitA iti
sp021-000496_12	santuzwaH rAjA caturByaH api pAritozikam dattavAn
sp021-000497_12	kAryakramasamApteH anantaram rAjYI tAn BrAtFn AhUya
sp021-000498_12	itaH grAmam gatvA svaSaktyanuguRam kimapi kftvA jIvantu BavantaH
sp021-000499_12	kaTAkaTanAdizu pravfttiH sarvaTA mAstu
sp021-000500_12	SuBam Bavatu BavatAm iti
sp021-000501_12	catvAraH api lajjayA SiraH avanamayya
sp021-000502_12	rAjYIm namaskftya tataH grAmam prati gatavantaH
sp021-000503_13	AtmasAkzAtkArAya arhatA
sp021-000504_13	prakASaSarmA
sp021-000505_13	kadAcit kaScana sADakaH mahAtmAnam kaYcit upasarpya prArTitavAn
sp021-000506_13	mahAtman aham AtmasAkzAtkAram prAptum icCAmi
sp021-000507_13	kfpayA tadarTam mArgaH darSyatAm iti
sp021-000508_13	mahAtmA ekam mantram upadiSya
sp021-000509_13	etam varzam yAvat japa
sp021-000510_13	varzAnantaram etasyAmeva tiTO snAtvA matsamIpam AgacCa iti avadat
sp021-000511_13	etat aNgIkftya sADakaH tataH niragacCat
sp021-000512_13	varzam atItam
sp021-000513_13	mahAtmA kAYcit mArgasammArjikAm AhUya avadat
sp021-000514_13	adya mAm drazwum kaScana Agamizyati
sp021-000515_13	BavatI sammArjanyA DUlim utpAdya DUlyA tam snApaya iti
sp021-000516_13	mArgasammArjikA taTEva akarot
sp021-000517_13	sADakaH tAm prahartum udyataH
sp021-000518_13	sA tataH aDAvat
sp021-000519_13	kiYciddaram anusftya DAvitvA api tAm aprApya sADakaH pratyAgatya punaH snAtvA mahAtmasamIpam gatavAn
sp021-000520_13	idAnImapi tvam sarpaH iva daMSanAya prayatase
sp021-000521_13	punarapi varzam yAvat mantrajapam kftvA agrime varze etasmin eva dine AgacCa iti asUcayat mahAtmA
sp021-000522_13	anantaravarze sADakasya Agamanadine mahAtmA punaH tAm eva sammArjikAm AhUya avadat
sp021-000523_13	adya BavatI sammArjanyA tam spfSa iti
sp021-000524_13	saH mAm praharet sammArjikA avadat
sp021-000525_13	na praharizyati saH
sp021-000526_13	kAnicana nindAvacanAni vadet tAvadeva mahAtmA avadat
sp021-000527_13	sammArjikA mahAtmanA yaTA uktam taTEva akarot
sp021-000528_13	sADakaH kAnicana nindAvacanAni uktvA punaH snAtvA mahAtmanaH samIpam agacCat
sp021-000529_13	mahAtmA avadat daSanam parityaktam
sp021-000530_13	kintu PUtkAraH na dUrIkftaH
sp021-000531_13	evam sTite AtmasAkzAtkAraH kaTam prApyeta
sp021-000532_13	varzam yAvat punarapi japam kftvA varzAnantaram asmin eva dine AgacCa iti
sp021-000533_13	varzam atItam
sp021-000534_13	yadA sADakaH AgacCan AsIt
sp021-000535_13	tadA mahAtmA karmakaryAH dvArA avakarEH snAnam akArayat
sp021-000536_13	taTApi sADakaH SAntatayA eva AsIt
sp021-000537_13	saH prasannamuKatayA tAm namaskftya
sp021-000538_13	mAtaH mahAn upakAraH kftaH tatraBavatyA
sp021-000539_13	punaH punaH parIkzya uttIrRatAm prAptum mama sAhAyyam kftam
sp021-000540_13	nitarAm upakftaH asmi
sp021-000541_13	iti uktvA tAm namaskftya gatvA
sp021-000542_13	punarapi snAtvA mahAtmanaH samIpam agacCat
sp021-000543_13	mahAtmA tam AliNgaya pArSve upaveSya
sp021-000544_13	adya yogyatA nirUpitA tvayA iti uktvA tam brahmasvarUpAdikam boDitavAn
sp021-000545_14	yogI vfdDaH ca
sp021-000546_14	pUrvam kaScana yogI AsIt
sp021-000547_14	saH azwa api sidDIH prApya himAlayAt Agatya
sp021-000548_14	bahUni adButakAryARi pradarSayan janezu mahat AScaryam janayati sma
sp021-000549_14	janAH tadIyAni kftyAni dfzwvA praBAvitAH santaH tasmE PalAdIni arpayanti sma
sp021-000550_14	tam mahAtmAnam BAvayanti sma ca
sp021-000551_14	etasmAt tasya yoginaH mahAn santozaH
sp021-000552_14	aham mahAyogI asmi iti BAvayan saH kadAcit tiruvallikkeRI pradeSam AgatavAn
sp021-000553_14	mArge tena kaScana vilakzaRaH vfdDaH dfzwaH
sp021-000554_14	saH vfdDaH BUmO Kananam kftvA ekam sasyam Aropayan AsIt
sp021-000555_14	mUlaBAgam upari kftvA parRAdiyuktaH BAgaH garte niDAya mfttikayA tena gartaH pUritaH
sp021-000556_14	tataH ekam ranDrayuktam Gawam svIkftya
sp021-000557_14	saH anatidUrasTAt tawAkAt jale majjayitvA
sp021-000558_14	sasyam jalena sektum prayatnam kftavAn
sp021-000559_14	janAH tam dfzwvA hasitavantaH
sp021-000560_14	yogI tasya samIpam gatvA
sp021-000561_14	BoH tvam kim mUrKaH tava kAryam sarvam vyarTam nanu
sp021-000562_14	kim etAvadapi ajAnan aho kIdfSaH mUQamatiH tvam iti uktavAn
sp021-000563_14	tadA saH vfdDaH muKam unnIya tam yoginam sakfd dfzwvA avadat
sp021-000564_14	aho BavAn Kalu azwasidDIH AptavAn yogivaryaH namo Bavate
sp021-000565_14	loke bahavaH uttamAH mArgAH santi cedapi BavAn tu kzullakasidDipradarSanena janAn vaYcayan kAlam yApayati
sp021-000566_14	kim etat praSastam kAryam syAt
sp021-000567_14	BavataH kAryAt api mama etat kAryam varam
sp021-000568_14	kasyApi hAnikaram tu nAsti BavataH kAryam iva iti
sp021-000569_14	etasya SravaRAt saH yogI AScaryeRa stabDaH
sp021-000570_14	saH cintitavAn aham bahutra awitvA etAH sidDIH prAptavAn
sp021-000571_14	kintu mayA kriyamARam etat sarvam ranDrayutena Gawena kriyamARam jalasecanam iva kim vyarTam eva
sp021-000572_14	ezaH mama netre unmIlitavAn
sp021-000573_14	ataH ezaH sAmAnyaH na
sp021-000574_14	mama guruH eva ayam iti
sp021-000575_14	tataH saH Jawiti tasya vfdDasya pAdO gfhItvA sAzwANganamaskAram kftvA
sp021-000576_14	mahAtman mAm tava Sizyatvena svIkuru kfpayA iti prArTitavAn
sp021-000577_14	tadIyAm prArTanAm puraskurvan saH vfdDaH tadAnImeva tam yoginam Sizyatvena aNgIkftavAn
sp021-000578_14	tataH tO uBO api BagavataH vizRoH sevAyAm magnO jAtO
sp021-000579_14	saH vfdDaH eva peyAlvAr iti KyAtaH
sp021-000580_14	tasya SizyaH tirumalisE AlvAra iti viKyAtaH aBavat
sp021-000581_15	vicintya vaktavyam
sp021-000582_15	qAkwar gopAlanArAyaRaSarmA
sp021-000583_15	kaScana grAmaH
sp021-000584_15	tatra nivasati sma kaScana vfdDaH
sp021-000585_15	tasya prativeSI AsIt kaScana yuvakaH
sp021-000586_15	yuvakasya nAma meDAMSaH iti
sp021-000587_15	meDAMSasya tasya vfdDasya ca sambanDaH uttamaH na AsIt
sp021-000588_15	ekasmin dine grAmaDanikasya gfhe cOryam aBavat
sp021-000589_15	meDAMSena eva etat kftam iti grAme sarvatra punaH punaH sarvAn akaTayat vfdDaH
sp021-000590_15	grAmIRAH tasya vacane viSvAsam prAptavantaH
sp021-000591_15	ataH te ArakzakAn uktvA yuvakasya banDanam kAritavantaH
sp021-000592_15	param aDikAriRaH yadA asya cOryasya satyAsatyatAm parIkzitavantaH
sp021-000593_15	tadA jYAtam yat ayam taruRaH dozarahitaH iti
sp021-000594_15	ataH yuvakaH kArAgArAt muktaH aBavat
sp021-000595_15	param grAmIRAnAm hfdaye tasya yuvakasya vizaye yaTApUrvam AdaraH na dfzwaH
sp021-000596_15	te tena saha samBAzaRavizaye saNkocam anuBUtavantaH
sp021-000597_15	yuvakaH grAmIRAnAm etena vyavahAreRa AhataH KinnaH ca aBavat
sp021-000598_15	saH vfdDam aBAyayat
sp021-000599_15	tava kAraRataH eva grAme mama vizaye anAdaraH samutpannaH asti
sp021-000600_15	aham tvAm hanizyAmi paSya iti
sp021-000601_15	etat asahamAnaH vfdDaH rAjAnam dfzwvA
sp021-000602_15	ayam duzwaH tvAm hanizyAmi iti mAm BAyayati iti avadat
sp021-000603_15	nfpaH taruRam AnAyya tadIyam kaTanam api aSfRot
sp021-000604_15	ante saH vfdDam uktavAn
sp021-000605_15	AdO dozaH tu BavatA eva kftaH
sp021-000606_15	tasya pariRAmarUpeRa ayam yuvakaH BAyanam akarot
sp021-000607_15	rAjYaH etam nirRayam puraskurvan yuvakaH tu kzamAyAcanAm kftavAn
sp021-000608_15	param kzamAyAcanAm nirAkurvatA vfdDena uktam
sp021-000609_15	mahArAja aham kimarTam kzamAyAcanAm karavARi
sp021-000610_15	asya cOryakarmaRaH vArtA mayA tu sampUrRe grAme nEva prasAritA
sp021-000611_15	nfpaH uktavAn
sp021-000612_15	asya yuvakasya vizaye BavAn yat uktavAn tat yuktam eva
sp021-000613_15	BavataH etam eva ASayam kfpayA ekasmin kAgade liKitvA dadAtu iti
sp021-000614_15	vfdDaH ekasmin kAgade svasya ASayam liKitvA nfpAya dattavAn
sp021-000615_15	nfpaH tat kAgadam anekaSaH KaRqayitvA vfdDAya dattvA uktavAn
sp021-000616_15	imAn KaRqAn bahiH gatvA pavane kzipa iti
sp021-000617_15	vfdDaH taTEva akarot
sp021-000618_15	tataH rAjA tam AdiSat
sp021-000619_15	sarvAn api kAgadaKaRqAn saNgfhya BavAn SvaH mama samakzam Anayet
sp021-000620_15	ekoऽpi KaRqaH parityaktaH na Bavet iti
sp021-000621_15	vfdDaH dvitIye dine KaRqAn gfhItvA rAjAnam dfzwvA uktavAn
sp021-000622_15	mahArAja sarvezAm KaRqAnAm saNgrahaRe aham na SaktaH
sp021-000623_15	yataH pavanavegaH tIvraH AsIt
sp021-000624_15	kecana pavanena kvApi nItAH
sp021-000625_15	te na prAptAH eva iti
sp021-000626_15	tadA rAjA avadat
sp021-000627_15	vacanAni api kAgadaKaRqAH iva eva Bavanti
sp021-000628_15	ekasya muKAt nirgatAH te anyezAm muKAni kaTam prApnuvanti ityasya avagamanameva duzkaram
sp021-000629_15	ata eva yasya vizayasya pUrRajYAnam asmAkam na syAt
sp021-000630_15	tasya vizaye asamIcInam vacanam kadApi na vaktavyam
sp021-000631_15	vfdDena svasya dozam aNgIkftya kzamAyAcanA kftA
sp021-000632_16	cintanamAtrAt na hAniH
sp021-000633_16	sudarSanaH
sp021-000634_16	kaScana ASramaH
sp021-000635_16	ASrame bahavaH SizyAH
sp021-000636_16	kadAcit kaScana SizyaH gurum upasarpya avadat
sp021-000637_16	guruvarya yadA aham SArIrakakAryam kurvan Baveyam yadA ca ekAnte Baveyam
sp021-000638_16	tadA sarvadA nizidDAnAm eva vastUnAm smaraRam Bavati
sp021-000639_16	yAni mama hitAya na BaveyuH tezAm prAptO icCA utpadyate
sp021-000640_16	evam cet mama pragatiH kaTam syAt
sp021-000641_16	kim karaRIyam ityeva na jYAyate
sp021-000642_16	etasyAH duravasTAyAH smaraRAt manaH udvignam Bavati api iti
sp021-000643_16	guruH uttaram kimapi na avadat
sp021-000644_16	mandahAsamAtram prAkawayat saH
sp021-000645_16	SizyaH punaH apfcCat
sp021-000646_16	AcArya varya mama praSnasya samADAnam kim
sp021-000647_16	aham kaTam pragati sADayeyam iti
sp021-000648_16	guruH mandahAsam prakawayan utTAya tataH gacCan hastasaNketena tam Sizyam asUcayat
sp021-000649_16	mAm anusara iti
sp021-000650_16	tataH tO ASramAt bahiH gatavantO
sp021-000651_16	samIpe eva sTitam ekam kaRwakasasyam pradarSya guruH apfcCat
sp021-000652_16	itaH kim jYAyate tvayA
sp021-000653_16	etat tu kaRwakamayam sasyam
sp021-000654_16	GoraH vizAMSaH api asti asmin iti Srutam mayA
sp021-000655_16	asya darSanAt tava SarIre vizapraveSaH jAtaH kim
sp021-000656_16	na kevalena darSanamAtreRa SarIre vizapraveSaH kaTam Bavet
sp021-000657_16	etasya vizasasyasya parRAni Palam mUlam vA yadi sevyeta
sp021-000658_16	tarhi eva kaScit vizasya pariRAma prApnuyAt
sp021-000659_16	tadA guruH avadat
sp021-000660_16	nizidDavizayARAm vizaye api iyameva nItiH anvitA Bavet
sp021-000661_16	manasi tezAm saYcArataH na kApi hAniH
sp021-000662_16	aDogatikArakezu aMSezu yAvat vayam pravfttAH na Bavema
sp021-000663_16	tAvat tezAm smaraRataH kimapi kazwam na Bavet
sp021-000664_16	kintu punaH punaH smaraRAt tezu pravfttiH Bavet ityataH sadvizayAH eva cintanIyAH iti ucyate
sp021-000665_16	sadvicArAH eva manasi yaTA udBaveyuH taTA karaRAya kim karaRIyam
sp021-000666_16	SizyaH punaH apfcCat
sp021-000667_16	tadarTam satkAryezu pravfttim aDikam kuru
sp021-000668_16	sarvadA kAryavyApftiH Bavet
sp021-000669_16	sadBaktakaTAH SfRu
sp021-000670_16	sajjanAnAm sahavAsam aDikam kuru
sp021-000671_16	etasya sarvasya kAraRataH sarvadA manasi sadvicArAH eva utpadyeran
sp021-000672_17	ajYAnam duHKakArakam
sp021-000673_17	SrISaH devapUjArI
sp021-000674_17	kasmiMScit vane kaScana takzakaH nivasati sma
sp021-000675_17	pratidinam saH vfkzARAm kartanam kftvA
sp021-000676_17	tAn jvAlayitvA kfzRANgArAn nirmAya vikrayaRam karoti sma
sp021-000677_17	ekasmin dine kaScana mArgaBrazwaH aSvArohI tat vanam prAptavAn
sp021-000678_17	SrAntaH klAntaH ca saH aSvArohI takzakam jalam yAcitavAn
sp021-000679_17	mADyAhnasamayaH AsIt
sp021-000680_17	ataH takzakaH svaBojanam buBukzitAya atiTaye samarpitavAn jalam ca dattavAn
sp021-000681_17	Bojanam prApya santuzwaH aSvArohI svaparicayam SrAvitavAn
sp021-000682_17	paTikaH pArSvarAjyasya rAjA AsIt
sp021-000683_17	kiYcit viSrAmam svIkftya gamanasamaye saH nfpaH takzakAya DanyavAdam samarpya kaTitavAn
sp021-000684_17	yadi kadApi kimapi kazwam Bavet tarhi BavAn mama smaraRam karotu
sp021-000685_17	aham niScayena sAhAyyam karizyAmi
sp021-000686_17	yadA kadApi mama samIpam Agantum arhati BavAn iti
sp021-000687_17	gacCatA kAlena vanasTAn sarvAn vfkzAn kartayitvA
sp021-000688_17	jvAlayitvA ca kfzRANgArAn nirmAya takzakaH vikrayaRam kftavAn
sp021-000689_17	vanam samAptam jAtam
sp021-000690_17	takzakaH cintAgrastaH jAtaH
sp021-000691_17	agre arTArjanam kaTam karaRIyam iti praSnaH AgataH
sp021-000692_17	akasmAt tasya manasi rAjYaH smaraRam Agatam
sp021-000693_17	ataH saH rAjaDAnIm samprApya nfpeRa militavAn svasamasyAm niveditavAn ca
sp021-000694_17	rAjA mahAnagarAt bahiH rakzitam svacandanavanam takzakAya dattavAn
sp021-000695_17	katipayamAsAnantaram nfpaH takzakam smftvA
sp021-000696_17	tasya avasTAm jYAtum vanam agacCat
sp021-000697_17	tatra dvitrAH vfkzAH avaSizwAH Asan
sp021-000698_17	tezAm samApteH anantaram kim iti cintayan mlAnamuKaH takzakaH rodanam ArabDavAn
sp021-000699_17	etat dfzwvA nfpaH AScaryayuktaH aBavat
sp021-000700_17	candanavfkzAH kutra gatAH iti tasya manasi praSnaH udBUtaH
sp021-000701_17	rAjYA pfzwaH takzakaH uktavAn
sp021-000702_17	aham yaTApUrva kfzRANgArARAm nirmARam kftvA vikrayaRam karomi sma
sp021-000703_17	atrApi taTEva kftavAn iti
sp021-000704_17	rAjA tasya ajYAnam jYAtvA manasi eva hasan
sp021-000705_17	candanavfkzasya ekAm SAKAm kartayitvA vipaRim gatvA vikrIya AgacCa
sp021-000706_17	iti AdiSya tam takzakam vipaRim prati prezitavAn
sp021-000707_17	vipaRyAm candanavfkzaKaRqam dfzwvA
sp021-000708_17	kretum icCukAH ApaRikAH ahamahamikayA mUlyavarDanam kftavantaH
sp021-000709_17	tena daSasahasraparimitena mUlyena candanakAzWasya vikrayaRam aBavat
sp021-000710_17	takzakaH etAvat Danam prApya candanasya mUlyam kiyat iti avagatavAn
sp021-000711_17	adyaparyantam candanakAzWAni eva dagDvA aNgArAH nirmitAH yat tat smaran saH takzakaH mahAntam paScAttApam anuBUtavAn
sp021-000712_18	gurO prApte
sp021-000713_18	kadAcit kaScana taruRaH guroH samIpam Agatya prArTitavAn
sp021-000714_18	guruvarya Sizyatvena svIkftya aham anugrahaRIyaH iti
sp021-000715_18	tadA guruH avadat
sp021-000716_18	BoH ASrame etAvatA eva SatADikAH SizyAH santi
sp021-000717_18	ataH tava svIkAraH Bavitum nArhati iti
sp021-000718_18	gurudeva mama svIkAram mA nirAkarotu BavAn
sp021-000719_18	mama nimittam kApi vyavasTA na AvaSyakI
sp021-000720_18	BavAn yat kAryam vadet tat kurvan sTAsyAmi aham
sp021-000721_18	astu tarhi
sp021-000722_18	pAkaSAlAyAm pezaRAdikArye sAhAyyam kuru iti avadat guruH
sp021-000723_18	SizyaH etAm AjYAm SirasA vahan pezaRAdikArye udyataH aBavat
sp021-000724_18	ASrame janAH bahavaH
sp021-000725_18	ataH sarvadA pezaRAdikAryam pAkaSAlAyAm Bavati sma eva
sp021-000726_18	tat SradDayA akarot SizyaH
sp021-000727_18	guruH tam kadApi kimapi na boDitavAn
sp021-000728_18	evameva bahUni varzARi atItAni
sp021-000729_18	guroH antimakAlaH sannihitaH
sp021-000730_18	saH SizyAn AhUya avadat
sp021-000731_18	ASrame BavadBiH yat SikzaRam prAptam tasya sAram liKitvA yacCantu iti
sp021-000732_18	prAyaH sarvezAm ASayaH samAnaH eva AsIt
sp021-000733_18	manaH darpaRaH iva
sp021-000734_18	guruH svaboDanEH tatratyAn DUlikaRAn dUrIkaroti
sp021-000735_18	jYAnAYjanaSalAkayA saH asmAkam cakzuH unmIlayati iti
sp021-000736_18	kasyApi uttarasya paWanAt guruH na santuzwaH
sp021-000737_18	saH ante avadat
sp021-000738_18	saH pezaRakAryanirataH api asmin vizaye pfcCyatAm
sp021-000739_18	sa tu aSikzitaH
sp021-000740_18	kim vA vadet saH
sp021-000741_18	iti cintayantaH SizyAH pezaRakartAram avadan
sp021-000742_18	BavatA yat atra prAptam tat sArarUpeRa vada iti
sp021-000743_18	BavadBiH kim vA liKitam pezaRakartA apfcCat
sp021-000744_18	manorUpasya darpaRasya mAlinyApasArakaH Bavati guruH iti
sp021-000745_18	tadA saH pezaRakartA avadat
sp021-000746_18	suhfdaH gurO prApte punaH manaH asmatsamIpe kva Bavet
sp021-000747_18	tat tu Bavet gurvaDInam
sp021-000748_18	saH eva sarvAH kriyAH nirdiSati kArayati ca
sp021-000749_18	etat SrutvA nitarAm santuzwaH guruH EdamprATamyena tam svasamIpam AnAyya
sp021-000750_18	ASizA anugfhItavAn
sp021-000751_18	tameva ASramasya uttarADikAriRam kftavAn ca
