sp015-000001_001	upAyena Sakyam sarvam
sp015-000370_007	ataH tameva BavAn paSyatu iti uktavAn
sp015-000371_007	SivaH keSavasamIpam gatvA pravfttam sarvam avadat
sp015-000372_007	sarvam SrutvA keSavaH BadraH yadi padmAm pariRetum icCati
sp015-000373_007	tarhi varadakziRApraSnaH kutaH atra
sp015-000374_007	tena tu varadakziRAm vinA eva sA pariRetavyA
sp015-000375_007	sundaryAH padmAyAH vivAhaH varadakziRAm vinA eva Bavet
sp015-000376_007	yadi sA icCet tarhi ahameva tAm pariRayeyam iti avat
sp015-000377_007	etAm vArtAm SrutvA BadraH Jawiti SivasamIpam Agatya
sp015-000378_007	varadakziRAvizaye aham kaTaYcit pituH aNgIkAram prApsyAmi
sp015-000379_007	padmayA saha eva mama vivAha Bavatu iti avadat
sp015-000380_007	pArSve sTitayA padmayA etacCrutam
sp015-000381_007	sA Badram avadat
sp015-000382_007	keSavaH yadi vivAhaprastAvam na akarizyat tarhi BavAn niScayena varadakziRAm svIkftavAn syAt
sp015-000383_007	ataH aham keSavena eva pariRItA BavizyAmi iti
sp015-000384_007	idam SrutvA SivaH BItaH
sp015-000385_007	saH padmAm avagamayitum bahuDA prayatnam kftavAn
sp015-000386_007	BadraH tAm avadat
sp015-000387_007	dozam tu sarve kurvanti
sp015-000388_007	mAm kzamyatu BavatI
sp015-000389_007	vivAhAnantaram BavatIm candanapuram nezyAmi
sp015-000390_007	tatratyAni vESizwyAni darSayizyAmi
sp015-000391_007	mAm nirASam na karotu Bavati iti
sp015-000392_007	keSavaH api avadat
sp015-000393_007	candanapuram prati gamanam na sulaBam
sp015-000394_007	sAmAnyEH kAraREH tatra praveSaH prAptum na SakyaH
sp015-000395_007	BadraH tu vARijyakAraRam uktvA praveSAnumatim viSezakleSam vinA prApnuyAt
sp015-000396_007	candanapuradarSanasOBAgyam BavatI anyasya pariRayAt sarvaTA na prApnuyAt
sp015-000397_007	ataH etasya eva pariRayaH varam iti
sp015-000398_007	taTApi padmA keSavam eva pariRetum izwavatI
sp015-000399_007	tayoH vivAhaH sampannaH
sp015-000400_007	grAme sarvatra keSavasya praSaMsA aBavat
sp015-000401_007	keSavasya budDimatAm dfzwvA govindaH AScaryacakitaH
sp015-000402_007	keSavasya gfhe kaTaYcit samasyA utpAdanIyA iti niScitavAn saH
sp015-000403_007	ataH saH mahatA kazwena candanapuragamanAya anumatim prApya keSavasya gfham gatvA apfcCat
sp015-000404_007	aham candanapuram gacCan asmi
sp015-000405_007	BavataH patnI mama putrIsamAnA
sp015-000406_007	BavatA yadi pariRItA na aBavizyat
sp015-000407_007	tarhi sA BadreRa saha candanapuram agamizyat
sp015-000408_007	ataH etAm nItvA candanapuram darSanIyam iti mama prabalA icCA
sp015-000409_007	kim etat BavatA anumanyate iti
sp015-000410_007	tatrEva sTitA padmA etacCrutvA
sp015-000411_007	patiH eva mama sarvasvam
sp015-000412_007	candanapuram drazwavyam cet patyA saha eva gamizyAmi iti avadat
sp015-000413_007	tataH govindaH nirASayA ekAkI eva candanapuram gatavAn
sp015-000414_007	etasyAH GawanAyAH anantaram patnyA saha candanapuram gantavyam eva
sp015-000415_007	iti icCA utpannA keSavasya api manasi
sp015-000416_007	rAjaDAnyAm rAGavanAmakaH rAjodyogI vasati
sp015-000417_007	tasmE sahasram rUpyakARi dattAni cet saH candanapuragamanasya vyavasTAm karizyati
sp015-000418_007	kaTaYcit praveSArTam anumatiH labDA cet
sp015-000419_007	DanasampAdanasya mArgaH tatra Bavet eva iti acintayat keSavaH
sp015-000420_007	saH kasyacidDanikasya sakASAt sahasram rukyakARi fRarUpeRa svIkftya
sp015-000421_007	taddine eva patnyA saha candanapuram prati prasTitavAn
sp015-000422_007	saptAhacatuzwayAnantaram govindaH candanapurataH pratyAgatavAn
sp015-000423_007	candanapurasya vESizwyAni Srotum govindasya bAnDavAH mitrARi ca AgatavantaH
sp015-000424_007	govindaH tatratyAni vESizwyAni varRayan
sp015-000425_007	BUmO etAdfSam viSizwam nagaram syAt ityatra mama viSvAsaH eva nAsti
sp015-000426_007	udAharaRArTam mayA AnItAni vastUni pariSIlayantu
sp015-000427_007	iti uktvA AtmanA AnItAni vastUni pradarSitavAn
sp015-000428_007	tatra kOSeyaSAwikAH sundaraSirastrARi AkarzakARi pAdatrARAni
sp015-000429_007	ityAdIni viSizwAni bahUni vastUni Asan
sp015-000430_007	sarvam darSayitvA govindaH candanapuravizaye vaktavyam itoऽpi bahu asti
sp015-000431_007	SvaH AgacCantu tAvat iti avadat
sp015-000432_007	astu iti uktvA sarve pratigatAH
sp015-000433_007	kintu paredyavi koऽpi govindasya gfham na AgatavAn
sp015-000434_007	yataH taddine eva keSavaH patnyA saha candanapurAt AgatavAn AsIt
sp015-000435_007	yAvantaH paricitAH teByaH sarveByaH dAtum saH upAyanAni AnItavAn AsIt
sp015-000436_007	BadrAya prakASamAnam ratnANgulIyakam dattavAn saH
sp015-000437_007	fRadAtre DanikAya piYCasahitAm leKinIm dattvA tadIyam fRamapi pratyarpitavAn
sp015-000438_007	paredyavi yEH keSavAt upAyanAni prAptAni Asan
sp015-000439_007	tAn govindaH svagfham AhUya keSavena kasmE kim dattam ityAdi vivaraRam pfzwavAn
sp015-000440_007	acalapatiH Sirastram prAptavAnAsIt
sp015-000441_007	tam uddiSya hanta kim etat BavatA prAptam upAyanam
sp015-000442_007	prAyaH BavataH lalAwe etAdfSyasya alpamUlyakasya prAptiH eva liKitA syAt
sp015-000443_007	aham tu Bavate dAtum suvarRANgulIyakam eva AnItavAn Asam
sp015-000444_007	kintu kim karavARi
sp015-000445_007	sarveByaH dAtum bahUni vastUni krItAni Asan mayA
sp015-000446_007	sarvARi ekasmin syUte pUritavAn Asam
sp015-000447_007	nOkAtaH AtareRa samaye na jAne saH syUtaH kaTam adfSyatAm gataH iti
sp015-000448_007	bahuDA anvizwam cedapi saH na prAptaH eva iti avadat govindaH
sp015-000449_007	tAvatA eva tatrAgataH keSavaH syUtasya kaTAm SrutavAn
sp015-000450_007	govindaH keSavam uddiSya keSava mama nimittam BavAn kimapi na AnItavAn iti BAti iti uktavAn
sp015-000451_007	tadA keSavaH mama samIpe vastUnAm rASiH eva AsIt
sp015-000452_007	sTalABAvakAraRataH BavataH syUte eva BavataH nimittam AnItAm mOktikamAlAm api sTApitavAn Asam
sp015-000453_007	kim saha eva syUtaH nazwaH iti AScaryam anuBavan iva pfzwavAn
sp015-000454_007	keSavasya cAturyayuktEH vacanEH sarve uccEH hasitavantaH
sp015-000455_007	sarvezAm gamanAnantaram govindaH keSavam apfcCat
sp015-000456_007	sarvezAm purataH amAnanam kftavAn BavAn
sp015-000457_007	kim etat ucitam iti
sp015-000458_007	mayA kim vA kftam
sp015-000459_007	viSvAsAnarhA syUtanASakakaTA BavatA SrAvitA
sp015-000460_007	ataH janAH hasitavantaH
sp015-000461_007	BavatA svasya avamAnanam svayam kftam
sp015-000462_007	yasmin dine pratyAgatam tasminneva dine yadi syUtanASakakaTA SrAvitA syAt
sp015-000463_007	tarhi janAH viSvAsam akarizyan kadAcit
sp015-000464_007	iti uktvA tataH nirgatavAn keSavaH
sp015-000465_007	tasmAddinAt yadi koऽpi keSavam pfcCet
sp015-000466_007	candanapurataH mahyam kimapi kim na AnItam iti
sp015-000467_007	tarhi keSavaH vadati sma
sp015-000468_007	BavataH nimittam Anetum vastu govindasya syUte sTApitam AsIt mayA
sp015-000469_007	tacca govindasyUtena saha eva nazwam iti
sp015-000470_007	yadi koऽpi bAlaH kimapi vastu AvaSyakam eva iti rodanam kuryAt
sp015-000471_007	tarhi janAH vadanti sma
sp015-000472_007	tacca govindasyUte sTApitam AsIt
sp015-000473_007	syUtaH yadA prApyate tadA tadvastu dIyate Bavate iti
sp015-000474_007	etena AtmanA kftam avivekam avagatavAn govindaH
sp015-000475_007	ataH saH svasya svaBAvam parivartayan uttamAm kIrtim prAptavAn
