sp025-000001_001	ftuH parivartate
sp025-000455_003	utsavAnAm pUrva sajjatA arTAt svacCIkaraRam
sp025-000456_003	nedam asmAkam kfte kimapi navInam aBUtapUrvam vA paraYcEtat anuzWAnam sAmAjikasvaBAvatvena api nUnam karaRIyam avaSizyate
sp025-000457_003	sAmAjika dfzwyA svacCatAyAH ayam AgrahaH na kevalam gfhe eva asmadIye sampUrReऽpi grAme pUrReऽpi pure kftsneऽpi nagare asmadIye aKileऽpi rAjye samagreऽpi asmadIye deSe svacCatA Bavet
sp025-000458_003	svacCIkaraRam avaSyam utsavAnAm aBinnANgatvena syAt
sp025-000459_003	mama priyAH deSavAsinaH ADunikIBavanasya pariBAzAH satatam parivartante
sp025-000460_003	kiyAn ADunikaH
sp025-000461_003	BavataH vicAra prakriyA kiyatI ADunikI asti
sp025-000462_003	etat sarvam avagantum ekaH nikazaH api vyavahriyate api ca saH vartate yat BavAn paryAvaraRam prati kiyAn jAgarUkaH iti
sp025-000463_003	samAje sAmpratam etat pratikUla vyavahAraH anucitaH parigaRyate
sp025-000464_003	asya pariRAmam sAmpratam paSyAmi yat etaddinezu gaReSotsave api pariveSAnukUlaH gaRapatiH viracyate manye yat bfhadekam aBiyAnam pravartyate
sp025-000465_003	tAH AkftIH varREH raYjayanti
sp025-000466_003	kaScana vAnaspatikEH raNgEH tAH lepayati kaScana tAsu kargada SakalAni Slezayati
sp025-000467_003	viviDAH prayogAH pratigfham Bavanti
sp025-000468_003	prakArAntareRa gaReSotsaveऽsmin paryAvaraRa cetanatAyAH bfhad vyApakaYca praSikzaRam avalokayitum Sakyate
sp025-000469_003	pUrvam kadAcideva taddfzwam syAt
sp025-000470_003	saYcAra mADyamAni api pariveSAnukUlAH gaReSa pratimAH viracayitum janAn vyApakatayA praSikzayanti prerayanti nirdiSanti ca
sp025-000471_003	paSyantu kiyat bfhat parivartanam saYjAtam
sp025-000472_003	api cEtat suKadam vartate
sp025-000473_003	yaTA mayA pUrvam kaTitam deSoऽyam kowi kowiBiH tejasvi pratiBABiH api samBaritaH asti
sp025-000474_003	kaScana mAm asUcayat yat kutracit kaScana sajjanaH svayam aBiyantA sannapi saH viSizwa prakArikAm mfttikAm samAhftya tAm saMyojya gaReSa racanAyAH praSikzaRam janeByaH pradadAti
sp025-000475_003	api ca ekasyAm laGu jaladroRyAm gaReSa mUrti visarjanam viDIyate
sp025-000476_003	tasyAmeva jala droRyAm gaReSa mUrtiH sTApyate drutameva ca jalena miSrIyate
sp025-000477_003	nEtAvatA alam tena jala droRyAm vfndA pAdapaH vA anye pAdapAH api ropitAH
sp025-000478_003	varza traya pUrvam yadA svacCatAyAH aBiyAnam ArabDam okwobara mAse dvitIye dinANke tataH param EzamaH varza trayam pUrRam BavitA
sp025-000479_003	taTA cAsya aBiyAnasya sakArAtmakAni pariRAmAni Alokyante
sp025-000480_003	pratiSatam UnacatvArinSatataH prAyeRa pratiSatam sapta zazwi mitam SOcAlayAnAm nirmARalakzyam pUrRam ajAyata
sp025-000481_003	aDunAvaDi trinSat sahasrottara dvilakzamitADikAH grAmAH anAvfta SOcAcaraRAt AtmAnam muktAn GozitavantaH
sp025-000482_003	vigatezu dinezu gujarAte jalopaplavaH sammuKIkftaH
sp025-000483_003	aneke janAH vigata prARAH jAtAH paraYca jala pUrasya anantaram yadA jala pravAhaH nyUnIBUtaH tadA sarvatra atitarAm mAlinyam asvacCatA ca sameDite jAte
sp025-000484_003	sarveऽpi ete svIya prasveda prasravaRa purassaram sannadDAH santaH kAryeऽsmin saMlagnAH saYjAtAH
sp025-000485_003	svacCatAyAH kfte ekatAyAH amunA uttamottamena udAharaRena pratyekamapi janaH prerito Bavati
sp025-000486_003	svacCatAyE samarpaRa BAvena vihitaH prayAsaH yadi asmadIyaH sTAyI svaBAvaH Bavet cet rAzwrasya paramottamA samunnatiH avaSyamBAvinI BavitA
sp025-000487_003	mama priyAH deSavAsinaH sarvAn BavataH AhvayAmi yat punarekavAram okwobara mAsIyAt dvitIya dinAt arTAt gAnDi jayantyAH paYcadaSa vA vinSati dineByaH prAgeva svacCatA eva sevA iti aBiyAnamekam pravartayema
sp025-000488_003	samagreऽpi deSe svacCatAyAH pariveSam janayema
sp025-000489_003	yaTAvasaram yatrAvasarAn laBAmahe vayam samucitAvasarAn mfgayema paramArTena vayam saMyutAH Bavema
sp025-000490_003	dIpAvallyAH sajjEzA iti manyemahi utAho navarAtrasya sannadDatA vA durgApUjAyAH upakalpanamiti
sp025-000491_003	SramadAnam kuryAma avakASa dine vA ravivAsare vA samBUya kAryARi kuryAma
sp025-000492_003	tAdfSIm svacCatAm kuryAma yat okwobara mAsIyaH dvitIya divasaH yaTArTa BAvena gAnDi mahAtmanaH okwobaramAsIyA dvitIyA tiTiH Bavet
sp025-000493_003	mama sAmAjika saYcAra mADyamAnAm mitrARi kiYcit racanAtmakam aBiyAnam pracAlayitum Saknuvanti
sp025-000494_003	peyajala svacCatA mantrAlayena pravartyamAne svacCa saNkalpataH svacCa sidDi sparDA ityaBiyAne nibanDa sparDA laGu calacitra nirmARa sparDA citrakalA sparDA cAyojyante
sp025-000495_003	etadarTam BavantaH viBinnAsu BAzAsu nibanDAn leKitum arhanti
sp025-000496_003	etadarTam AyuzaH pratibanDaH nEvAsti
sp025-000497_003	BavantaH laGu calacitram nirmAtum Saknuvanti
sp025-000498_003	svIyena jaNgama dUraBAzeRa vA nirmAtum arhanti
sp025-000499_003	miniw dvayasya miniw trayasya vA calacitram racayitum Saknuvanti yadDi svacCatAyE prerakam Bavet
sp025-000500_003	janapada stare trayaH rAjyastare ca trayaH eteByaH puraskArAH pradAsyante
sp025-000501_003	ataH aham pratyekamapi janam nimantrayAmi yat AgacCantu
sp025-000502_003	svacCatAyAH aBiyAnasya etAdfSena prakalpenApi AtmAnam saMyojayantu
sp025-000503_003	BUyoऽpi ekavAram kaTayitumicCAmi yat EzamaH gAnDi jayantIm svacCa dvitIya okwobara rUpeRa Ayojayitum saNkalpayema
sp025-000504_003	etadarTaYca sepwembara mAsasya paYcadaSa dinAdeva svacCatA eva sevA iti mantram pratigfham prApayema
sp025-000505_003	svacCatAyE kamapi kamapi samupAyam vidaDma
sp025-000506_003	svayam pariSramya asya sahaBAginaH Bavema
sp025-000507_003	BavantaH avalokayantu gAnDi jayantyAH okwobara mAsIyA dvitIyA tiTiH kiyatI praSastA BavitA
sp025-000508_003	BavantaH kalpayitum Saknuvanti yat paYcadaSa divasIyAyAH svacCatAyAH etad aBiyAnasya anantaram svacCatA eva sevA ityasya anantaram okwobare dvitIya dine yadA vayam gAnDi jayantIm AyojayizyAmaH tadA pUjyAya bApU varyAya SradDAYjali pradAnAvasare vayam kiyantam pavitram Ananda sandoham anuBavizyAmaH
sp025-000509_003	mama priyAH deSavAsinaH adyAham viSeza rUpeRa BavatAm sarvezAm ADamarRyam svIkartum vAYCAmi
sp025-000510_003	sudIrGa kAlam yAvat BavantaH man kI bAt ityanena saMyutAH sTitAH iti kftvA nEva api tu amunA kAryakrameRa sArDameva aSeza deSasya pratyekamapi koRAt lakzaSo janAH saMyutAH Bavanti iti kftvA sADuvAdAn vitarAmi
sp025-000511_003	SrotArastu kowiSo vartante parantu lakzaSo janAH kadAcit mAm patrARi liKanti kadAcit sandiSanti kadAcit dUraBAzeRa sandeSam prezayanti etat sarvam mama kfte bfhat niDi rUpam vartate
sp025-000512_003	BavantaH man kI bAt ityasya yAvatIm pratIkzAm kurvanti tatoऽpyaDikatayA BavatAm sandeSAn aham pratIkze
sp025-000513_003	yat kimapi karomi tasya parIkzAyE avasaro laByate
sp025-000514_003	ata eva BavatAmasmE yogadAnAya ABAram prakawayAmi
sp025-000515_003	aDunA paSyantu amunA dUraBAza sandeSena sAkam Bavantoऽpi AtmAnam saMyoktum praBavizyanti
sp025-000516_003	BavantaH api anuBavizyanti yat aho mayApi kadAcit etAdfSI truwiH Acariteti
sp025-000517_003	aham mama saKyAH vizaye kimapi kaTayitumicCAmi
sp025-000518_003	paraYca tasyAH ekAm rItim dfzwvA aham pratoditA BavAmi
sp025-000519_003	aham atIva duHKam anuBavAmi
sp025-000520_003	vayam bahuzu sTAnezu vinEva vAramapi pfzwvA bfhanmAtrikam pradeyam kurmaH
sp025-000521_003	tezu nEva viSvasimaH
sp025-000522_003	BavAn svIye man kI bAt ityatra avaSyam vizayamenam upasTApayatu
sp025-000523_003	sAmpratam imAm dUraBAzAkAraRAm SrutvA BavantaH nUnam cakitAH jAtAH syuH iti dfQatayA viSvasimi
sp025-000524_003	samBavet itaH param nEvam vyavahartum BavantaH niScitavantaH vA
sp025-000525_003	saH Bavet vA laGuH ApaRikaH vA owo yAnacAlakaH vA pariBramya vastu vikrayaRa SIlaH SramajIvI vA kaScit
sp025-000526_003	kenacidapi nirDanena sAkam sambanDo Bavati tadEva mUlya nyUnIkaraRArTam vadAmaH
sp025-000527_003	saH Ahato Bavati
sp025-000528_003	asO nirDanaH iti kftvA tasya prAmARikatA sandihyate
sp025-000529_003	rUpyaka dvayena rUpyaka paYcakena vA BavatAm jIvane na kiYcit nEyUnyam Bavizyati
sp025-000530_003	asmadIyA laGvI api ezA rItiH kiyatI AGAtakArikA Bavati iti na kadApi pariSIlitam syAt
sp025-000531_003	aham dfQam viSvasimi yanmama deSavAsinaH api yadi nirDanena sAkam etAdfk vyavahArasya aByAsam DArayanti cet te nUnam tam parityakzyanti
sp025-000532_003	mama priyAH navayuvAnaH saKAyaH ogaswa mAsasya Una trinSattamaH divasaH Kela divasatvena AmAnyate
sp025-000533_003	taTyamidam etasmAt kAraRAdeva smArayAmi yat asmadIyasya deSasya nUtanA santatiH krIqABiH sAkam AtmAnam saMyojayeyuH
sp025-000534_003	yadi vayam jagati yuva rAzwra rUpeRa smaH cet asmadIyA ezA taruRatA krIqA kzetrezu api dfzwipaTam AgatA Bavet
sp025-000535_003	krIqA arTAt SArIrikI OcitI mAnasikI jAgftiH vyaktitva saMvarDanam cetyAdi
sp025-000536_003	avagacCAmi yaditaH paramapi kim syAt
sp025-000537_003	asmadIyo yuva vaMSaH krIqA jagati agragAmI Bavet
sp025-000538_003	saNgaRakopari krikew Kelanam syAt kurvanti paraYca anAvfte krIqA sTale api ca naBasaH nIcEH krikew krIqAyAH AnandaH nUnam pfTageva Bavati
sp025-000539_003	kadAcit pUrvam tAdfSaH kAlaH AsIt yadA kuwumbasya bAlAH bahirgacCanti sma tadA jananI praTamam pfcCati sma yat tvam kadA pratyAgamizyasi
sp025-000540_003	tadA jananI sacItkAram kaTayitum vivaSA Bavati yat tvam bahiH kadA gamizyasi
sp025-000541_003	iti kAlAnusAriRI kaTeyam yat kadAcit jananI bAlAn pfcCati sma yat kadA pratyAgamizyasi
sp025-000542_003	citeByaH udIyamAneByaH krIqakeByaH Kela mantrAlayaH praSikzaRam pradAsyati api ca mantrAlayaH SvaH eva etad antarjAlIya vAhikAm pravartayizyati
sp025-000543_003	yadAham Kela carcAm karomi smarAmi ca yat vigate saptAhe mArmikI ekA GawanA GawitA
sp025-000544_003	tasyAH vizaye deSavAsinaH sUcayitum vAYCAmi
sp025-000545_003	atyalpAyuzmatInAm bAlAnAm gaRena saha melanasya avasaro mayA labDaH
sp025-000546_003	tAsu kAScana tu himAlaye jAtAH santi
sp025-000547_003	samudra vizayakaH na kaScanApi anuBavaH tAsAm
sp025-000548_003	asmaddeSasya etAdfSyaH zaw putrikAH yAH hi nO senAyAm niyuktAH santi tAsAm utsAhaH tAsAm BAvaSca asmAn sarvAn balAt prerayataH
sp025-000549_003	asyABiyAnasya nAmAsti nAvikA sAgara parikramA api cEtAH aSeza viSva BramaRam kftvA aneka mAsAnantaram BAratam pratyAgamizyanti
sp025-000550_003	kadAcit anAratam catvAriMSaddinAni jalezu eva yApayizyanti kadAcicca anAratam triMSaddinAni vA salilezu eva niryApayizyanti
sp025-000551_003	sAmudrikezu taraNgezu sasAhasam ramamARAH asmadIyAH BAratIyAH zaw putrikAH
sp025-000552_003	viSvasya prapraTameyam GawanA BavitA
sp025-000553_003	ko nAma na Bavet hindusTAnI yo hi AsAm BAratIya putrikARAm kfte gOravam nAnuBavet
sp025-000554_003	ahamAsAm putrikARAm sAhasam adamyotsAhaYca aBinandAmi
sp025-000555_003	aham tAH akaTayam yat tAH svIyAnuBavAn aSeza deSavAsiBiH sAkam vitareyuH
sp025-000556_003	yato hi ezAsti sAhasa kaTA svAnuBava kaTA api cAham prasannatAm anuBavizyAmi yadi AsAm putrikARAm anuBavAn BavataH yAvat prApayizyAmi
sp025-000557_003	mAmakInAByaH AByaH putrikAByaH BUriSo maNgala kAmanAH hArdikIYca ASirASim vitarAmi
sp025-000558_003	mama priyAH deSavAsinaH sepwembara mAse paYcame dine vayam Sikzaka divasam AyojayAmaH
sp025-000559_003	asO rAzwrapatiH AsIt paraYca AjIvanam asO AtmAnam Sikzaka rUpeRa eva upAsTApayat
sp025-000560_003	saH SikzAm prati samarpitaH AsIt
sp025-000561_003	saH aDyetA rAjanayikaH BAratasya ca rAzwrapatiH paraYca pratikzaRam jIvanneva SikzakaH
sp025-000562_003	tasmE sAdaram namAmi
sp025-000563_003	svIyezu vidyArTizu sfjanAtmaka BAvasya jYAnasya ca Anandasya jAgaraRam eva Sikzakasya mahatvapUrRam kAryam
sp025-000564_003	EzamaH yadA vayam Sikzaka divasam AyojayizyAmaH tadA kim vayam sarve militvA saNkalpayitum SaknumaH
sp025-000565_003	sotsAham aBiyAnamekam pravartayitum pArayAmaH
sp025-000566_003	amunA saNkalpena sAkam vizayamenam agresArayitum arhizyAmaH
sp025-000567_003	jIvane saPalatAyAH Anandam prApnumaH
sp025-000568_003	etAdfSam pariveSam asmadIyAH vidyAlayAH asmAkInAH mahAvidyAlayAH asmadIyAH SikzakAH asmAkam ca SikzA saMsTAnAni kartum praBavanti
sp025-000569_003	asmadIye deSe yadA vayam saNkramaRasya vizayam upasTApayamaH tadA yaTA kuwumbe mAtuH smaraRam Bavati tadvad samAje Sikzakasya smaraRam Bavati
sp025-000570_003	AgacCantu mantramenam svIkftya agresarAmaH
sp025-000571_003	kim BavAn idam kaTayitum Saknoti yat varza trayAnantaram BAratam samaDikam saMrakzitam ca vartate
sp025-000572_003	kim etadvizayakARi sOviDyAni asmadIyAByaH mahilAByaH kfzakeByaH SramikeByaH vA prAptAni DanyavAdaH
sp025-000573_003	varza traya pUrvam ogaswa mAse azwAviMSatitame dine svapnamekam ADftya aBiyAnamidam pravartitamAsIt
sp025-000574_003	SvaH praDAna mantri jana Dana yojanA varza trayam pUrRatAm upEti
sp025-000575_003	triMSat kowimitAni nUtanAni kuwumbAni amunA sAkam saMyojitAni
sp025-000576_003	bENka leKAH ca samudGAwitAH
sp025-000577_003	adyAham samAdaDAmi yat varza trayAByantarameva samAjasya antima paNktisTaH janaH mama nirDanaH BrAtA deSasya arTavyavasTAyAH mUlaDArAyAH aNgatvena pratizWito jAtaH
sp025-000578_003	sAmpratam saMyamasya pariveSaH viracitosti
sp025-000579_003	praDAna mantri jana Dana yojanAyAm nirDana dvArA prAyeRa paYca zazwi sahasra kowimitAni rUpyakARi bENkezu saYcitAni
sp025-000580_003	kowi kowi navayuvakAH praDAnamantri mudrA yojanayA bENkaByaH vinEva pratyABUtim Danam prAptavantaH
sp025-000581_003	te svayamapi AtmanirBaratvam prAptavantaH
sp025-000582_003	pratyekamapi ekasmE vA dvAByAm vA vftti pradAnArTam prAyatata
sp025-000583_003	etAdfSAni SatADikAni udAharaRAni santi
sp025-000584_003	Bavat paryantam etAni udAharaRAni prApayitumaham sarvAtmanA prayatizye api ca saYcAra mADyamAni api etezAm janAnAm sAkzAtkArAdikam viDAya nUtanAn yuva janAn prerayitum Saknuvanti
sp025-000585_003	mama priyAH deSavAsinaH punarekavAram BavatAm kfte micCAmi dukkaqam
sp025-000586_004	mama priyAH deSa vAsinaH namaskAraH
sp025-000587_004	katipaya dineByaH pUrvam aham karRAwakasya bAlamitrEH saha parokza saMvAdasya avasaram labDavAn
sp025-000588_004	anantaram amunA kAnicana citAni patrARi prakASitAni
sp025-000589_004	aham tAni patrARi apaWam tanmahyam sutarAm arocata
sp025-000590_004	ete laGu laGu bAlakAH api deSasya samasyABiH aBijYAtAH santi deSe pravartamAnABiH carcABirapi paricitAH santi
sp025-000591_004	anekAn vizayAn Alakzya ete bAlAH aliKan
sp025-000592_004	yadi vayam bAleByaH prakfti sUcanAm dadmaScet syAt paryAvaraRasya rakzAyAH kfte teByaH BavizyatkAle mahat sAhAyyam setsyati
sp025-000593_004	ko nAma vA Bavet BAratIyaH yaH sEnikatva vizaye gOravam nAnuBavet
sp025-000594_004	BavatI tu sEnikasya putrI BavatyAH gOravAnuBUtistu svABAvikI
sp025-000595_004	sA idamapi liKitavatI yadetasmAt kAraRAt svIyEH saKiBiH sAkam kAlam yApayitum sA nEva Saknoti
sp025-000596_004	sA parAmarSayat yat samIpameva kaScana vidyAlayaH sTApanIyaH
sp025-000597_004	paraYca deSavAsinaH ekena vArtApatreRa prATamika prayAsatvena idam ArabDam mAm prati etAni patrARi prApitAni mahyam idam arocata tezAm patrARAm paWanasya avasaram labDavAn
sp025-000598_004	matkfteऽpi ayam suKadaH anuBavaH AsIt
sp025-000599_004	mama priyAH deSavAsinaH adya navambara mAsIyaH ekAdaSa dinANkaH
sp025-000600_004	navambaramAsIyaH ekAdaSa dinANkaH asmadIya saMviDAnasya divasosti
sp025-000601_004	UnaviMSa SatAbdasya Una pancASattame varze asminneva dine saMviDAna saBA BAratasya saMviDAnam svIkftavatI
sp025-000602_004	BAratasya saMviDAnam hi asmadIya lokatantrasya AtmA vartate
sp025-000603_004	adyatanoऽyam divasaH saMviDAna saBAyAH sadasyAnAm smaraRa dinam vartate
sp025-000604_004	te hi BAratasya saMviDAna saMracanAyAH kfte prAyeRa varzatrayam yAvat pariSramam akurvan
sp025-000605_004	yaH kaScana tadvizayiRIm paricarcAm paWati nUnam saH anuBavati yat rAzwrAya samarpita jIvanasya vicArasaraRI kIdfSI Bavati
sp025-000606_004	etadvizaye vayam gOravam anuBavAmaH
sp025-000607_004	kim BavantaH idam kalpayitum Saknuvanti yat viviDatA pUrRasya asmadIya deSasya saMviDAna racanAyE te kiyantam kaWoram SramitavantaH
sp025-000608_004	pAradarSitvasya praboDasya dUradarSitAyASca nUnam te darSanam kAritavantaH tadapi tasmin kAle yadA deSaH dAsatAyAH SfNKalAByaH mukti prakriyAyAm AsIt
sp025-000609_004	asyEva saMviDAnasya prakASAntargatam saMviDAna nirmAtFRAm tezAm mahApuruzARAm ca vicAra prakASAntargatam nUtana BAratasya nirmARam asmAkam sarvezAm dAyitvam vartate
sp025-000610_004	asmadIyam saMviDAnam ativyApakam vartate
sp025-000611_004	samBavataH jIvanasya tAdfSam kiYcana kzetram nAsti prakfteH tAdfSaH kaScana vizayo nEvAsti yo hi nAtra samAveSitaH
sp025-000612_004	sarvezAm kfte samAnatA sarvAn prati ca saMvedanaSIlatA etadasti asmadIya saMviDAnasya aBijYAnam
sp025-000613_004	idam pratyekamapi nAgarikasya Bavatu nAma saH nirDano vA dalitaH paScavartI vA vaYcitaH AdivAsI vA mahilA sarvezAm mOlikAn aDikArAn rakzati tezAYca hitAni paripAlayati
sp025-000614_004	asmadIyamidam kartavyam yadvayam saMviDAnam akzaraSaH anusarema
sp025-000615_004	Bavatu nAma saH nAgariko vA praSAsakaH saMviDAnasya BAvanAnurUpam agresarema
sp025-000616_004	na kaScana api kzatim avApnuyAt ayamevAsti saMviDAnasya sandeSaH
sp025-000617_004	asyAm saMviDAna saBAyAm mahatvapUrRa vizayARAm kfte saptadaSa pfTak pfTak samitayo viracitAH Asan
sp025-000618_004	asO nitarAm BUyasIm mahatvapUrRAm BUmikAm nirvAhayan AsIt
sp025-000619_004	tena sunirDAritamAsIt yat samAjasya pratyekamapi vargasya kalyARam Bavet
sp025-000620_004	qisambara mAse zazWe dine tasya mahAparinirvARa divasasya avasare vayam sarvadA eva tam smarAmaH namAmaSca
sp025-000621_004	deSasya samfdDO SaktimatkaraRe ca bAbAsAhebasya yogadAnam avismaraRIyamasti
sp025-000622_004	asO mOlikADikArARAm alpa saNKyakAnAm AdivAsinAm ca kfte viracitAyAH parAmarSadAtf samiteH api aDyakzaH AsIt
sp025-000623_004	navambara mAsIyaH ekAdaSa dinANkaH asmadI saMviDAna divasoऽsti paraYca deSoऽyam kaTam vismartum praBavati yannava varzeByaH prAk asminneva dine AtaNkavAdinaH mumbaIm AkrAntavantaH
sp025-000624_004	deSoऽyam tAn vIrAn nAgarikAn rakzikarmiRaH surakzAkarmiRaH sarvAn api tAn smarati praRamati ca ye AtmAnam utsfzwavantaH
sp025-000625_004	deSoऽyam tezAm balidAnam na kadApi vismarizyati
sp025-000626_004	AtaNkavAdaH adyatve viSvasya pratyekamapi BU BAge sAmAnyataH pratidinam saYjAyamAnAyAH GawanAyAH ati BayaNkara rUpatvena santizWate
sp025-000627_004	vayam BArate vigateByaH catvAriMSadvarzeByaH AtaNkavAdasya kAraRAt subahu sammuKIkurmaH
sp025-000628_004	asmadIyAH parassahasram nirdoza janAH vigata prARAH jAtAH
sp025-000629_004	api ca katipaya varzeByaH prAk yadA BAratam jagati AtaNkavAdam carcate sma AtaNkavAdAt saYjAyamAnam BayaNkaram saNkawam paricarcate sma tadA jagataH janAnAm aDisaNKyam vizayamenam gaBIratayA svIkartum udyatam nEva AsIt
sp025-000630_004	paraYcAdya AtaNkavAdaH tezAm dvArARi saNketayati tadA jagataH pratyekamapi praSAsanam mAnavatAvAde Ahita viSvAsAni lokatantre ASvastAni ca praSAsanAni AtaNkavAdam bfhattara samAhvAnatvena avalokayanti
sp025-000631_004	AtaNkavAdaH viSvasya mAnavatAm samAhvayati
sp025-000632_004	saH mAnavIya SaktIH nASayitum tatparaH
sp025-000633_004	ataH na kevalam BAratam viSvasya sarvAH api mAnavatAvAdi SaktayaH samBUya nUnam AtaNkavAdam parAjayeran
sp025-000634_004	AtaNkavAdaH ugravAdaSca asmadIyAm sAmAjika saMracanAm durbalIkftya enAm Cettum BettuYca duScezwete
sp025-000635_004	ata eva kAleऽsmin mAnavatAvAdi SaktayaH samaDika jAgarukatayA vyavahareyuH iti paramAvaSyakam
sp025-000636_004	mama priyAH deSavAsinaH qisambara mAse caturTa dine vayam sarve militvA nO senA divasam AyojayizyAmaH
sp025-000637_004	BAratIya nO senA asmadIya samudra tawAni saMrakzati
sp025-000638_004	aham nO senA sambadDAn sarvAn api janAn aBinandAmi
sp025-000639_004	ete aSeza viSvasya kfte asmadIya dvArARi santi
sp025-000640_004	asya deSasya asmadIyAyAH asyAH BUmeH mahAsAgarEH sAkam aviBAjyaH sambanDaH avartata
sp025-000641_004	taTA ca yadA vayam itihAsam avalokayAmaH prAyeRa azwaSata navaSata varzeByaH prAk cola vaMSa kAle cola nO senA SaktimattamAsu senAsu anyatamA mAnyate sma
sp025-000642_004	cola sAmrAjyasya vistare ArTika mahacCaktitvena asya vikAsArTam nO senAyAH mahadyogadAnamAsIt
sp025-000643_004	cola nO senAyAH aBiyAnAnAm anvezaRa yAtrARAm cAnekAni udAharaRAni adyApi saNgama sAhitye samupalabDAni santi
sp025-000644_004	atinyUnAH eva avagatAH BaveyuH yat jagati nOsenAnAm aDisaNKyam sudIrGa kAlAnantaram yudDa potezu kAryArTam mahilAH anujYAtavat
sp025-000645_004	paraYca cola nOsenAyAm azwaSata navaSata varzeByaH prAk anekAH mahilAH pramuKAm BUmikAm niravahan
sp025-000646_004	na kevalam etAvadeva yudDezvapi mahilAH samAvizwAH Asan
sp025-000647_004	yadA vayam nO senA vizayam kaTayAmaH tadA Catrapati SivAjI mahArAjasya tasya ca nO senAyAH sAmarTyam ko nAma vismartum arhati
sp025-000648_004	koNkaRa tawa kzetram yatra samudrasya mahatvapUrRA BUmikA vartate
sp025-000649_004	SivAjI mahArAjasya rAjyAntarvarti AsIt
sp025-000650_004	etezAm durgARAm surakzA dAyitvam hi marAWA nO senA kurvantI AsIt
sp025-000651_004	marAWA nO senAyAm viSAla kAya potAnAm laGu nOkAnAYca saMyutiH AsIt
sp025-000652_004	asyAH nOsEnikAH kamapi Satrum AkrAntum tasmAcca AtmAnam rakzitum atitarAm kuSalAH Asan
sp025-000653_004	saH marAWA nO senAyAH staronnayanam kftavAn api ca nEkatra marAWA nO sEnikAnAm AsTAnakAni sTApitavAn
sp025-000654_004	svatantratAyAH prApteH anantaram asmadIyA BAratIyA nO senA viBinnezu avasarezu svIyam parAkramam prAdarSayat
sp025-000655_004	Bavatu saH govA mukti saNgrAmaH Ahosvit UnaviMSa SatAbdasya ekasaptatitama varzIyam BArata pAka yudDam yadA vayam nO senAyAH carcAm kurmaH tadA kevalam yudDameva paSyAmaH paraYca BAratasya nO senA mAnavatAyAH kAryezvapi sotsAham sahaBAgitvamAvahati
sp025-000656_004	varze asmin mE jUna mAsayoH yadA SrIlaNkA deSe jalapUrasya BayaNkaram saNkawam samApannam tadA asmadIya nO senAyAH pota trayam tatkAlameva tatra gatvA tatratya praSAsanAya janatAyE ca sAhAyyam vyadaDAt
sp025-000657_004	Bavatu nAma sTala senA vA nO senA vA vAyu senA asmAkam sEnikAnAm sAhasam vIratA SOryam parAkramaH balidAnaYca gOravAspadameva pratyekamapi deSavAsI etAn praRamati
sp025-000658_004	sapAda Sata kowi mitAH deSavAsinaH suKena jIvanam yApayeyuH iti vicintya ete svIyam yOvanam rAzwrAya samarpayanti
sp025-000659_004	prati varzam qisembara mAse saptame dine saSastrabalAni Dvaja dinam Ayojayanti
sp025-000660_004	ayam hi deSasya saSastrabalAni prati garva sammAnayoH prakawIkaraRasya divasoऽsti
sp025-000661_004	prasannoऽsmi yat samprati pratirakzA mantrAlayaH qisembara mAse ekataH saptama dinam yAvat aBiyAnam pracAlayitum niraREzIt
sp025-000662_004	deSasya nAgarikAn samprApya saSastrabalAnAm vizaye janAH saMsUcanIyAH te ca sutarAm praboDanIyAH ca
sp025-000663_004	sampUrReऽpi saptAhe AbAla vfdDAH sarveऽpi Dvajam sanDArayeyuH
sp025-000664_004	deSe senAm prati sammAnasya Andolanam pravartitam syAt
sp025-000665_004	avasare asmin vayam saSastrabalAnAm DvajAn vitaritum SaknumaH
sp025-000666_004	vidyAlayezu mahAvidyAlayezu ca sEnikAn sEnyADikAriRaSca samAmantrya teByaH sEnya vizayARAm sUcanAH AdAtum SaknumaH
sp025-000667_004	asmAkam nUtana santataye senA sambadDa sUcanAH aDigantum ayam samucitaH avasaro Bavitum arhati
sp025-000668_004	avasaroऽyam asmAkam saSastra sEnya bAlAnAm sarvezAmapi sEnikAnAm kalyARArTam DanarASi saNgrahasya kAlaH Bavati
sp025-000669_004	rASirayam sEnika kalyARa maRqala mADyamena yudDasya hutAtmanAm sEnikAnAm kuwumba janAnAm vraRitAnAm AhatAnAm ca BawAnAm kalyARArTam punarvAsArTaYca vyayIkriyate
sp025-000670_004	AgacCantu avasareऽsmin vayamapi kiYcit tAdfSam karavAma yena asmadIya saSastra balAnAm manobalam vivarDeta
sp025-000671_004	vayamapi tezAm kalyARa diSi svIyam yogadAnam karavAma
sp025-000672_004	pfTivyAH mahatvapUrRANgatvena vartate mfttikA
sp025-000673_004	vayam yat kimapi KAdAmaH tat sarvamapi anayA mfttikayA eva sampfktam vartate
sp025-000674_004	ekatastu kftsnApi KAdya SfNKalA mfttikayA sambadDAsti
sp025-000675_004	idam vicintyEva BItiH anuBUyate
sp025-000676_004	nEva mfttikA BavitA na hi pAdapAH vA vfkzAH samutpatsyante mAnava jIvanam kutra samBavitA
sp025-000677_004	jIva jantavaH kutra samBavizyanti
sp025-000678_004	asmadIyAyAm saMskftO etad vizayiRI cintA pUrvameva pariSIlitA
