sp019-000001_lahari_2	BAvanA kIdfSI tasya
sp019-000321_lahari_4	tataH sA mAm kAryAnena svagfham nItavatI
sp019-000322_lahari_4	tasyAH pitA unnataH aDikArI
sp019-000323_lahari_4	mAm dfzwvA saH nAtIva santuzwaH aBAt
sp019-000324_lahari_4	mama sADAraRAni vastrARi madIyam nirDanatvam prakawayanti sma Kalu
sp019-000325_lahari_4	saH mAmavadat
sp019-000326_lahari_4	ramA BAzADyayane tava sAhAyyam apekzate
sp019-000327_lahari_4	kasyacana aDyApakasya gfham pAWArTam gacCatu iti mayA sA uktA
sp019-000328_lahari_4	madvacanam sA na SfRoti
sp019-000329_lahari_4	Bavatu nAma
sp019-000330_lahari_4	saptAhe dvistriH vA atra Agatya ANglapAWam boDaya
sp019-000331_lahari_4	kiyadDanam nirIkzase
sp019-000332_lahari_4	Danasya apekzA nAsti
sp019-000333_lahari_4	pAWanena mamApi prayojanam Bavatu Kalu iti ahamavadam
sp019-000334_lahari_4	ezA mUrKatA
sp019-000335_lahari_4	pratiPalam vinA kimapi na karaRIyam
sp019-000336_lahari_4	pratiPalamadattvA kimapi na svIkariRIyamiti mama nItiH
sp019-000337_lahari_4	mahyam yaducitam BAti tat dAsyAmi
sp019-000338_lahari_4	ramA yaTA varzAntaparikzAyAm uttIrRA Bavet taTA kuru iti uktvA uttaranirIkzAm vinA saH niragacCat
sp019-000339_lahari_4	ramAyAH mAtA tu sAdaram mayA saha BAzitvA KAdyam peyam ca dattvA satkftavatI
sp019-000340_lahari_4	tataH AraBya aham ramAm ANglaBAzAm boDitavAn
sp019-000341_lahari_4	madIyaH CAtravAsaH tasyAH gfhasya nAtidUre AsIt
sp019-000342_lahari_4	ataH kApi samasyA nABavat
sp019-000343_lahari_4	tAdfSyAH sundaryAH sanniDiH
sp019-000344_lahari_4	tayA saha BAzitum avasaraH
sp019-000345_lahari_4	tadaBimAnasya pAtratA iti idam sarvam mayi DanyatABAvam utpAdayati sma
sp019-000346_lahari_4	gatAni katipayAni dinAni
sp019-000347_lahari_4	viSvavidyAlaye mahAn yuvajanotsavaH sampannaH
sp019-000348_lahari_4	tatra viviDAH sparDAH AyojitAH Asan
sp019-000349_lahari_4	ANglacarcAsparDAyAm BAgam voQum mama vidyAlayasya aham pratiniDiH aBavam
sp019-000350_lahari_4	sparDABavanam CAtrEH aDyApakEH aDikAriBiH janEH ca pUrRam AsIt
sp019-000351_lahari_4	ramA pitrA sAkam vedikAyAH purA upavizwA mayA dfzwA
sp019-000352_lahari_4	apUrvaH utsAhaH mama hfdayam AviSat
sp019-000353_lahari_4	vaktum avasare labDe sPUrtyatiSayena aham DArApravAharUpeRa BAzitavAn
sp019-000354_lahari_4	ante sarve saBAsadaH tAlikABiH mAm aBinanditavantaH
sp019-000355_lahari_4	sparDAyAm samAptAyAm Palitam Gozitam aDyakzavaryeRa
sp019-000356_lahari_4	mayA praTanasTAnam labDam
sp019-000357_lahari_4	tatra upasTitAH mama aDyApakAH paricitAH aparicitAH ca janAH aBinandanaDArAm avarzan
sp019-000358_lahari_4	ramA mahatA santozeRa mAm prASaMsat
sp019-000359_lahari_4	tasyAH pitA ca hastalAGavena mAm Anandayat
sp019-000360_lahari_4	tadanantaram parIkzAyE bahuDA mama sidDatA kftA
sp019-000361_lahari_4	parIkzAyAm uttamam sTAnam prAptavyam
sp019-000362_lahari_4	evam Kalu mayi ramAyAH aBimAno varDeta
sp019-000363_lahari_4	krameRa aBimAnaH anurAgarUpam DArayet
sp019-000364_lahari_4	iti viviDAn svapnAn drazwum aham ArabDavAn
sp019-000365_lahari_4	mahatA SrameRa sarvam budDO DArayan parIkzAyAm uttarARi liKitavAn
sp019-000366_lahari_4	parIkzAnantaram nagarAt aham grAmam svIyam gataH
sp019-000367_lahari_4	tatra banDavaH bAlyasuhfdaH hitEziRaH iti bahavaH dfzwAH
sp019-000368_lahari_4	sarve mayi sneham adarSayan
sp019-000369_lahari_4	mAtA vAtsalyavfzwim asrAvayat
sp019-000370_lahari_4	kintu sadA mama manastu ramAmeva lakzIkftya cintAmagnam Bavati sma
sp019-000371_lahari_4	gate mAsadvaye parikzA PalitAMSaH prakawitaH
sp019-000372_lahari_4	aham mama vidyASAlAyAH praTamaH
sp019-000373_lahari_4	rAjyasya CAtrasamUhe daSamaH iti patrikAsu vArtA prakawitA
sp019-000374_lahari_4	mama Anandasya mitireva na AsIt
sp019-000375_lahari_4	ramA ca praTamavarge uttIrRatAm prAptavatI
sp019-000376_lahari_4	grAmAt nagaram prati SIGram gataH aham vidyAlayam agacCam
sp019-000377_lahari_4	tatra aDyApakAH suhfdaH ca svasantozam prAkawayan
sp019-000378_lahari_4	ramA drazwavyA sA nitAntam santuzwA Bavati
sp019-000379_lahari_4	tasyAH pitA ca mayi Adaram darSayati iti mayA bahu nirIkzitam
sp019-000380_lahari_4	ASu tadgfham gatvA dvArasTAm GaRwikAm avAdayam
sp019-000381_lahari_4	yadA dvAram apAvftam tadA kApi aparicitA mahilA dfzwA
sp019-000382_lahari_4	ko BavAn kimapekzitam iti sA apfcCat
sp019-000383_lahari_4	ramAm drazwumAgataH sA kim gfhe nAsti iti aham apfcCam
sp019-000384_lahari_4	kA ramA iti sA mahilA punaH apfcCat
sp019-000385_lahari_4	ramAyAH pituH nAma uktvA tasya sutA ramA mayA drazwavyA iti ahamavadam
sp019-000386_lahari_4	sA mahilA Izat smitam kftvA tasya mahASayasya sTAnaparivartanamaBavat
sp019-000387_lahari_4	uttarapradeSe kvApi tasya udyogaH
sp019-000388_lahari_4	mAsAt prAk eva te sarve gatAH iti asmABiH Srutam
sp019-000389_lahari_4	vayam samprati atra nivasAmaH iti uktavatI
sp019-000390_lahari_4	mama utsAhaH sahasA SUnyatAm prApat
sp019-000391_lahari_4	nirviRRaH CAtrAvAsam agacCam
sp019-000392_lahari_4	jIvanameva nirarTakam iti BAvanA mama abAData
sp019-000393_lahari_4	ramA kva vartate kim karoti
sp019-000394_lahari_4	mAm smarati vA iti jYAtum mayA kftAH prayatnAH viPalAH aBavan
sp019-000395_lahari_4	kaTaYcid vidyAByAsam anuvartitavAn
sp019-000396_lahari_4	padavI ca labDA kvacid udyogaH api labDaH
sp019-000397_lahari_4	kintu jIvane utsAhasrotaH na AsIt
sp019-000398_lahari_4	na mftaH iti hetoH jIvitaH Asam
sp019-000399_lahari_4	rucistu kasmin api karmaRi vinode vA na avaSizwA
sp019-000400_lahari_4	ramA BUlokasya apsarAyamARA kvApi vartate
sp019-000401_lahari_4	tAm drazwumapi aham na Saknomi
sp019-000402_lahari_4	mama jIvitena kim prayojanam iti me cintA anusyUtA
sp019-000403_lahari_4	banDavaH vivAhavizaye mAm pIqayitum AraBanta
sp019-000404_lahari_4	kAMScana mfduvacanEH kAMScana kaWinavacanEH kAMScana miTyAkAraRakaTanEH ca aham nivAritavAn
sp019-000405_lahari_4	taTApi mAtA mAm nirbaDnAti sma
sp019-000406_lahari_4	param tu yAm kAmapi kanyAm dfzwvA ramayA saha tAm aham tolayAmi sma
sp019-000407_lahari_4	ratnasya samIpe sTitAH pAzARaKaRqAH yaTA avajYAm utpAdayanti
sp019-000408_lahari_4	taTA etAH kanyakAH mayi anAdaram utpAdayanti iti aham mAtaramavadam
sp019-000409_lahari_4	evamapi mAtuH nirbanDaH dine dine aDikaH aBavat
sp019-000410_lahari_4	banDUnAm purataH sA roditi
sp019-000411_lahari_4	mama sutaH kayApi mohinyA vaSIkftaH
sp019-000412_lahari_4	saH kAmapi necCati iti niScitya mAtA mohinIpIqAnivAraRAya navagrahapUjAm kAritavatI
sp019-000413_lahari_4	mama sahanAyAH sImA BagnA
sp019-000414_lahari_4	Bavati yAm kanyAm darSayet tAm pariRezyAmi
sp019-000415_lahari_4	sA kurUpA vA syAt anDA vA baDirA vA iti sA kopamavadan
sp019-000416_lahari_4	tAvadeva alamiti mAtA kamapi kanyApitaram yAcitvA suSIlA nAmnIm kanyAmadarSayat
sp019-000417_lahari_4	sA kIdfSI ityapi mayA na vicAritam
sp019-000418_lahari_4	utsavavfzaBavat aham SiraH AndolitavAn
sp019-000419_lahari_4	mama vivAhaH mAtuH icCAnusAreRa sampannaH
sp019-000420_lahari_4	suSIlAya mama kApi AsaktiH nAsIt
sp019-000421_lahari_4	prIteH kaTA tu dUre
sp019-000422_lahari_4	tasyAm kadAcit anukampA utpadyate sma sA mugDA
sp019-000423_lahari_4	mama pUrvakaTAm na jAnAti sma
sp019-000424_lahari_4	mAm Akrazwum viviDAni vastrARi Darati sma
sp019-000425_lahari_4	puzpARi Amucya mama purataH sTitvA kim etAni puzpARi te rocante ityAdi vadati sma
sp019-000426_lahari_4	mama tu tadA kopodrekaH Bavati sma
sp019-000427_lahari_4	iyam puzpARi AmuYcatu prasADanam karotu ABaraRAni DArayatu sarvam karotu
sp019-000428_lahari_4	kim ramAyAH pAdakanizWikAm sprazwumapi Saknoti iti mama manasi BAvanA Bavati sma
sp019-000429_lahari_5	raktAByAm nayanAByAm tAn dfzwvA dUre tizWa
sp019-000430_lahari_5	mayA saha samBAzaRam mA kuru iti ekadA tAm nirBartsitavAn
sp019-000431_lahari_5	sA aSrURi SrAvayantI prakozWam praviSya roditum AraBata
sp019-000432_lahari_5	etena mama mAtuH mahatI KinnatA jAtA
sp019-000433_lahari_5	sA mAm AhUya are kimidam kriyate tvayA
sp019-000434_lahari_5	suSIlAyAH kaH aparADaH
sp019-000435_lahari_5	kimarTam tAm tIkzRABiH vAgBiH tudasi
sp019-000436_lahari_5	patiH mAm kAmayatAm tasya santozam utpAdayeyam iti patnI yadi icCati tatra dozaH kaH
sp019-000437_lahari_5	kAmapi tripurasundarIm purA dfzwavAn syAt
sp019-000438_lahari_5	tAvatA kim
sp019-000439_lahari_5	sA na labDA Kalu
sp019-000440_lahari_5	iyam suSIlA na kurUpA
sp019-000441_lahari_5	sadA BaktyA tava sevAm karoti
sp019-000442_lahari_5	tava izwam sADayitum SrAmyati
sp019-000443_lahari_5	etAm anAdftya svapnasundaryAH DyAnena kAlam vyApayasi
sp019-000444_lahari_5	kim tvam na mUrKaH iti mAm agarhata
sp019-000445_lahari_5	amba kim karomi
sp019-000446_lahari_5	mayUram dfzwavantaH kAkam cawakam vA kim drazwum icCanti
sp019-000447_lahari_5	tava nirbanDena asyAH kaRWe mANgalyam aDArayam
sp019-000448_lahari_5	kintu svapneऽpi enAm necCAmi
sp019-000449_lahari_5	kimaham karavARi iti aham madIyAm sTitim niveditavAn
sp019-000450_lahari_5	na jAne tava manasi sTitA kIdfSI iti
sp019-000451_lahari_5	mayA tu pApameva Acaritam
sp019-000452_lahari_5	asyAH mugDAyAH tvayA sambanDam viDApya
sp019-000453_lahari_5	idamIyam jIvanameva nizPalam kftam
sp019-000454_lahari_5	iti mAtA duHKam prAkawayat
sp019-000455_lahari_5	evam varzadvayam vyatItam
sp019-000456_lahari_5	suSIlAyAH vizaye mama vyavahAraH tu samAnaH eva AsIt
sp019-000457_lahari_5	karmasidDAnte saviSvAsA sA
sp019-000458_lahari_5	mama BAgyam etAvadeva iti niScitya yantravat jIvanam yApayati sma
sp019-000459_lahari_5	dillInagare kAcid vidvadgozWI asti
sp019-000460_lahari_5	Agantavyam iti AhvAnam labDam mayA
sp019-000461_lahari_5	anekezAm viduzAm darSanasya avasaraH na tyaktavyaH iti tatra gantum niScayam kftavAn aham
sp019-000462_lahari_5	vimAnena dillIm agacCam
sp019-000463_lahari_5	vidvadgozWyaH anantaram vipaRO kiYcit kretum icCuH tatra awitavAn
sp019-000464_lahari_5	tadA sahasA ramAyAH pitA mayA dfzwaH
sp019-000465_lahari_5	ASu tatsamIpam gatvA mahASaya namaste
sp019-000466_lahari_5	api ayam janaH smaryate iti praSnam kftavAn
sp019-000467_lahari_5	saha mAm dIrGam nirIkzya Am idAnI smarAmi
sp019-000468_lahari_5	BavAn na ramAyAH ANglADyApakaH
sp019-000469_lahari_5	kaTam atra BavaddarSanam
sp019-000470_lahari_5	api kuSalI BavAn iti yogakzemam vicAritavAn
sp019-000471_lahari_5	madIyam kuSalam nivedya aham pfzwavAn
sp019-000472_lahari_5	kaTam vartate ramA kutra vartate sA iti
sp019-000473_lahari_5	ramAyAH pitA avANmuKaH aBUt
sp019-000474_lahari_5	dIrGam niHSvasya netre pramfjya saH sagadgadam aBAzata
sp019-000475_lahari_5	duHKamayI tasyAH sTitiH
sp019-000476_lahari_5	kEH SabdEH nivedinIyamiti na jAnAmi
sp019-000477_lahari_5	mama hfdayam Daq Daq iti SabdAyate sma
sp019-000478_lahari_5	ramAyAH kimapi kazwam Bavati duHKam Bavati iti cintA eva mAm sAtaNkam akarot
sp019-000479_lahari_5	AgacCatu atra pAnIyagfhe upaviSya kiYcit SItalam peyam pItvA vicArAn nivedayatu
sp019-000480_lahari_5	stamBayatu BavAn duHKAvegam iti uktvA aham tam pAnIyagfhasya pIWe upaveSitavAn
sp019-000481_lahari_5	sevakamAhUya pAnIyacazakadvayam Anetum AdiSam
sp019-000482_lahari_5	saH Anayat
sp019-000483_lahari_5	mandamandam pAnIyam nipIya ramAyAH pitA avadat
sp019-000484_lahari_5	mama sutA madIyam sarvasvam kintu BagavAn mayi kfpAm na darSitavAn
sp019-000485_lahari_5	dattvA tAdfSIm sutAm tasyE hi avarRanIyam kleSam dattvA mAm duHKAmbuDO nimajjitavAn
sp019-000486_lahari_5	kim jAtamiti spazwam kaTayatu BavAn
sp019-000487_lahari_5	aspazwAni vAkyAni me BItim varDayanti iti ahamavocam
sp019-000488_lahari_5	kaTayAmi acikitsyena arbudarogeRa sA pIqitA
sp019-000489_lahari_5	tasyAH cikitsAyE BUyizWam Danam mayA vyayitam BUyAMsaH SreyAMsaH vEdyAH prArTitAH
sp019-000490_lahari_5	sarvezAm devAnAm arcanA kftA sarvam nizPalam
sp019-000491_lahari_5	sA jIvantI api mftA iva gfhe asti
sp019-000492_lahari_5	tAm darSam darSam mama BAryA aSrURi pravAhayati
sp019-000493_lahari_5	mayi kasmAd BagavataH kroDaH iti na jAnAmi
sp019-000494_lahari_5	iti kaTayan hastayugmAvftamuKaH saH aSURi amuYcat
sp019-000495_lahari_5	yadi BavAn anumanyate tarhi sakft ramAm drazwumicCAmi iti mayA uktam
sp019-000496_lahari_5	AgacCa gacCAva iti uktvA saH udatizWat
sp019-000497_lahari_5	pAnIyasya mUlyam dattvA aham tam anvasaram
sp019-000498_lahari_5	tricakrikayA AvAm tadgfham gatO
sp019-000499_lahari_5	praTamam ramAyAH mAtA dfzwA
sp019-000500_lahari_5	tasyE praRAmam kftvA tataH ramAyAH prakozWam pravizwavantO
sp019-000501_lahari_5	ramA Savavat suptA pitrA jAgaritA
sp019-000502_lahari_5	durbalAByAm kAntihInAByAm netrAByAm sA mAm apaSyat
sp019-000503_lahari_5	yadA mama smaraRam jAtam tayoH netrayoH tadA kAntikaRikA jAtA
sp019-000504_lahari_5	kzIRenApi snehapUrRena svareRa sA api kuSalam
sp019-000505_lahari_5	kadA kaTam AgataH
sp019-000506_lahari_5	mama pitA BavatA kaTam militaH
sp019-000507_lahari_5	lokAntaragamanAt prAk BavataH darSanam syAt iti mayA na nirIkzitam
sp019-000508_lahari_5	etAvattu BagavatA anugfhItam iti avadat
sp019-000509_lahari_5	mama netrayoH aSrURi nirgatAni
sp019-000510_lahari_5	tAni karavastreRa pramfjya aham avadam
sp019-000511_lahari_5	rame aham tu kuSalI
sp019-000512_lahari_5	kAryAntareRa dillImAgataH
sp019-000513_lahari_5	AkasmikatayA BavatyAH pituH darSanam labDam
sp019-000514_lahari_5	tena saha atra AgataH
sp019-000515_lahari_5	mama devatAm nama ArADanamUrtim mama svapnasundarIm SocyAyAm avasTAyAm drakzyAmIti Uhitum api kazwam
sp019-000516_lahari_5	tadeva satyamiti na viSvasimi
sp019-000517_lahari_5	aho SokaBAram voQum asamarTaH asmi iti vadataH mama kaRWaH stamBitabAzpavfttikaluzaH aBavat
sp019-000518_lahari_5	sA abravIt
sp019-000519_lahari_5	mamApi madIyarUpavizaye garvaH AsIt
sp019-000520_lahari_5	citranawI BavizyAmi
sp019-000521_lahari_5	sakalAnAm hfdayasaMrAjYI BavizyAma iti svapnasODaH mayA nirmitaH
sp019-000522_lahari_5	kintu krUraH viDiH rogAgnO mAm apAtayat
sp019-000523_lahari_5	pratikzaRam dahyamAnA asmi
sp019-000524_lahari_5	imAm yAtanAm SIGram samApaya iti Bagavantam muhurmuhuH prArTaye
sp019-000525_lahari_5	adya Svo vA itaH nirgamizyAmi
sp019-000526_lahari_5	astu mama vyaTAmayI kaTA
sp019-000527_lahari_5	BavAn kutra vartate
sp019-000528_lahari_5	api BavataH vivAhaH sanpannaH
sp019-000529_lahari_5	kIdfSI BavataH BAryA
sp019-000530_lahari_5	kim anurUpA iti
sp019-000531_lahari_5	rame idAnIm kim vadAmi satyam bravImi
sp019-000532_lahari_5	prAMSulaBye Pale loBAt udbAhuH vAmana iva aham BavatyAm maDuraBAvanAm DftavAn
sp019-000533_lahari_5	BavatI sahasA adfSyA jAtA
sp019-000534_lahari_5	BavatyAH anvezaRAya bahuDA prayatnaH kftaH mayA
sp019-000535_lahari_5	vidyAByAse pUrRe jAte udyoge ca labDe sati mama mAtA vivAham kartum mAm nirabaDnAt
sp019-000536_lahari_5	BavatyAH rUpam manasi DArayatA mayA anyAH kanyAH kaTam vA aNgIkriyeran varzARi vyatItAni
sp019-000537_lahari_5	antatastu mAtuH kleSam drazwum asamarTaH aham kayApi kanyayA saha mama pariRayam aNgIkftavAn
sp019-000538_lahari_5	kintu tasyAm mama premaleSoऽpi nAsti
sp019-000539_lahari_5	padmam dfzwavAn BramaraH ikzurakakusumam drazwum kim Ihate
sp019-000540_lahari_5	iti mayA sAveSamuktam
sp019-000541_lahari_5	kzIRam smitam kftvA ramA avadat
sp019-000542_lahari_5	BavatA nyAyam na Acaritam na ca tatra vivekaH
sp019-000543_lahari_5	netrAkarzakam rUpam kiyanti dinAni sTAsyati
sp019-000544_lahari_5	paSyatu samprati mAm
sp019-000545_lahari_5	purA Sirasi sTitAH UrmimantaH dIrGAH mama keSAH samprati luptaprAyAH
sp019-000546_lahari_5	muKasya kanakAvadAtaH varRaH mama garvasya kAraRamAsIt
sp019-000547_lahari_5	idAnIm muKe BasmapARquratA dfSyate
sp019-000548_lahari_5	na utTAtumapi pArayAmi
sp019-000549_lahari_5	kzaRikam rUpamiti jYAtvApi tatra moham na tyajanti janAH
sp019-000550_lahari_5	BavataH BAryA ArogyavatI suSIlA ca Kalu
sp019-000551_lahari_5	tatrEva prItyA netre prerayatu
sp019-000552_lahari_5	sA apsarasaH iti rUpavattarA iti jYAnam BavataH utpatsyate
sp019-000553_lahari_5	AsannamaraRAyE mahyam vacanam dadAtu
sp019-000554_lahari_5	BAryAyAm anAdaram na karizyAmi iti
sp019-000555_lahari_5	tadA aham niScintam lokAntaram gamizyAmi iti
sp019-000556_lahari_5	aham ramAyAH hastam dfQam gfhItvA avadam
sp019-000557_lahari_5	rame BavatyA kaTyamAnam sarvam karizyAmi
sp019-000558_lahari_5	kintu BavatI mAtApitarO mAm ca tyaktvA mA gacCatu
sp019-000559_lahari_5	evam vadatA mayA aprayatnam ruditam
sp019-000560_lahari_5	mama aSruBiH tasyAH vasanam Ardram jAtam
sp019-000561_lahari_5	tyaktumaham vAYCAmi iti na
sp019-000562_lahari_5	kintu kAle upasTite sarvEH gantavyameva
sp019-000563_lahari_5	asya niyamasya apavAdaH nAsti
sp019-000564_lahari_5	BavAn svaBAryAyAm sneham darSayatu
sp019-000565_lahari_5	tasyAH udare aham BavataH SiSuH BUtvA punaH utpatsye iti sA avadat
sp019-000566_lahari_5	tAvat vacanakarma tasyAH Sramam ajanayat mayA jYAtam
sp019-000567_lahari_5	sAtaNkam tAm mAtApitarO vIkzete sma
sp019-000568_lahari_5	mama tatra upasTitiH ramAyAH SramAya Bavet iti cintayA prasTAtum utTitaH aham
sp019-000569_lahari_5	sA tanutaram karam kiYcit utTApya ApracCanam kftavatI
sp019-000570_lahari_5	tasyAH mAtApitarO vanditvA aham nirvacanam tataH nirgataH
sp019-000571_lahari_5	suSIlAm sAdaram sasneham ca drazwum ramA mAm vacanabadDam kftavatI iti smaran svanagarABimuKaH aBavam
sp019-000572_lahari_6	kawuH anuBavaH
sp019-000573_lahari_6	viSvanATaH prativasati mEsUrunagarasya gokul vistaraRe
sp019-000574_lahari_6	paYcazazwivarzavayAH saha kiYcit nyUnavayasA patnyA saha suKena kAlam nayati
sp019-000575_lahari_6	tasya putrO videSe udyoginO
sp019-000576_lahari_6	putrI tu UQA patyA saha beNgalUrunagare vasati
sp019-000577_lahari_6	pratimAsam laByate nivfttivetanam
sp019-000578_lahari_6	gfham ca svakIyam
sp019-000579_lahari_6	ataH kApi cintA nAsti
sp019-000580_lahari_6	navarAtrotsavArTam videSasTayoH putrayoH anyataraH SrIrAmaH patnyA saha mEsurunagaramAgataH
sp019-000581_lahari_6	kuwumbam sakalam darSanIyAni sTAnAni drazwum gatam
sp019-000582_lahari_6	rAtrO gfham pratyAgatam ca
sp019-000583_lahari_6	sarve SrAntAH suKam SayitAH
sp019-000584_lahari_6	viSvanATaH prage utTitaH
sp019-000585_lahari_6	tasya rUQiH iyam
sp019-000586_lahari_6	prage utTAya svayam KAPIm nirmAya pItvA prAtaH saYcArAya gacCati saH
sp019-000587_lahari_6	prAyaH gfhe tadA patnI SayitA Bavati
sp019-000588_lahari_6	gfhasya dvAram kIlakena subadDam kftvA gacCati
sp019-000589_lahari_6	adyApi prAtaH taTEva viSvanATaH kftavAn
sp019-000590_lahari_6	prAtaH SItaH vAyuH vAti sma
sp019-000591_lahari_6	ataH svedakam DftvA grahAt nirgataH viSvanATaH
sp019-000592_lahari_6	vITyaH prAyaH nirjanAH Asan
sp019-000593_lahari_6	kecana prAtaHsaYcAriRaH tatra tatra dfSyante sma
sp019-000594_lahari_6	vITidIpAH mandaprakASAH jvalanti sma
sp019-000595_lahari_6	dUrataH vAhanAnAm SabdaH kadAcit SrUyate sma
sp019-000596_lahari_6	kfSANgoऽpi ArogyaSAlI viSvanATaH savegam padAni nidaDAnaH lokasya nAnAvicArAn manasi Avartayan calati sma
sp019-000597_lahari_6	prAtaHkAlasya SudDavAyuH tasya manasi cEtanyam pUrayati sma
sp019-000598_lahari_6	evam gacCati tasmin paScAdBAgena kiYcid vAhanam mahatA vegena Agatya sahasA sTitam
sp019-000599_lahari_6	kutUhalena kzaRam sTitvA viSvanATaH tadapaSyat
sp019-000600_lahari_6	kAryAnam
sp019-000601_lahari_6	kzaRamAtreRa tasmAt yAnAt trayaH dfQagAtrAH yuvAnaH avAtaran
sp019-000602_lahari_6	dvO SvAnO iva utplutya viSvanATam gfhItavantO
sp019-000603_lahari_6	yAne nikzipyatAm ezaH iti tftIyaH yuvA agarjat
sp019-000604_lahari_6	ke BavantaH
sp019-000605_lahari_6	kasmAd mAm nayanti iti prazwumanAH viSvanATaH muKam kiYcidiva vyAdadAt
sp019-000606_lahari_6	tatkzaRe eva tasya muKe vastragranTiH prasaBam praveSitaH tftIyena yUnA
sp019-000607_lahari_6	niScetaH mUkaSca saYjAtaH viSvanATaH
sp019-000608_lahari_6	dvO tam balAt yAne praveSitavantO
sp019-000609_lahari_6	tftIyaH yuvA yAnam cAlayitum prAraBata
sp019-000610_lahari_6	dvayoH anyataraH nIlavastreRa viSvanATasya nayane pihitavAn
sp019-000611_lahari_6	viSvanATaH anDo jAtaH
sp019-000612_lahari_6	kva gamyate kena paTA gamyate iti na jYAyatAm ityevam kftam iti viSvanATaH jYAtavAn
sp019-000613_lahari_6	yAnam bahudUram gatam iti tu jYAtam
sp019-000614_lahari_6	ete mAm kasmAt nayanti
sp019-000615_lahari_6	kimapekzante iti ca tena cintitam santatam
sp019-000616_lahari_6	antataH yAnam viratam kvApi
sp019-000617_lahari_6	viSvanATaH yAnAt avatAritaH
sp019-000618_lahari_6	kimapi sTAnam praveSitaSca
sp019-000619_lahari_6	antaHpraveSAnantaram kasmiMScit koRe tam QOkayitvA
sp019-000620_lahari_6	apaharaRakartA kaScit tasya muKapiDAnam nayanapiDAnam ca vyamocayat
sp019-000621_lahari_6	trastaH SrAntaH viklavaH viSvanATaH dEnyena apaharaRakArAn namaskftya
sp019-000622_lahari_6	gadgadasvareRa apfcCat ke BavantaH
sp019-000623_lahari_6	kasmAt mAmevam badDvA AnItavantaH
sp019-000624_lahari_6	kim mayAparAdDam iti
sp019-000625_lahari_6	tUzRIm tizWa asmAkam nAyakasya AdeSena AnItoऽsi
sp019-000626_lahari_6	saH yAvat AgacCati tAvat tvayA atra vinA vacanam sTAtavyam iti
sp019-000627_lahari_6	anyaH apaharaRakAraH agarjat
sp019-000628_lahari_6	SrAntoऽsmi pipAsayA kzuDayA ca pIqitoऽsmi
sp019-000629_lahari_6	snAtumicCAmi dayayA avakASaH dIyatAm iti viSvanATaH ayAcata
sp019-000630_lahari_6	apaharaRakArAH BfSam ahasan
sp019-000631_lahari_6	snAnam kadA asmABiH kftamityeva na smarAmaH
sp019-000632_lahari_6	tava snAnavyavasTAm kaH karizyati
sp019-000633_lahari_6	yadi KAditumicCati pAtum vA Danam dehi
sp019-000634_lahari_6	kvacit kiYcit krItvA AnayAma tuByam kiYcid dattvA vayamapi prAtarASam karizyAmaH iti ekaH avadat
sp019-000635_lahari_6	viSvanATaH arDorukavastre rakzitam SatarUpyakapatram dattavAn
sp019-000636_lahari_6	anyat api Danamasti ced dehi iti aparaH apaharaRakAraH agarjat
sp019-000637_lahari_6	nAsti mayi kimapi anyat iti viSvanATaH dInam avocat
sp019-000638_lahari_6	aham eva parIkzye ityuktvA apaharaRakAraH tasya vastrARi hastAByAm parAmfSat
sp019-000639_lahari_6	tatra kimapi Danam na AsIt
sp019-000640_lahari_6	tataH tasya dfzwiH viSvanAtasya hastaGawIyantre patitA
sp019-000641_lahari_6	idam vimocya dehi iti saH avadat
sp019-000642_lahari_6	BoH idam dAtum necCAmi
sp019-000643_lahari_6	idam mama putreRa dattam
sp019-000644_lahari_6	asmin mama mahatI prItiH
sp019-000645_lahari_6	kzamyatAm iti viSvanATaH GawIyantram hastena gfhRan avocat
sp019-000646_lahari_6	sahasA apaharaRakAraH tam prAharat muzwyA
sp019-000647_lahari_6	viSvanATaH BagnamUlaH vfkzaH iva BUmO nyapatat
sp019-000648_lahari_6	apaharaRakAraH tasya hastAt karkaSarItyA GawIyantram vimocya
sp019-000649_lahari_6	svahaste DArayitvA uccEH ahasat
sp019-000650_lahari_6	prakozWasya dvAram piDAya te sarve nirgatAH
sp019-000651_lahari_6	svadEvam nindan asahAyaH viSvanATaH BUmO SayitaH kzaRagaRanAm prAraBata
sp019-000652_lahari_6	viSvanATasya gfhe sarve vilambena utTitAH
sp019-000653_lahari_6	KAPIm pItvA putraH snuzA ca vArtApatrikAyAH paWane niratO aBUtAm
sp019-000654_lahari_6	viSvanATasya patnI pArvatI snAtvA devapUjAm viDAya pAkakarma kartum mahAnasam pravizwA
sp019-000655_lahari_6	gfhasya BittO sTApitam GawIyantram azwavAdanavelAm sUcayitum nyanadat
sp019-000656_lahari_6	pArvatI putramAhUya abravIt
sp019-000657_lahari_6	tava pitre KAPIm dehi azwavAdanavelAyAm saH dvitIyavAram pibati Kalu
sp019-000658_lahari_6	atra asti KAPIcazakaH iti
sp019-000659_lahari_6	putraH abravIt mAtaH pitA prAtaHsaYcArAt na pratinivfttaH
sp019-000660_lahari_6	pArvatI cakitA kimidam
sp019-000661_lahari_6	azwavAdanaparyantam kadApi tava pitA gfhAt bahiH na tizWati
sp019-000662_lahari_6	saptavAdanavelAyameva tena Agantavyam
sp019-000663_lahari_6	yadi suhfdaH dfSyante paTi tarhi eva kadAcit vilambaH
