sp022-000001_001	SrI paramAtmane namaH
sp022-000276_006	jYAnam caturTADyAyAt suspazwam Bavizyati
sp022-000277_006	taTA trayodaSe aDyAye viDivat parilakzitam Bavizyati yat pratyakzadarSanasya nAma jYAnam asti
sp022-000278_006	yogaH zazWADyAyam yAvat boDasulaBo samBavizyati
sp022-000279_006	evantu sAmAnyatayA paripUrtiparyantam yogasya viBinnAMSAnAm pariBAzA sugraTitA suSoBate
sp022-000280_006	jYAnayogaH tftIyADyAyAt zazWADyAyam yAvat aDyayena samyag budDigamyaH Bavizyati
sp022-000281_006	punaragre paryAlocanasya na kApi AvaSyakatA pariSezAyate
sp022-000282_006	nizkAmakarmayogaH dvitIyADyAyataH samAraBya pUrtiparyantam vABAti
sp022-000283_006	yajYaH tftIyADyAyataScaturTADyAyam yAvad anuSIlanIyam tena yajYasya spazwIkaraRam sutarAm Bavizyati
sp022-000284_006	karmaRaH nAma dvitIyADyAyasya navatriMSattame Sloke praTamavAram samulliKitam
sp022-000285_006	asmAt SlokAccaturTADyAyam yAvat paWeyuH tadA suspazwam Bavizyati yat karmaRaH arTaH ArADanA taTA Bajanam
sp022-000286_006	kasmAt kAraRAt Bavati
sp022-000287_006	zoqaSasaptadaSADyAyO sammilya vicAram imam draQayato yadidam eva satyam asti
sp022-000288_006	varRasaNkaraH tftIyADyAye taTA avatAraH caturTADyAye sutarAm suspazwatAm ezyataH
sp022-000289_006	varRavyavasTAyAH vivecanArTam azwAdaSADyAyaH drazwavyaH
sp022-000290_006	sAmAnyataH tftIyacaturTADyAye ca milati saNketaH
sp022-000291_006	mAnavAnAm devAsurARAm jAtiviBAgajYAnAya zoqaSADyAyaHpaWanIyaH
sp022-000292_006	virAw darSanam daSamADyAyAt AraBya ekAdaSADyAyasya maDyam yAvad anuSIlanena Bavizyati suspazwam
sp022-000293_006	saptamADyAye navamADyAye paYcadaSADyAye api ca
sp022-000294_006	saptame navame paYcadaSeऽpi ca aDyAye vizayeऽsmin prakASaH vidyate kftaH
sp022-000295_006	saptamADyAye navamADyAye saptadaSADyAye ca bAhyadevAnAmastitvahInatA suspazwatAm yAti
sp022-000296_006	paramAtmanaH pUjanasya muKyam sTalam hfdayapawalam eva asti
sp022-000297_006	yatra DyAnam SvAsapraSvAsayoScintanAdayaH kriyAkalApAH yadekAnte suKAsInaH sADyante
sp022-000298_006	nAma mandirasTa pratimAyAH purataH nahi
sp022-000299_006	tftIye caturTe zazWe taTA azwadaSADyAye ca bahuspazwam asti
sp022-000300_006	aDikaYcintanavicArayoH kim prayojanam
sp022-000301_006	yadi zazWADyAyam yAvadapi gItAyAH sucArupaWanam sampadyeta
sp022-000302_006	tadApi yaTArTagItAyAH pramuKASayaH budDikzetre samavatarizyati
sp022-000303_006	gItA jIvikAsaYcAlana saNgrAmasya sADanam na avabodDavyA
sp022-000304_006	pratyuta jIvanasaNgrAme SASvadvijayasya SikzA asti
sp022-000305_006	asmAt kAraRAt eva gIteyam yudDagranToऽpi vA BaRyate
sp022-000306_006	ayam yudDagranTaH vAstavikam vijayam dApayati
sp022-000307_006	kintu gItoktam yudDam KaqgaDanuHsAyakaparaSvAdiBiSca viDIyamAnam sAmarikam yudDam nAsti
sp022-000308_006	na ca asmin yudDe SASvatikavijayasya upalabDiH
sp022-000309_006	ayam gItAgranTaH sadasaduBayoH pravftyoH saNGarzaH asti
sp022-000310_006	yayoH saNGarzayoH rUpakAlaNkAram anuSritya
sp022-000311_006	varRanasya cirantanA paramparA pracalitA vidyate
sp022-000312_006	vede surendravftrAsurayoH vidyAvidyayoH purARezu devAsurayudDAnAm
sp022-000313_006	mahAkAvyezu rAmarAvaRayoH kOravapARqavayoH ca nizpannam saNGarzam eva
sp022-000314_006	gItAyAm DarmakzetrakurukzetrayoH dEvIsampadAsurIsampadoSca saNGarzam taTA sajAtIyavijAtIyayoSca saNGarzam
sp022-000315_006	sadguRadurguRayoSca saNGarzam savistaram varRitam dfzwipaTAyate
sp022-000316_006	ayam gItoktasaNGarzaH yatra Bavati tatsTalam kuhacanasti
sp022-000317_006	gItAyAH Darmakzetram kurukzetraYca BAratIyaBUBAgasya na koऽpi BAgaH
sp022-000318_006	pratyuta gItAkArasya saSaktaSabdezu
sp022-000319_006	idam SarIram kOnteya kzetramityaBiDIyate
sp022-000320_006	kOnteya idam SarIram eva ekam kzetramasti
sp022-000321_006	yasmin suptam sadasadbIjam saMskArAnusAreRa nirantaram aNkurati prarohati ca
sp022-000322_006	daSendriyARi manaH budDiH cittam ahaNkAraH paYcavikArAH triguRavikArASca asya vistArAH kaTyante
sp022-000323_006	eBiH triguRapraBAvEH praBAvitam prARijagat vivaSIBUya karmaRi pravartate
sp022-000324_006	ayam mAnavalokaH kimvA niKilo jIvalokaH karmAnuzWAnam vinA kzaRamapi na tizWati
sp022-000325_006	punarapi jananam punarapi maraRam punarapi jananIjaWare Sayanam
sp022-000326_006	janma janmAntarEH eva imAm kriyAm kurvantaH santi prARinaH
sp022-000327_006	idamevAsti kurukzetram
sp022-000328_006	sadgurURAm sAnniDyena sADanAyAH samIcInam panTAnam samupalaBya
sp022-000329_006	yadA sADakaH paramaDarmaparamAtmonmuKam Bavati agresaraH tadA idam kzetram Darmakzetram Bavati
sp022-000330_006	idam SarIram eva kzetram asti
sp022-000331_006	asya SarIrasya antarAle antaHkaraRasya purAtanyO dve pravftyO virAjete
sp022-000332_006	ekA pravfttiH dEvasampadrUpA dvitIyA tu AsurIsampatsvarUpA ca
sp022-000333_006	dEvIsampadi puRyarUpiRaH pARqujAH karttavyasvarUpA kuntI ca iti janyajananIyugalam vA BAti
sp022-000334_006	puRyajAgaraRapraBAvAt pUrvameva mAnavaH yat kiYcit karttavyajAtam parAmfSya karoti
sp022-000335_006	svamatyA asO karttavyam eva vidaDAti kintu tena karttavyaH na Bavati
sp022-000336_006	kuto hi puRyam vinA karttavyasya samyag boDaH eva na Bavati
sp022-000337_006	kuntI pARqoH sambanDAt pUrvam yasya kasyacit arTasya upArjanam kftavatI sa AsIt karRaH
sp022-000338_006	AjIvanam karRaH kuntIkumArEH yuDizWirAdiBiH yuDyamAnaH avartata
sp022-000339_006	pARqavAnAm cet kaSciddurDarzaH SatruH AsIt tadA asO karRa eva
sp022-000340_006	vijAtIyakarmaRA asti karRaH
sp022-000341_006	ya eva banDanakArakaH asti
sp022-000342_006	yena paramparAgatarUQInAm citraRam Bavati pUjApadDatayaH piRqam na muYcati
sp022-000343_006	jAgfte puRye DarmasvarUpaH yuDizWiraH anurAgasvarUpaH arjunaH BAvarUpaH BImaH
sp022-000344_006	niyamarUpaH nakulaH satsaNgasvarUpaH sahadevaH
sp022-000345_006	sAtvikatAsvarUpaH sAtyakiH SarIre sAmarTyasvarUpaH kASirAjaH
sp022-000346_006	karttavyamADyamena saMsAropari vijayapratIkaH kuntiBojaH
sp022-000347_006	ityAdInAm izwonmuKamAnasikapravfttivatAm sadA Bavati utkarzaH
sp022-000348_006	yezAm gaRanA saptAkzOhiRIsenArUpeRa kftA vidyate
sp022-000349_006	akzapadam dfzwiboDakam asti
sp022-000350_006	satyamayadfzwikoRena yasya saNGawanam Bavati sA dEvIsampat samucyate
sp022-000351_006	paramaDarmasya paramAtmanaH prAptilakzyadUrIm nyUnIkaraRAya saptEme sopAnAH saptaBUmikASca santi
sp022-000352_006	na kAऽpi gaRanA viSezA
sp022-000353_006	vastutaH uparyuktemAH pravfttayaH gaRanAtItAH
sp022-000354_006	aparasmin pakze rArAjate kurukzetram
sp022-000355_006	yasmin daSendriyARi taTEkam manaH sammilya ekAdaSAkzOhiRI senA varttate
sp022-000356_006	manasA sahitena daSendriyayutena dfzwikoRena yasyAH saNgaWanam kftam vidyate sA asti AsurIsampat
sp022-000357_006	yatrAsti DftarAzwraH ajYAnasvarUpaH yastu satyam jAnAnaH api anDavat Acarati
sp022-000358_006	tasya sahacAriRI asti gAnDArI indriyADAravatI pravfttiH
sp022-000359_006	anayA saha moharUpI duryoDanaH durbudDirUpI duHSAsanaH
sp022-000360_006	vijAtIyakarmarUpI karRaH BramarUpI BIzmaH
sp022-000361_006	dvEtasya AcaraRarUpI droRAcAryaH AsaktirUpI aSvatTAmA vikalparUpI vikarRaH
sp022-000362_006	ardDasADanAyAm kfpAyAH AcaraRarUpI kfpAcAryaH taTA ca etezAm maDye jIvarUpI viduraH virAjate
sp022-000363_006	yastu nivasati ajYAne kintu yasya sudfzwiH satatam pARqavAnAm upari vartate
sp022-000364_006	puRyapravAhitAm pravfttiYca samASrayate
sp022-000365_006	yato hi AtmA paramAtmanaH SudDaH aMSaH asti
sp022-000366_006	anayA rItyA AsurIsampadoऽpi santi anantAH
sp022-000367_006	idam SarIram tu kzetramekamevAsti atra yudDonmuKyO dve pravftyO vartete
sp022-000368_006	ekA pravfttiH prakftO viSvAsam dApayati
sp022-000369_006	sA nimnADamayoninAm kAraRam Bavati
sp022-000370_006	aparA tu paramapuruze paramAtmani viSvAsam praveSaYca kArayati
sp022-000371_006	tattvadarSImahApuruzARAm saMrakzaRe kramaSaH sADanaviDAnena dEvIsampadaH samutkarzaH
sp022-000372_006	taTA AsurIsampadaSca sarvaTA Samanam Bavati
sp022-000373_006	yadA kaScit vikAra eva na avaSizwaH
sp022-000374_006	tadA manasaH sarvaTA niroDaH nirudDamanasaScApi vilayaH Bavati
sp022-000375_006	tadAnIm dEvIsampadaH samApteH Bavati atyAvaSyakatA
sp022-000376_006	arjunaH dfzwavAn yat kOravapakzasyAnantaram pARqavapakzIyAH yodDAraH api yogeSvare kfzRe samAhitAH BavantaH santi
sp022-000377_006	pUrtyA saha dEvIsampadapi vilIyate
sp022-000378_006	antimam SASvatam pariRAmam Bavati hastagatam
sp022-000379_006	ataH mahApuruzaScet kimapi karma karoti
sp022-000380_006	tat kevalam anuyAyinAm mArgadarSanArTam eva karoti
sp022-000381_006	lokasaNgrahasya anayA BAvanayA mahApuruzAH sUkzmamanoBAvAnAm varRanam dfQasTUlarUpam datvA akArzuH
sp022-000382_006	gItA CandobadDA vartate vyAkaraRasammatA ca asti
sp022-000383_006	kintu asyAH pAtrARi pratIkAtmakAni santi
sp022-000384_007	amUrtayogyatAnAm mAtramUrtarUpARi santi
sp022-000385_007	gItAyAH prAramBe triMSaccatvAriMSatpAtrARAm nAmAni gfhItAni santi
sp022-000386_007	yezu arDasaNKyAkAH sajAtIyAH taTA arDasaNKyAkAH santi vijAtIyAH
sp022-000387_007	kecana pARqavapakzaDarAH kecana tu kOravapakzIyAH
sp022-000388_007	viSvarUpadarSanAvasare paYcazA nAmAni punarAyAnti etezAm
sp022-000389_007	anyaTA sampUrRAyAm gItAyAm etezAm nAmnAm carcAऽpi na milati
sp022-000390_007	mAtra ekaH asti arjunaH etAdfSam pAtram ya AditaH samAptim yAvat yogeSvarasya samakzam rArAjate
sp022-000391_007	asAvarjunaH api yogyatAyAH pratIkaH asti na tu kaScid vyaktiviSezaH
sp022-000392_007	gItAyAH prAramBe saH arjunaH sanAtanakulaDarmasya rakzaRahetave vikalaH asti
sp022-000393_007	kintu yogeSvaraH kfzRaH imAm AkulatAm param ajYAnam aGozayat
sp022-000394_007	upAdiSacca ayam AtmEva sanAtanaH SarIram naSvaram ataH yuDyasva
sp022-000395_007	anena AdeSena nEtat spazwAyate yad arjunaH kOravAn eva mArayet
sp022-000396_007	pARqavapakzIyAH api SarIraDAriRaH Asan pakzadvaye parasparam sambanDinaH santi
sp022-000397_007	saMskAropari nirBaram SarIram kim Kaqgena dviDA kfte sati samAptimezyati
sp022-000398_007	yadA SarIram naSvaram asti nAsti yasya astitvam tarhi ka AsId arjunaH
sp022-000399_007	SrIkfzRaH kasya rakzAyAm AsIt sTitaH
sp022-000400_007	kim kasyacit SarIraDAriRaH rakzAyAm AsIt tatparaH
sp022-000401_007	SrIkfzRaH prAvocat yaH SarIrayAtrArTam pariSramam karoti asO pApAyurmUQabudDiH puruzaH nirarTakam jIvati
sp022-000402_007	yadi SrIkfzRaH kasyacit jIvaDAriRaH saMrakzaRe sannadDAH vartate tad asO api mUQabudDiH vyarTam jijivizuH asti
sp022-000403_007	vastuta anurAga eva arjunaH asti
sp022-000404_007	anurAgiRAm kfte mahApuruzAH sadEvopasTitAH prApyante
sp022-000405_007	arjunaH SizyaH AsIt SrIkfzRaScEkaH sadguruH ca
sp022-000406_007	vinayAvanato BUtvA asO kaTitavAn yad DarmamArge mohitacetAH pfcCAmi aham Bavantam
sp022-000407_007	yacCreyaH paramakalyARakArakam Bavet tadupadeSam mAm AKyAhi
sp022-000408_007	arjunaH SreyaskAmaH AsIt preyaH BOtikapadArTAn nahi
sp022-000409_007	kevalam upadeSamAtram eva nahi pratyuta sADayatu samBAlayatu ca
sp022-000410_007	ahamasmi SizyaH tava SaraRAgataH ca
sp022-000411_007	itTameva gItAyAm sTale sTale suspazwam asti
sp022-000412_007	yad arjunaH ArttaSreRIkaH asti aDikArI yogeSvaraH SrIkfzRaH ca ekaH sadguruH ca
sp022-000413_007	asO sadguruH anurAgiRA saha sadEva santizWate tasyAnurAgiRaH paTapradarSanaYca karoti
sp022-000414_007	yadA kaScit manuzyaH BAvukatABiBUtaH pUjyamahArAjasya sanniDO saMvAsArTam Agraham karoti sma
sp022-000415_007	tadA mahArAjaH kaTayati sma gacCa SarIreRa kutrApi nivasa manasA mama pArSve samAgacCan vicara
sp022-000416_007	prAtaH sAyam rAmasya Sivasya omityasya vA kasyacit dvayakzarasya sArdDadvayakzarasya nAmnaH japam kuru
sp022-000417_007	mama svarUpam ca hfdaye niDehi
sp022-000418_007	minawamekamapi mamasvarUpam DArayizyasi tadA yasya nAma Bajanamasti tadaham tuByam dAsyAmi
sp022-000419_007	itoऽDikam DArayitum icCati tadA hfdayena sAraTI BUtvA tvayA saha sTAsyAmi
sp022-000420_007	yadA surato gfhIto Bavati tadA tadanantaram mahApuruza itTam antikAyate
sp022-000421_007	yaTA karacaraRanAsikASravaRendriyARi vartante sannikawAni
sp022-000422_007	BavAn mahApuruzataH sahasrADikakroSam dUre vasatu kintu sa samIpe vasati
sp022-000423_007	manasi vicArARAm utTAnAt pUrvameva te paTanirDAraRam kartum AraBante
sp022-000424_007	anurAgiRaH hfdaya pradeSe sa mahApuruzaH tAdAtmyaBAvena jAgarti
sp022-000425_007	arjunaH asti anurAgapratIkaH
sp022-000426_007	gItAyAH ekAdaSADyAye yogeSvara SrIkfzRasya ESvaryam samavalokya arjunaH sva CudratruwInAm kfte kzamAyAcanAm kartum prAraBate
sp022-000427_007	SrIkfzRaH kzamAm kftavAn yAcanAnurUpam sOmyo BUtvA uktavAn ca
sp022-000428_007	arjuna mamedam svarUpam na pUrvam kaScid dadarSa na ca kaScidrakzyati
sp022-000429_007	tadA tu gIteyam asmAkam kfte vyarTA kuto hi tasya darSanasya yogyatA arjune sImitA pratIyate
sp022-000430_007	yadA tu tasminnevakAle saYjayoऽpi samavalokayan AsIt
sp022-000431_007	pUrvamapi tenoktam bahavaH yogijanAH jYAnarUpatapasApUtAH santaH mama sAkzAt svarUpam leBire
sp022-000432_007	antataH asO mahApuruzaH kim vaktum Ihate
sp022-000433_007	vastutaH anurAga eva arjunaH asti
sp022-000434_007	yo BavatAm hfdaye BAvanA viSezaH asti
sp022-000435_007	anurAgavihInaH puruzaH kadApi pUrvam na drazwum SaSAka na ca anurAgarahitaH puruzaH kadAऽpi Bavizyeऽpi drazwum Sakzyati
sp022-000436_007	ataH arjunaH ekaH pratIkaH asti
sp022-000437_007	yadi nAsti pratIkatA tarhi gItAyAH anuSIlanam tyajyatAm
sp022-000438_007	gItA nAऽsti Bavatkfte tadA tu tasya darSanasya yogyatAsIt sImitArjunam yAvat
sp022-000439_007	aDyAyasya ante yogeSvaraH nirRayam dadAti
sp022-000440_007	arjuna ananya BaktyA SradDayA ca aham uktaprakAreRa darSanArTam yaTA tvam dfzwavAn tattvataH suspazwam jYAtum pravezwuYca sulaBaH asmi
sp022-000441_007	ananyaBaktiH api anurAgasya dvitIyA viDA samucyate etadeva arjunasya svarUpam api asti
sp022-000442_007	arjunaH paTikasya pratIkaH asti
sp022-000443_007	anena prakAreRa gItAyAH pAtrARi pratIkAtmakAni santi
sp022-000444_007	yaTAsTAnam tezAm saNketaH vartate
sp022-000445_007	BavetAnnAma kfzRArjunO kOcid EtihAsikO puruzO niScitarUpeRa aBavat sampannam kimapi viSvayudDam
sp022-000446_007	kintu gItAyAm BOtikayudDasya citraRam nAऽsti kadAऽpi
sp022-000447_007	tasya yudDasya muKAgre samudvegitaH tu AsIt arjunaH na tu senA
sp022-000448_007	senA tu yudDe tatparA AsIt
sp022-000449_007	kim gItAyA pramuKopadeSam datvA SrIkfzRaH savyasAcini kOnteye sEnyayogyatAyAH prAvIRyam prASikzayat
sp022-000450_007	vastutaH sADanolleKanam aSakyam
sp022-000451_007	sakalADyayanAnantaram api paWana pAWana yAtrA na Bavati paripUrRA kiYcit SezAyata eva
sp022-000452_007	iyameva preraRA yaTArTagItA jYeyA
sp022-000453_007	SrIgurupUrRimA
sp022-000454_007	tryazwanavEka kristAbde julEmAsasya caturviMSati dinANkaH
sp022-000455_007	sadgurukfpASrayI jagadbanDuH
sp022-000456_008	DftarAzwraH saYjayam apfcCat
sp022-000457_008	he saYjaya Darmakzetre kurukzetre saNgrAmecCavaH samavetAH pARqavAH
sp022-000458_008	taTA mAmakAH kOravAH kim kftavantaH
sp022-000459_008	DftarAzwraH asti ajYAnasya pratIkaH
sp022-000460_008	saYjayastu saMyamasya pratIkaH jYeyaH
sp022-000461_008	ajYAnam cetasaH tizWatyantarAle
sp022-000462_008	DftarAzwraH tu ajYAnAcCAditamAnasaH asti
sp022-000463_008	janmAnDaH api iti avaDeyaH
sp022-000464_008	parantu saMyamapratIkaBUtasya saYjayasya mADyamena DftarAzwraH paSyati SfRoti ca
sp022-000465_008	yat paramAtmEvEkam satyam asti
sp022-000466_008	punarapi yadAvaDi mohasvarUpaH duryoDanaH tasya hfdayapradeSe virAjate
sp022-000467_008	tadavaDim yAvat tasya dfzwiH vikArarUpe kOrava eva saMlagnA asti
sp022-000468_008	SarIram ekam kzetram asti
sp022-000469_008	yadA hfdayadeSe dEvIsampadaH prAcuryam jAyate
sp022-000470_008	tadedam SarIram DarmakzetrAyate
sp022-000471_008	yadA AsurIsampadaH prAcuryam Bavati tadA kurukzetrAyate ca
sp022-000472_008	AdeSavAcakam kuru padam karmaRi pravftyarTam
sp022-000473_008	karma kuru iti karma kartum prerakam kriyApadam asti
sp022-000474_008	SrIkfzRaH kaTayati yat prakftipraBUtEH triBiH guREH paratantraH manuzyaH karma karoti
sp022-000475_008	saH kzaRamAtram api akurvan karma na avasTAtum Saknoti
sp022-000476_008	guRAH tu tena mAnavena balAt karmakArayanti
sp022-000477_008	suptAvasTAyAm api karmavirAmaH na Bavati
sp022-000478_008	tadapi puzwaSarIrasya buBukzAnivArakaKAdyamAtram asti
sp022-000479_008	trayo guRAH mAnavam devatAtaH samAraBya kIwAdi viviDaSarIrezu baDnanti
sp022-000480_008	yAvat prakftiH prakftijAH guRAH ca santi jIvitAH tAvat kuru ityAdeSaH api jIvizyati
sp022-000481_008	ato hi janmamftyusahitam kzetram vikAragrasitaYca kzetram kurukzetram jAnIyAt
sp022-000482_008	taTA paramaDarmaparamAtmani praveSayitum puRyamayInAm pARqavapratIkaBUtAnAm pravfttInAm kzetram Darmakzetram asti
sp022-000483_008	purAtatvavidaH paYcAmbupradeSe kASIprayAgayoH antarAle taTA BArataBUKaRqasya anekezu sTalezu kurukzetrasya SoDAtmakAnvezaRe ratAH santi
sp022-000484_008	kintu gItAkAraH svayam kaTitavAn asti
sp022-000485_008	yat yasmin kzetre yudDam aBavat tatkzetram kva asti
sp022-000486_008	idam SarIram kOnteya kzetramityaBiDIyate
sp022-000487_008	arjuna idam SarIrameva kzetram asti
sp022-000488_008	ya idam kzetram jAnAti sa eva pAraNgAmI kzetrajYaH
sp022-000489_008	agre calitvA SrIkfzRaH kzetrasya vistAram avarRayat
sp022-000490_008	yaTA yasmin kzetre daSendriyARi manaH budDiH ahaNkAraH paYcavikArAstrayoguRASca satatam vartante
sp022-000491_008	idam SarIrameva yudDaBUmipratIkaBUtam kzetram asti
sp022-000492_008	asmin kzetre yuyutsU dve pravftyO virAjete
sp022-000493_008	ekA dEvIsampannAmnI dvitIyA AsurIsampannAmnI
sp022-000494_008	pARquDftarAzwrayoH santatayaH sajAtIyavijAtIyapravftyO staH
