sp027-000001_001	pAyasa prahasanam
sp027-000394_011	saH kopena mama SarIre yAvatparyantam raktam tizWati
sp027-000395_011	tataH BItAH musalmAnajanAH palAyanam kftavantaH
sp027-000396_011	punaH kadAcit aSPAkaH svamitreRa rAmaprasAdena saha ANglEH nigfhItaH kArAgfham prati prezitaH ca
sp027-000397_011	tena BavataH daRqanam nyUnam Bavizyati
sp027-000398_011	itaH gacCatu BavAn
sp027-000399_011	hindu muslim vivAdavizaye kimapi mA vadatu BavAn
sp027-000400_011	vayam sarve kevalam BAratIyAH
sp027-000401_011	BAratasya svAtantryaprAptyarTam vayam militvA eva prayatnam kurmaH
sp027-000402_011	vayam sarve api BAratamAtuH eva putrAH
sp027-000403_011	ataH vayam sodarAH iti kopena hUNkftavAn aSPAkaH
sp027-000404_011	saH tataH nirgataH
sp027-000405_012	apekzA na laGuH
sp027-000406_012	tatra kaScana ASramaH
sp027-000407_012	tasya nAma SrI SivAnanda ASramaH iti
sp027-000408_012	tasmin ASrame SrI sadApremAnandasarasvatIsvAminaH nivasanti sma
sp027-000409_012	te DarmaparAyaRAH tattvanizWAH ca Asan
sp027-000410_012	yasmin vane SrI SivAnanda ASramaH AsIt tatra tam ASramam paritaH AdivAsinaH nivasanti sma
sp027-000411_012	te api svAminAm samparkeRa sajjanAH SAntAH ca jAtAH Asan
sp027-000412_012	aTa kadAcit tam ASramam prati tasya janapadasya AyuktaH AgatavAn
sp027-000413_012	ASrame AdivAsi bAlAnAm kfte gurukulamapi AsIt
sp027-000414_012	bahavaH bAlAH tatra paWanti sma
sp027-000415_012	tat dfzwvA saH AyuktaH bahu praBAvitaH prasannaH ca
sp027-000416_012	tAm aham pUrayizyAmi iti
sp027-000417_012	tadA svAminaH uktavantaH BavatA anyat kimapi dAtavyam nAsti
sp027-000418_012	kfpayA ekam kfzRaPalakam dadAtu
sp027-000419_012	paryAptam iti
sp027-000420_012	tat SrutvA saH AyuktaH AScarya cakitaH san uktavAn
sp027-000421_012	ezA tu laGuH apekzA asti
sp027-000422_012	itoऽpi kimapi aDikam prArTayatu iti
sp027-000423_012	tadA svAminaH gamBIratayA
sp027-000424_012	kim mama ezA apekzA laGuH iti BavAn cintitavAn
sp027-000425_012	BavAnapi tAdfSasya kfzRaPalakasya upari liKitvA paWitvA ca eva idAnIm AyuktaH aBavat Kalu
sp027-000426_012	tarhi BavAn kaTam ezaH laGuH iti upekzAm karoti
sp027-000427_012	yadi kfzRaPalakam na aBavizyat tarhi BavAn AyuktaH na aBavizyat iti uktavantaH
sp027-000428_012	svAminAm vAkyam SrutvA AyuktaH atyantam praBAvitaH aBavat
sp027-000429_012	anantaram saH ASramAya svAmivivekAnandasya sAhityam anyAni pustakAni AvaSyakavastUni ca dattavAn
sp027-000430_013	Amrasya ruciH
sp027-000431_013	pUrvam asmAkam deSam prati bahavaH videSIyayAtrikAH AgacCanti sma
sp027-000432_013	te bahukAlam yAvat atra tizWanti sma
sp027-000433_013	deSe sarvatra BramaRam kurvanti sma
sp027-000434_013	BAratasya ekEkasmin vizaye api tezAm jijYAsA aDikA AsIt
sp027-000435_013	ekadA kaScana yAtrikaH jarmanIdeSataH AgataH
sp027-000436_013	vizayAn api saNgrahItavAn
sp027-000437_013	viSezatayA saH asmAkam deSasya Amra PalAni izwavAn
sp027-000438_013	tAni bahuvAram krItvA KAditavAnapi
sp027-000439_013	svadeSam prati gamanasamaye saH AmraPalAni nayAmi iti cintitavAn
sp027-000440_013	parantu saH na SaktaH
sp027-000441_013	svadeSam gatvA yAtrikaH tasya deSasya mahArAjam dfzwavAn
sp027-000442_013	AmraPalAnAm praSaMsAmapi kftavAn
sp027-000443_013	tat SrutvA saH mahArAjaH sotsAham
sp027-000444_013	etasmAt BItaH yAtrikaH idAnIm AmraPalam atra Anetum mayA na Sakyate iti uktavAn
sp027-000445_013	tadA avicArI mahArAjaH dinatrayam yAvat samayAvakASam dAsyAmi
sp027-000446_013	cintAkrAntaH yAtrikaH gfham gatavAn
sp027-000447_013	prARarakzaRam kaTam iti saH bahuDA cintitavAn
sp027-000448_013	tftIyadine saH ekam upAyam anvizwavAn
sp027-000449_013	tataH rAjaBavanam prati sotsAham gatavAn ca
sp027-000450_013	mahArAjaH saBAm AgatavAn
sp027-000451_013	mahArAjasya samIpam gatavAn
sp027-000452_013	vijYApanam kftavAn yat idAnIm Amrasya svAdam darSayAmi
sp027-000453_013	parantu praTamam mantrimahodayena svAdaH drazwayaH iti
sp027-000454_013	rAjA api aNgIkftavAn
sp027-000455_013	yAtrikaH tintriRIrasam guqam ca yojayitvA tatra sTitasya kasyacit sevakasya SmaSruRaH upari lepitavAn
sp027-000456_013	mantriRam AhUya AsvAdayitum uktavAn ca
sp027-000457_013	saH mantrI tu anicCan eva Agatya AsvAdam kftvA
sp027-000458_013	kiYcit AmlatA kiYcit maDuratA maDye romayuktatA ca anuBUyate iti svakIyam anuBavam varRitavAn
sp027-000459_013	tadA yAtrikaH mahArAjamuddiSya
sp027-000460_013	praBo Amrasya ruciH api evam eva Bavati
sp027-000461_013	AmlatA maDuratA SimbAyuktatA ca Bavati tatra iti
sp027-000462_013	mahArAjaH etat SrutvA hasan rucijYApanArTam tena kftam upAyam praSaMsan tam yaTocitam satkftavAn
sp027-000463_014	mfgayA
sp027-000464_014	pUrvam DarmapurIrAjyam prakASavIraH pAlayati sma
sp027-000465_014	tasmin rAjye sarvAH api prajAH suKena jIvanam kurvanti sma
sp027-000466_014	tatra aneke vanyamfgAH Asan
sp027-000467_014	tasya prajAjanAH api mfgayAyAm AsaktAH Asan
sp027-000468_014	tezu koऽpi yadA kamapi mfgam mArayitvA AnIya mahArAjAya darSayati
sp027-000469_014	tadA mahArAjaH pAritozikadAnena tam satkaroti sma
sp027-000470_014	ataH mahArAjAt pAritozikam prAptum icCantaH janAH tadarTameva punaH punaH mfgayAm kurvanti sma
sp027-000471_014	etena bahuSIGram vane sTitAnAm prARinAm saNKyA nyUnA jAtA
sp027-000472_014	kadAcit tat vanam prati kaScana atiBayaNkaraH vyAGraH AgatavAn
sp027-000473_014	tezAm upari AkramaRam kftavAn
sp027-000474_014	mahArAja kaTamapi tam vyAGram mArayatu iti tam prArTitavantaH
sp027-000475_014	etat SrutvA mahArAjaH vismitaH aBavat
sp027-000476_014	yataH ete eva janAH pUrvam anekAn krUramfgAn mAritavantaH Asan
sp027-000477_014	tezAmapi BayajanakaH ezaH vyAGraH niScayena mahAbalavAn syAt iti saH cintitavAn
sp027-000478_014	anantaram saH niScitavAn yat tam mArayitum ahameva adya mfgayArTam gacCAmi
sp027-000479_014	tataH mfgayAvezam DftvA DanurbARAdikam gfhItvA mahArAjaH rAtrO eva mfgayArTam tat araRyam pravizwavAn
sp027-000480_014	saH jAnAti sma yat rAtrO vyAGraH jalam pAtum nadIm AgacCati
sp027-000481_014	tasmin dine pUrRimA AsIt
sp027-000482_014	sarvatra candrikA prasftA AsIt
sp027-000483_014	ataH sarvaH api pradeSaH tataH spazwatayA dfSyate sma
sp027-000484_014	maDyarAtre vyAGrasya BayaNkaram garjanam Srutam
sp027-000485_014	tena samagravanameva pratiDvanitam aBavat
sp027-000486_014	kintu na kadApi evam tasya hfdayam Bayakampitam AsIt
sp027-000487_014	saH nadyAH samIpam gatvA jalam pAtum udyuktaH
sp027-000488_014	mahArAja tizWatu tizWatu iti vAkyam saH SrutavAn
sp027-000489_014	AScaryeRa sarvatra dfzwavAn
sp027-000490_014	BavAn vfkzAt avataratu iti manuzyavAcA uktavAn
sp027-000491_014	vyAGraH uktavAn mahArAja BavAn kimarTam mAm mArayati
sp027-000492_014	aham kam aparADam kftavAn iti
sp027-000493_014	mahArAjaH uktavAn
sp027-000494_014	BavAn mama rAjyasya anekAH prajAH mAritavAn
sp027-000495_014	mama prajAH BavataH BItAH santi
sp027-000496_014	prajAnAm rakzaRam mahArAjasya mama DarmaH
sp027-000497_014	mahArAja BavAn yam Darmam pAlayati tameva Darmam ahamapi pAlitavAn asmi
sp027-000498_014	atra mama kaH dozaH iti pfzwavAn
sp027-000499_014	tadA vyAGraH eva punaH uktavAn
sp027-000500_014	BavAn yaTA rAjyasya rAjA asti taTA ahamapi etasya vanasya rAjA asmi
sp027-000501_014	prajAnAm rakzaRam yaTA BavataH DarmaH
sp027-000502_014	taTEva mama prajAnAm vanyamfgARAm rakzaRam mamApi DarmaH
sp027-000503_014	BavatA dIyamAnasya pAritozikasya ASayA BavataH prajAjanAH etasya vanasya prARinaH mArayantaH santi
sp027-000504_014	evam sati vanyamfgAn mArayitum AgatAnAm tezAm mAraRam mama DarmaH eva Kalu iti
sp027-000505_014	BavataH vacanena mama netre unmIlite
sp027-000506_014	mama jYAnodayaH jAtaH
sp027-000507_014	itaHparam kadApi mama prajAjanAH yaTA mfgayAm na kuryuH taTA aham vyavasTAm karizyAmi
sp027-000508_014	aham cintayAmi yat BavAn koऽpi divyapuruzaH eva syAt
sp027-000509_014	kfpayA vadatu BavAn kaH iti
sp027-000510_014	tasmin sTAne kAcit divyastrI upasTitA AsIt
sp027-000511_014	mahArAjaH BaktyA tAm namaskftavAn
sp027-000512_014	sA mahArAja aham vanadevatA asmi
sp027-000513_014	itaHparam BavataH rAjye prARihatyAyAH avasaram mA dadAtu
sp027-000514_014	uttizWatu SuBamastu Bavate ityuktvA adfSyA jAtA
sp027-000515_014	mahArAjaH svasya rAjyam pratyAgatavAn
sp027-000516_014	tataH svarAjye ke api mfgayAm na kuryuH iti SAsanam api kftavAn
sp027-000517_014	tataH bahukAlam yAvat suKena SAntyA ca saH prajAH pAlitavAn
sp027-000518_015	kartavyAni mitrARi
sp027-000519_015	kasmiMScit araRye viSAlam sarovaram AsIt
sp027-000520_015	tasya ekasmin pArSve kaScana mayUraH nivasati sma
sp027-000521_015	aparasmin pArSve ekA mayUrI nivasati sma
sp027-000522_015	tAm mayUrIm dfzwvA mayUraH cintitavAn yat aham etAm pariRezyAmi
sp027-000523_015	ataH saH mayUrIm pfzwavAn AvayoH vivAhaH kaTam na Bavet iti
sp027-000524_015	tadA mayUrI pfzwavatI BavataH kati mitraRi santi iti
sp027-000525_015	mayUraH uktavAn kAni api mitrARi na santi iti
sp027-000526_015	mayUraH cintitavAn yat suKena jIvanIyam cet mitrARi sampAdanIyAni
sp027-000527_015	ataH saH niScitavAn yat sarovaratawe ye prARinaH nivasanti tezAm mEtrI sampAdayAmi
sp027-000528_015	tasmin sarovaratawe wiwwiBaH siMhaH kUrmaH ca nivasanti sma
sp027-000529_015	mayUraH tezAm samIpam gatvA maDurasamBAzaRena tezAm mEtrIm sampAditavAn
sp027-000530_015	anantaram punaH mayUrIm uktavAn yat idAnIm mama trIRi mitrARi santi
sp027-000531_015	mayUrI vivAham aNgIkftavatI
sp027-000532_015	SuBe muhUrte tayoH vivAhaH saYjAtaH
sp027-000533_015	kAnicana dinAni atItAni
sp027-000534_015	sarovaratawe sTite kasmiMScit vfkze tayoH vAsaH AsIt
sp027-000535_015	aTa kadAcit kecana vyADAH mfgayAnimittam tad vanam AgatavantaH
sp027-000536_015	parantu Adinam awitvA api te ekamapi mfgam na prAptavantaH
sp027-000537_015	jalam pItvA vfkzacCAyAyAm upaviSya te cintitavantaH yat adya ko api mfgaH na labDaH
sp027-000538_015	atra pakziRAm aRqAni SAvakAH vA laByeran
sp027-000539_015	tena vA asmAkam buBukzA nivAritA Bavet
sp027-000540_015	tasmin eva vfkze mayUradampatyoH vAsaH AsIt
sp027-000541_015	vyADAnAm samBAzaRam SrutvA mayUryAH cintA utpannA
sp027-000542_015	mayUraH Jawiti sAhAyyArTam mitrARAm samIpam gatavAn
sp027-000543_015	mitrEH api sAhAyyArTam aNgIkftam
sp027-000544_015	wiwwiBaH uccasvareRa kolAhalam kftavAn
sp027-000545_015	dUre sTitaH siMhaH uccEH garjanam kftavAn
sp027-000546_015	tadA kUrmaH api sarovarataH bahiH AgataH
sp027-000547_015	kUrmam dfzwvA vyADAH cintitavantaH yat siMhaH atra AgacCet
sp027-000548_015	tatpUrvameva asmABiH itaH palAyanam karaRIyam
sp027-000549_015	etam kUrmam vA gfhItvA nayAmaH
sp027-000550_015	vyADAH tam anusftya jalam pravizwavantaH
sp027-000551_015	tezAm pAdO paNke nimagrO jAtO
sp027-000552_015	tatkzaRameva siMhaH tatra Agatya tAn mAritavAn
sp027-000553_015	tadA mayUrI mayUram uktavatI vivAhAt pUrvam mayA pfzwamAsIt yat BavataH kati mitraRi santi
sp027-000554_015	tat idAnIm sArTakam jAtam
sp027-000555_015	yadi etAni mitrARi na syuH tarhi kiyat kazwam Bavet
sp027-000556_015	mayUraH patnyAH vacanam aNgIkftavAn
sp027-000557_016	mokzArTam ihaloke yatnaH
sp027-000558_016	kaTAkAraH indirAtanayaH
sp027-000559_016	matsyaDvajaH kaScana mahArAjaH
sp027-000560_016	Boge tasya viSezAsaktiH AsIt
sp027-000561_016	kadAcit saH sarvAlaNkAraBUzitaH san BoginInAm gfham gacCanAsIt
sp027-000562_016	gamanamArge kasyacana purohitasya gfham AsIt
sp027-000563_016	purohitaH AkaRWam BuktvA gfhasya purataH upaviSya samayayApanArTam SlokAn vadanAsIt uccasvareRa
sp027-000564_016	rAjA yadA gacCanAsIt tadA purohitena ekaH SlokaH gItaH
sp027-000565_016	varzArTamazwO prayateta mAsAn niSArTamarDam divase yateta
sp027-000566_016	arTaH asti
sp027-000567_016	varzAkAlasya suKArTam Sizwezu azwasu mAsezu pariSramaH karaRIyaH
sp027-000568_016	rAtrO suKanidrAprAptyarTam dine SramaH karaRIyaH
sp027-000569_016	paralokasuKArTam ihaloke prayatnavAn Bavet manujaH
sp027-000570_016	etam Slokam SrutavataH rAjYaH manasi vivekaH uditaH
sp027-000571_016	ataH annataradine eva saH sarvAn paRqitAn melayitvA AjYApitavAn
sp027-000572_016	mokzaprAptyarTam atiSrezWaH mArgaH kaH
sp027-000573_016	kasya ArADanAt muktiH sulaBA Bavet iti BavadBiH nirRetavyam
sp027-000574_016	vAdAH pravartantAm
sp027-000575_016	vAde yaH jayam prApnoti tasmE viSezapAritozikam dIyate iti
sp027-000576_016	paRqitAnAm vAdaH ArabDaH
sp027-000577_016	ante vizRucittaH nAma paRqitaH jayam prApya pAritozikam prAptavAn
sp027-000578_016	tasya upadeSam SrutvA BagavataH vizRoH ArADanam kurvan granTA aDyayanam ca kurvan rAjA nivfttimArgeRa viSezapragatim prApya ante mokzam prAptavAn
sp027-000579_017	yudDAstrAnirmARagAram kutra
sp027-000580_017	kaTAkAraH rAmakfzRaH
sp027-000581_017	svAmI SradDAnandavaryaH AryasamAjasya anuyAyI
sp027-000582_017	mahAn deSaBaktaH api AsIt saH
sp027-000583_017	kANgaqIsTe gurukule yadA saH aDyApayati sma tadAnIntanaGawanA ezA
sp027-000584_017	gurukule yudDAstrARAm nirmARAgAram gOpyena kAryam karoti iti kiMvadantI guptacaraviBAgadvArA kadAcit SrutA ANglasarvakAreRa
sp027-000585_017	vastusTiteH parIkzaRArTam kaScana ANglADikArI gurukulam Agatya darpeRa pfzwavAn
sp027-000586_017	atra yudDAstranirmARAgAram asti iti SrUyate
sp027-000587_017	kim etat satyam
sp027-000588_017	svAmI SradDAnandavaryaH SAntasvareRa uktavAn Am
sp027-000589_017	AScaryeRa kutUhalena ca pfzwavAn ANglADikArI
sp027-000590_017	kutrasti tat
sp027-000591_017	tat tu atrEvasti
sp027-000592_017	ete eva mayA nirmIyamARAni yudDAstrARi
sp027-000593_017	iti vadan SradDAnandavaryaH garukulIyAn brahmacAriRaH darSitavAn
sp027-000594_017	varAkaH saH na jAnAti sma yat tatratyaH ekEkaH brahmacArI api ANglaSAsananirmUlakam golakAstram iva Acarati iti
sp027-000595_018	hfdayapariSudDatA
sp027-000596_018	kaTAkAraH satISaH
sp027-000597_018	saH kaScit pavitrASramaH
sp027-000598_018	tam ASramam paritaH uttamam vAtAvaraRamasti iti kAraRataH bahavaH janAH tadA tadA gacCanti sma
sp027-000599_018	tatra nadI kAcit unnataparvatAH ca Asan
sp027-000600_018	tasmin nirmalavAtAvaraRe kaScit maharziH kuwIram nirmAya nizWayA DyAnam kurvanAsIt
sp027-000601_018	ezaH ASramaH yasmin rAjye AsIt tat rAjyam kaScit uttamaH mahArAjaH pAlayati sma
sp027-000602_018	tasya ekaH eva putraH AsIt
sp027-000603_018	saH putram atyantaprItyA paSyati sma
sp027-000604_018	kintu rAjakumAraH tadvirudDam eva pravartanam karoti sma
sp027-000605_018	kevalam durvyasanEH kAlam vyarTam yApayati sma
sp027-000606_018	tAdfSam putram dfzwvA api kimapi kartum aSaktaH mahArAjaH tUzRIm sTitavAn
sp027-000607_018	yadi mama putraH siMhAsane upaviSati tarhi rAjyasya sTitiH kA Bavet iti saH cintAkrAntaH aBavat
sp027-000608_018	evam cintAm kurvataH mahArAjasya manasi ekaH upAyaH sPuritaH
sp027-000609_018	saH putram uktavAn mama atyantam AtmIyaH kaScana maharziH araRye vasati
sp027-000610_018	BavAn ekadA tatra gatvA tena milatu iti
sp027-000611_018	Atape AgataH iti kAraRataH saH mahAn SrAntaH jAtaH AsIt
sp027-000612_018	yuvarAjasya Agamanam mahArAjaH pUrvameva maharzim sUcitavAn AsIt
sp027-000613_018	ataH maharziH yadA yuvarAjam dfzwavAn tadA svena kim karaRIyama iti saH niScitavAn
sp027-000614_018	yuvarAjaH tAni PalAni dfzwavAn
sp027-000615_018	PalAnAm upari anekAH makzikAH upavizwAH Asan
sp027-000616_018	gurudeva makzikABiH spfzwAni etAni PalAni kaTam KAdanIyAni mayA
sp027-000617_018	tezAm darSanena eva jugupsA jAyate iti
sp027-000618_018	tadA maharziH uktavAn yuvarAja etAni PalAni sakft KAdati cet samApyante
sp027-000619_018	evam cet sarvadA BavataH hfdayasya upari sTitAnAm kAmakroDaloBAdidurmakzikARAm vizaye kimarTam na cintayati
sp027-000620_018	tAni durvyasanAni BavataH hfdayasya SIlasya ca nazwam kurvanti iti na jAnAti kim
sp027-000621_018	bAhyaKAdyasya vizaye etAvatIm SudDatAm paSyatA BavatA hfdayaSudDeH vizaye kimarTam upekzA kriyate
sp027-000622_018	tadA eva BavAn uttamaH AdarSapuruzaH ca Bavitum Saknoti
sp027-000623_018	maharzeH divyopadeSam SrutvA yuvarAjaH tasya pAdO gfhItavAn
sp027-000624_018	paScAttApena kzamAm prArTitavAn
sp027-000625_018	mahArAjaH api santuzwaH BUtvA kAlAntare tasmE rAjyapAlanadAyitvam dattavAn
sp027-000626_019	samADAnam
sp027-000627_019	kaTAkAraH sidDeSvarabalarAmamahArAjaH
sp027-000628_019	saH gurukulam gatvA samIcInatayA vidyAByAsam kftavAn
sp027-000629_019	guruvarya jIvane samADAnam prAptum mayA kim karaRIyam iti
sp027-000630_019	tadA guruH uktavAn SmaSAnam gantavyam
sp027-000631_019	tatra gatvA mayA kim karaRIyam
sp027-000632_019	SmaSAne SavasTAnAni Bavanti eva
sp027-000633_019	Am tAni tatra Bavanti
sp027-000634_019	tataH kim
sp027-000635_019	BavAn SmaSAnam gacCatu
sp027-000636_019	tAni SavasTAnAni ninditvA tezAm apamAnanam karotu
sp027-000637_019	taTApi guroH vacanam pAlayan saH SmaSAnam gatvA SavasTAnAni samyak ninditavAn
sp027-000638_019	tadA guruH pfzwavAn mayA yaTA uktam taTEva kftam nanu
sp027-000639_019	Am guruvarya BavataH vacanam yaTAvat pAlitam
sp027-000640_019	aDunA punaH api tatrEva gantavyam BavatA
sp027-000641_019	idAnIm mayA tatra kim karaRIyam
sp027-000642_019	puzpARi samarpya tezAm praSaMsA karaRIyA
sp027-000643_019	sammAnanam ca pradarSanIyam
sp027-000644_019	SizyaH idAnIm api guroH AdeSam yaTAvat pAlitavAn
sp027-000645_019	punaH guroH samIpam AgatavAn ca
sp027-000646_019	guruH pfzwavAn vatsa smArakARi yadA BavatA apamAnitAni tadA tEH kim kftam
sp027-000647_019	aTa BavatA yadA sammAnanam kftam tadA tEH kim kftam
sp027-000648_019	tadA api na kimapi kftam tEH
sp027-000649_019	nirjIvAni tAni kim vA kuryuH
sp027-000650_019	jIvane apamAnAvasarAH yaTA taTEva praSaMsAvasarAH api Bavanti
sp027-000651_019	avasaradvaye api yaH mOnena tizWati
sp027-000652_019	yaSca pratyuttaram ayacCan vikAram kamapi na prApnoti saH eva jIvane samADAnam prApnoti
sp027-000653_019	samADAnam prAptum ayam eva yogyaH mArgaH iti boDitavAn guruH
sp027-000654_020	ante yA matiH gatissA
sp027-000655_020	kaTAkAraH akzarapriyadAsaH
sp027-000656_020	kasmiMScit ASrame kaScana guruH vasati sma
sp027-000657_020	saH atIva prasidDaH AsIt
sp027-000658_020	bahavaH SizyAH tasya ASrame sTitvA paWanti sma
sp027-000659_020	guruH tAn bahu samyak aDyApayati sma
sp027-000660_020	kadAcit pAWasamaye guruH SizyAn uktavAn
sp027-000661_020	ante yA matiH sA gatiH iti ekA uktiH asti
sp027-000662_020	tannAma manuzyaH maraRadaSAyAm antime kzaRe yat cintayati tAmeva gatim prApnoti iti
sp027-000663_020	punaH kadAcit saH SizyAn uktavAn
sp027-000664_020	mama maraRam sAmAnyAnAm lOkikAnAm maraRam iva na Bavizyati
sp027-000665_020	mama SarIra tyAgasamanantarameva AkASe devadunduBInAm udGozaH Bavizyati
sp027-000666_020	tataH kezAYcit mAsAnAm anantaram guruH asvasTaH jAtaH
sp027-000667_020	SizyAH uttamasya vEdyasya dvArA tasya cikitsAm kAritavantaH
sp027-000668_020	taTApi kimapi prayojanam na aBavat
sp027-000669_020	tataH guruH SizyAn sUcitavAn ASramAt bahiH sTitasya badarIvfkzasya aDaH mama SayyAm prasArayantu iti
sp027-000670_020	SizyAH taTEva kftavantaH
sp027-000671_020	guruH tatrEva Sayanam kftavAn
sp027-000672_020	SizyAH cintitavantaH yat guroH prARanizkramaRam saYjAtam iti
sp027-000673_020	kimarTam evam saYjAtam iti cintayantaH te upavizwavantaH
sp027-000674_020	tezu kaScana caturaH CAtraH AsIt
sp027-000675_020	saH uktavAn guruH nEva mftaH
sp027-000676_020	yataH yadi saH mftaH syAt tarhi AkASe devadunduBiGozaH Bavet eva
sp027-000677_020	ataH atra kimapi viSizwam kAraRam syAt
sp027-000678_020	aham pariSIlayAmi iti
sp027-000679_020	tataH saH guroH SarIram yatra yAdfSasTitO AsIt tatra tAdfSasTitO eva SayitavAn
sp027-000680_020	saH cintitavAn yat etadeva kAraRam iti
sp027-000681_020	tadanantaram saH tat badarIPalam avatArya CurikayA tat Binnam kftavAn
sp027-000682_020	SizyAH jYAtavantaH yat guruH antime kzaRe tat Palameva paSyan prARAn tyaktavAn
sp027-000683_020	tatra eva tasya matiH AsIt
sp027-000684_020	ataH saH tAm gatim prAptavAn
sp027-000685_020	Pale Binne sati tasya prARAH vEkuRWam prAptavantaH iti
sp027-000686_021	antarArTaH
sp027-000687_021	kaScana pradeSaH AsIt
sp027-000688_021	tatra kAcit nadI pravahati sma
sp027-000689_021	nadItIre kaScana sannyAsI svaSizyEH saha ASramam nirmAya vasati sma
sp027-000690_021	tena tasyAm nOkAyAm sTitAH sarve api maraRam prAptavantaH
sp027-000691_021	tat sarvam dfzwvA sannyAsI SizyAn uktavAn
sp027-000692_021	tasyAm nOkAyAm sTitezu kaScit duzwaH AsIt iti manye
sp027-000693_021	ataH eva te sarve api maraRam prAptavantaH iti
sp027-000694_021	SizyAH guroH vacanam anaNgIkurvantaH uktavantaH
sp027-000695_021	ekaH duzwaH asti cet sarve api kaTam maraRam prApnuvanti
sp027-000696_021	etat tu asamIcInam eva iti
sp027-000697_021	sannyAsI tu mandahAsam kftvA tUzRIm sTitavAn
sp027-000698_021	kiYcit samAyAnantaram tezAm nOkA anyat tIram AgatA
sp027-000699_021	sarve api nOkAtaH avatIrRAH
sp027-000700_021	tIre anekAH SuktayaH patitAH Asan
sp027-000701_021	tAvatA SaNKe vidyamAnAH pipIlikAH bahiH AgatAH
sp027-000702_021	tAsu ekA pipIlikA tasya hastam adaSat
sp027-000703_021	pravAheRa nItASca aBavan
sp027-000704_021	sarve api etAm GawanAm dfzwavantaH
sp027-000705_021	tadA sannyAsI SizyAn uktavAn
sp027-000706_021	BoH sarve api BavantaH etat avalokitavantaH Kalu
sp027-000707_021	BavatAm mitram ekA eva pipIlikA adaSat
sp027-000708_021	kintu tasyAH kAraRataH tayA saha sTitAH sarvAH api pipIlikAH jale patitvA prARAn atyajan
sp027-000709_021	pApAtmA ekaH eva cedapi tasya praBAvaH paritaH vidyamAnAnAm sajjanAnAm upari Bavati eva
sp027-000710_021	tatra ezA GawanA eva pramARam iti
sp027-000711_021	idAnIm SizyAH guroH vacanam aNgIkftvantaH
sp027-000712_022	ekamatiH vijayate
sp027-000713_022	kaTAkAraH qAkwar kamaleSa kumAraH
sp027-000714_022	kasmiMScit araRye SaSaH sarpaH kacCapaH SfgAlaH ca iti catvAraH snehena vAsam kurvanti sma
sp027-000715_022	ekadA tezu eva kAcit carcA pravfttA
sp027-000716_022	carcAyAm ayam vizayaH prastApitaH yat yadi akasmAt etat araRyam agninA prajvalitam Bavizyati tarhi asmABiH kim karaRIyam iti
sp027-000717_022	catvAraH api svamatAnusAram vizayam prastutavantaH
sp027-000718_022	SatamatiH SaSaH uktavAn aham SataDA pariSIlya vadanasmi yat vane prajvalite sati bilam pravezwavyam
sp027-000719_022	nAsti anyaH upAyaH iti
sp027-000720_022	sahasramatiH sarpaH uktavAn mama matam tu vfkzArohaRasya asti
sp027-000721_022	vanam yadA agninA dahyate tadA asmABiH sarvEH api vfkzArohaRam karaRIyam
sp027-000722_022	na tu anyatra kutrApi gantavyam iti
sp027-000723_022	nEsargikena kavacena yuktaH kowimatiH kacCapaH evam uktavAn
sp027-000724_022	trayARAmapi matam SfRvan upavizwaH ekamatiH SfgAlaH uktavAn
sp027-000725_022	mitrARi mama tu niScitam ekameva matam asti
sp027-000726_022	yat yadi vanam prajvalati tarhi vanam parityajya anyatra palAyanam karaRIyam iti
sp027-000727_022	sarve api svakIyam matam eva pratipAdayantaH sva sva AvAsasTAnam pravizwavantaH
sp027-000728_022	aTa kadAcit vane dAvAgniH prajvalitaH
sp027-000729_022	SaSaH bilam pravizwavAn
sp027-000730_022	SfgAlaH ca svamatam anusaran vanAt bahiH palAyitaH
sp027-000731_022	dinAni atItAni
sp027-000732_022	praTamatayA tena SaSasya bilasamIpam Agatam
sp027-000733_022	tatra SatamatiH SaSaH agnO aNgArIBUya mftaH AsIt
sp027-000734_022	tataH vfkzaH avalokitaH
sp027-000735_022	tatra lambamAnaH sahasramatiH sarpaH dagDarajjuH iva dfzwipaTam AgataH
sp027-000736_022	kowiSaH vicArya karmaRi pravartamAnaH kowimatiH kacCapaH BUmO suvarRANgAraH iva dfzwigocaraH aBavat
sp027-000737_022	etat sarvam hfdayavidrAvakam dfSyam dfzwvA SfgAlaH duHKena tataH nirgatavAn
