sp018-000001_001	aTa azwamoऽDyAyaH
sp018-000332_003	kinnimittA iyam sfzwiH iti atra praSnaprativacane anupapanne
sp018-000333_003	ko adDA veda ka iha pravocat kuta AjAtA kuta iyam visfzwiH ityAdimantravarReByaH
sp018-000334_003	darSitam ca BagavatA ajYAnena Avftam jYAnam tena muhyanti jantavaH iti
sp018-000335_003	evam mAm nityaSudDabudDamuktasvaBAvam sarvajYam sarvajantUnAm AtmAnam api santam
sp018-000336_003	BUtamaheSvaram mama param BAvam ajAnantaH mUQAH mAnuzIm tanum ASritam mAm avajAnanti
sp018-000337_003	avajAnanti avajYAm pariBavam kurvanti
sp018-000338_003	mAm mUQAH avivekinaH mAnuzIm manuzyasambanDinIm tanum deham ASritam
sp018-000339_003	manuzyadehena vyavaharantam iti etat
sp018-000340_003	param prakfzwam BAvam param Atmatattvam AkASakalpam AkASAt api antaratamam
sp018-000341_003	ajAnantaH mama BUtamaheSvaram sarvaBUtAnAm mahAntam ISvaram svAtmAnam
sp018-000342_003	tataSca tasya mama avajYAnaBAvanena AhatAH te varAkAH
sp018-000343_003	mohinIm rAkzasIm AsurIm prakftim ca eva SritAH
sp018-000344_003	moGASAH vfTA ASAH ASizaH yezAm te moGASAH
sp018-000345_003	yAni ca agnihotrAdIni tEH anuzWIyamAnAni karmARi tAni ca
sp018-000346_003	tezAm BagavatpariBavAt svAtmaBUtasya avajYAnAt moGAni eva nizPalAni karmARi Bavanti iti moGakarmARaH
sp018-000347_003	taTA moGajYAnAH moGam nizPalam jYAnam yezAm te moGajYAnAH jYAnam api tezAm nizPalam eva syAt
sp018-000348_003	vicetasaH vigatavivekAH ca te Bavanti iti aBiprAyaH
sp018-000349_003	kiYca te Bavanti rAkzasIm rakzasAm prakftim svaBAvam AsurIm asurARAm ca prakftim mohinIm mohakarIm
sp018-000350_003	SritAH ASritAH CindDi BindDi piba KAda parasvam apahara iti evam vadanaSIlAH krUrakarmARaH Bavanti ityarTaH
sp018-000351_003	asuryA nAma te lokAH iti SruteH
sp018-000352_003	ye punaH SraddaDAnAH BagavadBaktilakzaRe mokzamArge pravfttAH
sp018-000353_003	he pArTa dEvIm prakftimASritAH mahAtmAnaH tu mAm BUtAdim avyayam jYAtvA ananyamanasaH mAm Bajanti
sp018-000354_003	mahAtmAnastu akzudracittAH mAm ISvaram pArTa dEvIm devAnAm prakftim
sp018-000355_003	SamadamadayASradDAdilakzaRAm ASritAH santaH Bajanti sevante
sp018-000356_003	ananyamanasaH ananyacittAH jYAtvA BUtAdim BUtAnAm viyadAdInAm prARinAm ca Adim kAraRam avyayam
sp018-000357_003	te nityayuktAH BaktyA mAm satatam kIrtayantaH yatantaH ca dfQavratAH namasyantaH ca mAm upAsate
sp018-000358_003	satatam sarvadA Bagavantam brahmasvarUpam mAm kIrtayantaH
sp018-000359_003	yatantaSca indriya upasaMhAra SamadamadayAhiMsAdi lakzaREH DarmEH prayatantaSca
sp018-000360_003	dfQavratAH dfQam sTiram acAlyam vratam yezAm te dfQavratAH
sp018-000361_003	namasyantaH ca mAm hfdayeSayam AtmAnam BaktyA nityayuktAH santaH upAsate sevante
sp018-000362_003	te kena kena prakAreRa upAsate iti ucyate
sp018-000363_003	anye ca api jYAnayajYena yajantaH ekatvena pfTaktvena bahuDA viSvatomuKam mAm upAsate
sp018-000364_003	jYAnayajYena jYAnam eva Bagavadvizayam yajYaH tena jYAnayajYena
sp018-000365_003	yajantaH pUjayantaH mAm ISvaram ca api anye anyAm upAsanAm parityajya upAsate
sp018-000366_003	tacca jYAnam ekatvena ekameva param brahma iti paramArTadarSanena yajantaH upAsate
sp018-000367_003	kecicca pfTaktvena AdityacandrAdiBedena sa eva BagavAn vizRuH avasTitaH iti upAsate
sp018-000368_003	kecit bahuDA avasTitaH sa eva BagavAn sarvatomuKaH viSvarUpaH
sp018-000369_003	iti tam viSvarUpam sarvatomuKam bahuDA bahuprakAreRa upAsate
sp018-000370_003	yadi bahuBiH prakArEH upAsate kaTam tvAmeva upAsate iti ata Aha
sp018-000371_003	aham kratuH aham yajYaH aham svaDA aham OzaDam aham mantraH aham eva Ajyam aham agniH aham hutam
sp018-000372_003	aham kratuH SrOtakarmaBedaH ahameva
sp018-000373_003	aham yajYaH smArtaH
sp018-000374_003	kiYca svaDA annam aham pitfByo yat dIyate
sp018-000375_003	aham OzaDam sarvaprARiBiH yat adyate tat OzaDaSabdaSabditam vrIhiyavAdisADAraRam
sp018-000376_003	aTavA svaDA iti sarvaprARisADAraRam annam OzaDam iti vyADi upaSamanArTam Bezajam
sp018-000377_003	mantraH aham yena pitfByo devatAByaSca haviH dIyate
sp018-000378_003	ahameva Ajyam haviSca
sp018-000379_003	aham agniH yasmin hUyate haviH saH agniH aham
sp018-000380_003	aham hutam havanakarma ca
sp018-000381_003	aham asya jagataH mAtA pitA DAtA pitAmahaH vedyam vastu pavitram vastu oNkAraH fk sAma yajuH eva ca asmi
sp018-000382_003	pitA janayitA aham asya jagataH mAtA janayitrI
sp018-000383_003	DAtA karmaPalasya prARiByo viDAtA pitAmahaH pituH pitA
sp018-000384_003	vedyam veditavyam pavitram pAvanam oNkAraH fk sAma yajuH eva ca
sp018-000385_003	aham gatiH BartA praBuH sAkzI nivAsaH SaraRam suhft praBavaH pralayaH sTAnam niDAnam avyayam bIjam ca asmi
sp018-000386_003	gatiH karmaPalam BartA pozwA praBuH svAmI sAkzI prARinAm kftAkftasya
sp018-000387_003	nivAsaH yasmin prARino nivasanti SaraRam ArtAnAm prapannAnAm ArtiharaH
sp018-000388_003	praBavaH utpattiH jagataH pralayaH pralIyate asmin iti
sp018-000389_003	taTA sTAnam tizWati asmin iti niDAnam nikzepaH kAlAntara upaBogyam prARinAm
sp018-000390_003	bIjam prarohakAraRam prarohaDarmiRAm
sp018-000391_003	avyayam yAvatsaMsAraBAvitvAt avyayam na hi abIjam kiYcit prarohati
sp018-000392_003	nityam ca prarohadarSanAt bIjasantatiH na vyeti iti gamyate
sp018-000393_003	kiYca ekonaviMSatitamaH SlokaH
sp018-000394_003	he arjuna aham tapAmi aham varzam nigfhRAmi utsfjAmi ca
sp018-000395_003	aham eva amftam mftyuH ca aham eva sat asat ca asmi
sp018-000396_003	tapAmi aham Adityo BUtvA kEScit raSmiBiH ulbaREH
sp018-000397_003	aham varzam kEScit raSmiBiH utsfjAmi
sp018-000398_003	utsfjya punaH nigfhRAmi kEScit raSmiBiH azwaBiH mAsEH punaH utsfjAmi prAvfzi
sp018-000399_003	amftam cEva devAnAm mftyuSca martyAnAm
sp018-000400_003	sat yasya yat sambanDitayA vidyamAnam tat
sp018-000401_003	tadviparItam asacca eva aham arjuna
sp018-000402_003	na punaH atyantam eva asat BagavAn
sp018-000403_003	ye pUrvoktEH nivfttiprakArEH ekatvapfTaktvAdivijYAnEH yajYEH mAm pUjayantaH upAsate jYAnavidaH
sp018-000404_003	te yaTAvijYAnam mAmeva prApnuvanti
sp018-000405_003	ye punaH ajYAH kAmakAmAH
sp018-000406_003	trEvidyAH somapAH pUtapApAH mAm yajYEH izwvA svargatim prArTayante
sp018-000407_003	te puRyam surendralokam AsAdya divi divyAn devaBogAn aSnanti
sp018-000408_003	trEvidyAH fgyajuHsAmavidaH mAm vasvAdidevarUpiRam somapAH somam pibanti iti somapAH
sp018-000409_003	tenEva somapAnena pUtapApAH SudDakilbizAH
sp018-000410_003	yajYEH agnizwomAdiBiH izwvA pUjayitvA svargatim svargagamanam svareva gatiH svargatiH tAm prArTayante
sp018-000411_003	te ca puRyam puRyaPalam AsAdya samprApya surendralokam SatakratoH sTAnam aSnanti BuYjate
sp018-000412_003	divyAn divi BavAn aprAkftAn devaBogAn devAnAm BogAn
sp018-000413_003	te tam BuktvA viSAlam svargalokam puRye kzIRe sati martyalokam viSanti
sp018-000414_003	evam trayIDarmam anuprapannAH kAmakAmAH gatAgatam laBante
sp018-000415_003	te tam BuktvA svargalokam viSAlam vistIrRam kzIRe puRye martyalokam viSanti AviSanti
sp018-000416_003	evam yaToktena prakAreRa trayIDarmam kevalam vEdikam karma anuprapannAH gatAgatam gatam ca Agatam ca gatAgatam gamana Agamanam
sp018-000417_003	kAmakAmAH kAmAn kAmayante iti kAmakAmAH laBante gatAgatam eva
sp018-000418_003	na tu svAtantryam kvacit laBante iti arTaH
sp018-000419_003	ye punaH nizkAmAH samyagdarSinaH
sp018-000420_003	ananyAH cintayantaH ye janAH mAm paryupAsate
sp018-000421_003	tezAm nitya aBiyuktAnAm yogakzemam aham vahAmi
sp018-000422_003	ananyAH apfTagBUtAH param devam nArAyaRam Atmatvena gatAH santaH cintayantaH
sp018-000423_003	mAm ye janAH sannyAsinaH paryupAsate
sp018-000424_003	tezAm paramArTadarSinAm nitya aBiyuktAnAm satata aBiyoginAm yogakzemam
sp018-000425_003	yogaH aprAptasya prApaRam kzemaH tadrakzaRam tat uBayam vahAmi prApayAmi aham
sp018-000426_003	jYAnI tvAtmEva me matam sa ca mama priyaH yasmAt tasmAt te mama AtmaBUtAH priyASca iti
sp018-000427_003	nanu anyezAm api BaktAnAm yogakzemam vahati eva BagavAn
sp018-000428_003	satyam vahati eva kintu ayam viSezaH
sp018-000429_003	anye ye BaktAH te AtmArTam svayam api yogakzemam Ihante
sp018-000430_003	ananyadarSinastu na AtmArTam yogakzemam Ihante
sp018-000431_003	na hi te jIvite maraRe vA AtmanaH gfdDim kurvanti
sp018-000432_003	kevalam eva BagavacCaraRAH te
sp018-000433_003	ataH BagavAneva tezAm yogakzemam vahati iti
sp018-000434_003	nanu anyA api devatAH tvameva cet tadBaktASca tvAmeva yajante
sp018-000435_003	api ye anyadevatABaktAH SradDayA anvitAH yajante
sp018-000436_003	te api he kOnteya aviDipUrvakam mAm eva yajanti
sp018-000437_003	ye api anyadevatABaktAH anyAsu devatAsu BaktAH anyadevatABaktAH santaH yajante pUjayanti
sp018-000438_003	te api mAmeva kOnteya yajanti
sp018-000439_003	aviDipUrvakam aviDiH ajYAnam tatpUrvakam yajante iti arTaH
sp018-000440_003	kasmAt te aviDipUrvakam yajante iti ucyate
sp018-000441_004	aham hi sarvayajYAnAm BoktA ca praBuH eva ca asmi
sp018-000442_004	mAm tu tattvena na aBijAnanti ataH te cyavanti
sp018-000443_004	aham hi sarvayajYAnAm SrOtAnAm smArtAnAm ca sarvezAm yajYAnAm devatAtmatvena BoktA ca praBuH eva ca
sp018-000444_004	matsvAmiko hi yajYaH aDiyajYoऽham eva atra iti hi uktam
sp018-000445_004	taTA na tu mAm aBijAnanti tattvena yaTAvat
sp018-000446_004	ataH ca aviDipUrvakam izwvA yAgaPalAt cyavanti pracyavanti te
sp018-000447_004	yeऽpi anyadevatABaktimattvena aviDipUrvakam yajante tezAmapi yAgaPalam avaSyamBAvi
sp018-000448_004	devavratAH devAn yAnti pitfvratAH pitFn yAnti
sp018-000449_004	BUta ijyAH BUtAni yAnti madyAjinaH api mAm yAnti
sp018-000450_004	yAnti gacCanti devavratAH devezu vratam niyamo BaktiSca yezAm te devavratAH devAn yAnti
sp018-000451_004	pitFn yAnti pitfvratAH SrAdDAdikriyAparAH pitfBaktAH
sp018-000452_004	BUtAni vinAyaka mAtfgaRa caturBaginyAdIni yAnti BUtejyAH BUtAnAm pUjakAH
sp018-000453_004	yAnti madyAjinaH madyajanaSIlAH vEzRavAH mAmeva yAnti
sp018-000454_004	samAne api AyAse mAmeva na Bajante ajYAnAt
sp018-000455_004	tena te alpaPalaBAjaH Bavanti iti arTaH
sp018-000456_004	na kevalam madBaktAnAm anAvfttilakzaRam anantaPalam suKArADanaSca aham
sp018-000457_004	he kOnteya yatkarozi yadaSnAsi yajjuhozi yat dadAsi yattapasyasi tat mat arpaRam kuruzva
sp018-000458_004	yat karozi svataH prAptam yat aSnAsi yacca juhozi havanam nirvartayasi SrOtam smArtam vA
sp018-000459_004	yat dadAsi prayacCasi brAhmaRAdiByaH
sp018-000460_004	yat tapasyasi tapaH carasi kOnteya tat kuruzva madarpaRam matsamarpaRam
sp018-000461_004	evam kurvataH tava yat Bavati tat SfRu
sp018-000462_004	evam kfte sati SuBa aSuBaPalEH karmabanDanEH sannyAsayogayuktAtmA vimuktaH BUtvA mokzyase mAm upEzyasi
sp018-000463_004	SuBASuBaPalEH SuBASuBe izwAnizwe Pale yezAm tAni SuBASuBaPalAni karmARi
sp018-000464_004	tEH SuBASuBaPalEH karmabanDanEH karmARi eva banDanAni karmabanDanAni
sp018-000465_004	tEH karmabanDanEH evam madarpaRam kurvan mokzyase
sp018-000466_004	saH ayam sannyAsayogo nAma sannyAsaSca asO matsamarpaRatayA karmatvAt yogaSca asO iti
sp018-000467_004	tena sannyAsayogena yuktaH AtmA antaHkaraRam yasya tava saH tvam sannyAsayogayuktAtmA san
sp018-000468_004	vimuktaH karmabanDanEH jIvan eva patite ca asmin SarIre mAm upEzyasi Agamizyasi
sp018-000469_004	rAgadvezavAn tarhi BagavAn yato BaktAn anugfhRAti na itarAn iti
sp018-000470_004	aham sarvaBUtezu samaH me dvezyaH priyaH ca na asti
sp018-000471_004	param tu ye mAm BaktyA Bajanti te mayi ca aham api tezu ca
sp018-000472_004	samaH tulyaH aham sarvaBUtezu
sp018-000473_004	na me dvezyaH asti na priyaH
sp018-000474_004	agnivat aham dUrasTAnAm yaTA agniH SItam na apanayati
sp018-000475_004	samIpam upasarpatAm apanayati
sp018-000476_004	taTA aham BaktAn anugfhRAmi na itarAn
sp018-000477_004	ye Bajanti tu mAm ISvaram BaktyA mayi te svaBAvata eva na mama rAganimittam vartante
sp018-000478_004	tezu ca api aham svaBAvata eva varte na itarezu
sp018-000479_004	na etAvatA tezu dvezo mama
sp018-000480_004	SfRu madBaktermAhAtmyam triMSattamaH SlokaH
sp018-000481_004	su duH AcAraH api mAm ananyaBAk Bajate cet saH sADuH eva mantavyaH saH hi samyagvyavasitaH asti
sp018-000482_004	api cet yadyapi sudurAcAraH suzWu durAcAraH atIva kutsitAcAro api Bajate mAm ananyaBAk ananyaBaktiH san
sp018-000483_004	sADureva samyagvftta eva saH mantavyaH jYAtavyaH
sp018-000484_004	samyak yaTAvat vyavasito hi saH yasmAt sADuniScayaH saH
sp018-000485_004	utsfjya ca bAhyAm durAcAratAm antaH samyagvyavasAyasAmarTyAt
sp018-000486_004	he kOnteya saH kzipram DarmAtmA Bavati
sp018-000487_004	SaSvat SAntim nigacCati me BaktaH na praRaSyati iti tvam pratijAnIhi
sp018-000488_004	kzipram SIGram Bavati DarmAtmA DarmacittaH eva
sp018-000489_004	SaSvat nityam SAntim ca upaSamam nigacCati prApnoti
sp018-000490_004	SfRu paramArTam kOnteya pratijAnIhi niScitAm pratijYAm kuru
sp018-000491_004	na me mama BaktaH mayi samarpitAntarAtmA madBaktaH na praRaSyati iti
sp018-000492_004	he pArTa ye api hi pApayonayaH striyaH vESyAH taTA SUdrAH syuH
sp018-000493_004	te api mAm vyapASritya parAm gatim yAnti
sp018-000494_004	mAm hi yasmAt pArTa vyapASritya mAm ASrayatvena gfhItvA ye api syuH BaveyuH
sp018-000495_004	pApayonayaH pApA yoniH yezAm te pApayonayaH pApajanmAnaH
sp018-000496_004	ke te iti Aha striyaH vESyAH taTA SUdrAH teऽpi yAnti gacCanti parAm prakfzwAm gatim
sp018-000497_004	kim punaH puRyAH BaktAH brAhmaRAH taTA rAjarzayaH
sp018-000498_004	tasmAt tvam anityam asuKam imam lokam prApya mAm Bajasva
sp018-000499_004	kim punaH brAhmaRAH puRyAH puRyayonayaH BaktAH rAjarzayaH taTA rAjAnaSca te fzayaSca rAjarzayaH
sp018-000500_004	yataH evam ataH anityam kzaRaBaNguram asuKam ca suKavarjitam imam lokam manuzyalokam prApya
sp018-000501_004	puruzArTasADanam durlaBam manuzyatvam labDvA Bajasva sevasva mAm
sp018-000502_004	tvam mat manAH mat BaktaH mat yAjI ca Bava
sp018-000503_004	mAm matparAyaRaH san namaskuru evam AtmAnam yuktvA mAm eva ezyasi
sp018-000504_004	mayi vAsudeve manaH yasya tava sa tvam manmanAH Bava
sp018-000505_004	taTA madBaktaH Bava madyAjI madyajanaSIlaH Bava
sp018-000506_004	mAm eva ca namaskuru
sp018-000507_004	mAm eva ISvaram ezyasi Agamizyasi yuktvA samADAya cittam
sp018-000508_004	evam AtmAnam aham hi sarvezAm BUtAnAm AtmA
sp018-000509_004	parA ca gatiH param ayanam tam mAm evamBUtam ezyasi iti atItena sambanDaH matparAyaRaH san ityarTaH
