sp010-000001_SR_01	samarTaH svAmI rAmadAsaH
sp010-000309_SR_11	koऽsO BagavAniti
sp010-000310_SR_11	kutra vAsO tizWati drazwum Sakyate kimu saH lokAH mandiramUrtIH BagavAniti SabdApayanti mUrtayaSca na calanti na vA spandante
sp010-000311_SR_11	tadAऽsya viSvasya cAlayitrI SaktiH kA
sp010-000312_SR_11	evaMviDA nEke praSnAstasya nArAyaRasya manasi parisPuranti
sp010-000313_SR_11	pitaram taduttarARi pfcCati saH
sp010-000314_SR_11	pitApi SAstradattAnyuttarARi tam SrAvayati vyAKyAti ca
sp010-000315_SR_11	hfzwacetAH sa svagatatvena kaTayati ahaha mama putraH kiyad budDimAnasti
sp010-000316_SR_11	ahamasmE sAtiSayam Sikzayizye
sp010-000317_SR_11	SAstrARi vidyA kalASceti sANgopANgamimam pAWayizyAmi
sp010-000318_SR_11	kASImimam prezayitAhe evaMviDA nEkA yojanAstena manasi sTirIkftAH
sp010-000319_SR_11	kintu hanta
sp010-000320_SR_11	manuzya kiYcidanyat cintayati dEvam cAnyaTA pravartate
sp010-000321_SR_11	sUryAjI pantaH sahasEva svargato jAtaH
sp010-000322_SR_11	sampUrRe parivAre saNkawaSElA nyapatan
sp010-000323_SR_11	rARUdevI sAtiSayamadUyata kintu BAgavatImicCAm balIyasIm matvA
sp010-000324_SR_11	putrAvuBO cApekzya sA kiYcit susTAऽtizWat
sp010-000325_SR_11	capalo nArAyaRaH
sp010-000326_SR_11	piturviyojito nArAyaRo nirniyantraRo jAtaH
sp010-000327_SR_11	aDikam Kelati svalpam cADIte
sp010-000328_SR_11	kvacit tarumUzikAvad drutayA gatyA drumAnArohati
sp010-000329_SR_11	vAnaravacCAKAtaH SAKAntare kUrdati nEkA horA nadyAm plavate
sp010-000330_SR_11	DAvanneva SElaSiKarARyaDirohati
sp010-000331_SR_11	laGavaH SiSavo rAtrAvanDakAre bahirgamanAd biByati kintu nArAyaRo Bayasya sarvaTEvAnaBijYaH
sp010-000332_SR_11	sa svayamanyAn BAyayati sma
sp010-000333_SR_11	ekadA rAtrAveva sa vfkzamekamAruroha
sp010-000334_SR_11	prativeSI kaScidAtmAnam vIratAyE praSaMsati sma
sp010-000335_SR_11	saMyogavaSAt sa tasyEva vfkzasya talAnniScakrAma
sp010-000336_SR_11	nArAyaRastAram vyAjahAra hUH hUH iti
sp010-000337_SR_11	SrutvA prativeSI samaDikam vyAkulatayA BUtaH BUtaH iti tAram cukroSa prAkramata ca palAyitum
sp010-000338_SR_12	sKalitapatitaH sa AkroSati rakzata rakzateti
sp010-000339_SR_12	SrutvA pArSvaprativeSino janAstamupeyuH
sp010-000340_SR_12	katipaye dIpAnapyAninyuH
sp010-000341_SR_12	kaScid bravIti avaSyamatra kenApi Bavitavyamiti
sp010-000342_SR_12	kzaRAdUrDvam kenacid dfzwvA proktam are ayam tu nArAyaRoऽstIti
sp010-000343_SR_12	nArAyaRo hasannIcEravArohat
sp010-000344_SR_12	prativeSI papracCa kimarTamatrAgatya sTito BavAniti
sp010-000345_SR_12	uttare nArAyaRoऽbravIt BUtamanvezwum
sp010-000346_SR_12	ekadA sa ekam kfzikzetram prApat
sp010-000347_SR_12	tatra jvAramuzwe rASaya Asan nirmitAH
sp010-000348_SR_12	tatra kiYcit prasevakezu pAtitam kiYcit ca pAtyamAnAmAsIt
sp010-000349_SR_12	karzukaH parihAsena papracCa tam brUhi kimizyate jvAramizyate kim
sp010-000350_SR_12	nArAyaRaH karzukamudatarat yadi ditsasi kaTam na gfhRIya
sp010-000351_SR_12	karzakoऽbrUta jvArapUritam prasevakam pfzWe saMsTApya nayatu yAvadapekzam iti
sp010-000352_SR_12	nArAyaRaH prasevakamekam pfzWe saMsTApya gfham prati calitaH
sp010-000353_SR_12	karzakaH pfzWato DAvannArAyaRasya geham prApa
sp010-000354_SR_12	mAtaram bubuDe sA nArAyaRamaBartsayat
sp010-000355_SR_12	nArAyaRo niviveda cOryeRa nAnItamidam etenEvAhamevamAlapitaH pfzWe prasevakam sTApayitvA yaTecCam gfhAReti
sp010-000356_SR_12	karzuko BftyEryAvat prasevakamamum kzetram prezayati tAvannArAyaRo dvitIyam prasevakam AninAya
sp010-000357_SR_12	tatastftIyamiti karzuko nArAyaRasya balam dfzwvA tasya caraRayornyapatat uvAca ca kzantavyoऽhamiti
sp010-000358_SR_12	nArAyaRena samam sadEva calati sma mitramaRqalI
sp010-000359_SR_12	ekadA grAme kaScanotsava AyojitaH sarvezAm vastUnAm prabanDaH sampannaH pAnIyam tu pratIkzyate sma
sp010-000360_SR_12	vfdDAH kaTayanti sma kim kurma kuta Anayema jalamiti nArAyaRaScintA SabdAnimAn SuSrAva
sp010-000361_SR_12	yadA sarve tato nirgatAstadA maDyerAtram nArAyaRaH svasuhfda AjuhAva
sp010-000362_SR_12	zazwiH saptatirvA bAlakAH samavetAH
sp010-000363_SR_12	sarve gargarikA kalaSaH ityAdIni pAtrARi AdadAnAH Asan
sp010-000364_SR_12	catasfBirhorABiH jalasaNgrAhakI kUpikA hOja ASiraH pAnIyena samBftA jAtA
sp010-000365_SR_12	tataste sarve svam svam niketam gatAH
sp010-000366_SR_12	prAtaH saMyojakErjalavyavasTA dfzwA jYAtam ca nArAyaRasyedam SOryamiti tadA sarveऽpi samBUya rARUdevIpArSvam gatAH
sp010-000367_SR_12	sarvAnAgatAn sA papracCa kim nArAyaRasya kaYcidupadravam sUcayitum samavetA Bavanta iti
sp010-000368_SR_13	te tu tasya pAnIyakOSalam sUcayitvA tam drazwumEzizuH
sp010-000369_SR_13	prasannamuKI mAtA kaTayati sa tu Sayita evedAnImapIti
sp010-000370_SR_13	sarvEravoci sampUrRA rAtrirjalapUrttO nItA tata idAnIm yAvannArAyaRasyocita eva svApa iti
sp010-000371_SR_13	SrutvA rARUdevI prAhfzyat
sp010-000372_SR_13	eko gopAlo grAma bAlAn kleSayati sma
sp010-000373_SR_13	anekA mahizyaH gAvaScAsan tasya gozWe
sp010-000374_SR_13	kintu sa gfhasyApi bAleByo dugDasya bindumapi na dadAti
sp010-000375_SR_13	nAdAt teByaH kadAcidapi mAkandam navanItam
sp010-000376_SR_13	nArAyaRamitrARi tam prApya yadA dugDadaDinI yAcante sa mArayitum DAvati
sp010-000377_SR_13	nArAyaRena saNkalpitam SikzaRIya eza iti
sp010-000378_SR_13	ekadA gopAlasyAऽnupasTitO tasya gozWam paritaH izwikAH prastarAH sikatA mfttikA saYcitAH
sp010-000379_SR_13	stUpakalpamimam izwakAdirASimASritya gopAlasya mahizIH gASca
sp010-000380_SR_13	gopAlagozWasya upari prApayan bAlakAH rASiYca nASitavantaH
sp010-000381_SR_13	visfzwASca bAlakAH svasvamAlayam pratigatAH
sp010-000382_SR_13	sAyaNkAle gopAlo gfhamupetaH
sp010-000383_SR_13	sa paSyati sarvA gAvaH samASca mahizyo gozWavitardikAyAmArUQAH na SaknuvantyavaroQum
sp010-000384_SR_13	gopAlo visizmiye kaTamidam samBavatIti soऽcintayat
sp010-000385_SR_13	muKam vyAdAya sa kevalam paSyatyevEtat sarvam
sp010-000386_SR_13	pArSvaprativeSino janA samavAyan
sp010-000387_SR_13	te tam hasanti
sp010-000388_SR_13	kaTayanti
sp010-000389_SR_13	niHSreRikamAnaya avAropaya cEtAH ityekaH AsAm gale rajjum baDnAtu
sp010-000390_SR_13	pAtayatu cADaH ityanyaH SIGrametA nIcEH kzipatu
sp010-000391_SR_13	anyaTA vitardikA BaNkzyate ityaparaH
sp010-000392_SR_13	ante yadA gopAloऽjYAsIt nArAyaRasya kAryamidamiti tadA sa rARUdevImupeyAya
sp010-000393_SR_13	tatra dfzwastena nArAyaRaH
sp010-000394_SR_13	prArTitaH sa gopAlam brUte yadi tvam pratijAnIze pratidinam bAlakeByo
sp010-000395_SR_13	dugDadaDimAkandam dAsyasIti tadA tavEmA gAvaH mahizyaSca BUmAvavatarizyanti
sp010-000396_SR_13	gopAlo nArAyaRasvAmina AdeSam svIkftavAn svIkriyate yaducyate SrImadBiriti
sp010-000397_SR_13	nArAyaRo Dvanimakarot
sp010-000398_SR_13	punarapi sarve bAlakA gozWam prAptAH
sp010-000399_SR_14	sarvApi cezwakAprastarAdisAmagrI BUyoऽpi gozWapArSve stUpaBAvam prAptA
sp010-000400_SR_14	AyAtASca sarve paSavoऽDastAt
sp010-000401_SR_14	ISvara eko DyeyaH
sp010-000402_SR_14	nArAyaRaH pratidinamupadravati
sp010-000403_SR_14	upadravopAlamBoऽsya pratidinalABo mAtU rARUdevyAH
sp010-000404_SR_14	gfhe nyUnam bahirevADikamasO vyatyeti samayam
sp010-000405_SR_14	KelaH grAmabAlakasaNGaH vanaBramaRam SElaSiKarArohaRam
sp010-000406_SR_14	ityAdizvevAsIn nArAyaRasyAsattyatiSayaH
sp010-000407_SR_14	paropakArakAryARyapi subahUni nirvarttayati saH
sp010-000408_SR_14	tasyAyatyE rARUdevI cintitAऽऽsIt
sp010-000409_SR_14	upadiSati sma sA taTA taTA tam
sp010-000410_SR_14	ekadA pArSve upaveSya sA nArAyaRamupadiSati
sp010-000411_SR_14	vatsa idAnIm nAsi tvam bAlaH kiSoratAm prAptoऽsi
sp010-000412_SR_14	samprati tvayA samyagavaDArya varttitavyam
sp010-000413_SR_14	Atmanoऽgrajasya sevA tvayedAnIm karaRIyA
sp010-000414_SR_14	aDyayanam kfzikarma gfhakAryARi ityetezu kAryezu tvayA svakIyasyAgrajasya sAhAyyamAcaraRIyam
sp010-000415_SR_14	tvam punaraharniSam KelAdizveva nirataH
sp010-000416_SR_14	nitarAmASAnvitAऽsmi tvayi
sp010-000417_SR_14	kutrApi tvavaSyamavaDeyam tvayeti
sp010-000418_SR_14	nArAyaRoऽbrUta mAtaH avaSyamevAvaDAsyAmi BavatyA vacane iti
sp010-000419_SR_14	tasminneva dine nArAyaRo gfhasyEkasmin koRe sTitvA cintanam kurute
sp010-000420_SR_14	nArAyaRamitrARi bahirekatritAni Kelanti kintu tezu nArAyaRo na dfSyate
sp010-000421_SR_14	tayA cintitam gataH syAdanyatra kvacaneti
sp010-000422_SR_14	vyatItAsu kAsucit horAsu sA paSyati nArAyaRo gfhasyEvEkasmin kakze cintAmagnaH sTita iti
sp010-000423_SR_14	mAtAऽpfcCat vatsa tvamatra tizWasi kaTam nopetastava mitrARi Kelitumiti
sp010-000424_SR_14	putra udatarat amba aham cintAm karomi
sp010-000425_SR_14	mAtA pfcCati kim cintayasi iti
sp010-000426_SR_14	nArAyaRa uttarati
sp010-000427_SR_14	aBito mama saNkawAbdasaNGastanute saNkawavarzaRAni mAtaH
sp010-000428_SR_14	nanu kA BavitA gatirnfRAm naH satatam mAyikajAlavezwitAnAm
sp010-000429_SR_14	nanu kA BavitA sTitiH surARAmapi sarvatra surAlayasTitAnAm
sp010-000430_SR_14	iti cintayitum pravftta eza tava putro janani tvayEva sfzwaH
sp010-000431_SR_14	nArAyaRasya svaBAvo yamapi visinoti vizayam tatrEva nimajjati sAntatyena tameva cintayati
sp010-000432_SR_14	gacCati sma sa mAtrA saha purARam Srotum
sp010-000433_SR_15	SfRoti sma sa tanmayo BUtvA
sp010-000434_SR_15	nEkezAm sADUnAm satpuruzARAm mahAtmanAm ca kaTAH sa SuSruvAn
sp010-000435_SR_15	bAlakasya Druvasya OttAnapAderapi kaTAm soऽSfRot
sp010-000436_SR_15	sA tasmE BfSamarocata
sp010-000437_SR_15	sa mAtaramuktavAn ahamapi vanam gatvA tapaScarizyAmIti mAtrA sa udaboDi
sp010-000438_SR_15	tapaScaraRam duzkaraprAyam tadarTamapekzyate sAhasam iti
sp010-000439_SR_15	nArAyaRasya nivAsamArAt kUpamAsIdekam
sp010-000440_SR_15	sa mAtaramuvAca paSya mama sAhasamiti
sp010-000441_SR_15	evamuktvA sa prAdravat kUpe cAkUrdat
sp010-000442_SR_15	nArAyaRamAtA cukroSa rakzata rakzata mama nArAyaRam sa kUpe kUrdita iti
sp010-000443_SR_15	pArSvavarttiBiH samavetya kUpe pAtitA dfQA rajjuH
sp010-000444_SR_15	nArAyaRastAm DftvA kUpagarBAd bahirAgataH
sp010-000445_SR_15	tam mAtA pfcCati kvacidapi GAtastu na jAtaH api nAsti kvacit vraRitaH
sp010-000446_SR_15	sampUrRam SarIram sA nArAyaRasya parAmamfSe
sp010-000447_SR_15	nArAyaRoऽbrUta mAtaH
sp010-000448_SR_15	kapAle kiYcidAhatoऽsmi
sp010-000449_SR_15	sA kiYcit vilipya pawwikAmabaDnAt
sp010-000450_SR_15	tasyAScakzuzoraSrURi dfzwvA nArAyaRaH sAnunayamUce mAtaH mA rodIH
sp010-000451_SR_15	tavAkzRoraSru paSyato mamApi rodanam jAyate
sp010-000452_SR_15	idAnIm tyaktameva mayA cApalamityavehi niScintA tizWeti
sp010-000453_SR_15	nArAyaRaH Slokamimam SrutavAnaBUt
sp010-000454_SR_15	gururbrahmA gururvizRuH gururdevo maheSvaraH
sp010-000455_SR_15	guruH sAkzAt parabrahma tasmE SrIgurave namaH
sp010-000456_SR_15	nArAyaRoऽsakfdujjagO gItamidam gurum vinA ko nu paTaH pradarSaka iti tasyASayaH
sp010-000457_SR_15	tena vyacAri ISvare prAptavye gururaByarhitaH
sp010-000458_SR_15	jYAneSvarasya gururAsIt tasyAgrajo nivfttinATaH guRavAn
sp010-000459_SR_15	mamApyagrajo guRI
sp010-000460_SR_15	ata evAsO SrezWa iti nAmnA prasidDaH
sp010-000461_SR_15	nArAyaRa ekadA svasyAgrajasya pAdO DftvA prArTayat
sp010-000462_SR_15	mahyam mantradIkzA dIyatAm upadeSaH kriyatAm BavAneva me gururBUyAt
sp010-000463_SR_15	mahyam sADanAmArga upadiSyatAm iti
sp010-000464_SR_15	agrajastatprArTanam na svIcakAra
sp010-000465_SR_15	tasyAsIt tarkaH tvamivAhamapi sADanAmArgeऽpawureva
sp010-000466_SR_15	kAlAntare yadA pAwavam setsyati mayi tadA drakzyAmIti
sp010-000467_SR_15	anyadApi dviragrajam prArTayan yadA sAPalIm na prApa tadA nArAyaRo gfhAt palAyitaH
sp010-000468_SR_15	dinadvayam vyatItam palAyitasya tasya
sp010-000469_SR_15	sarvatrEva vyAkulI dadfSe
sp010-000470_SR_15	tftIyeऽhani eko mezapAloऽsUcayat vanAntarAnteऽtidUre yanmArutimandiramasti tatra nArAyaRastUzRIm sTito DyAnamagnaH
sp010-000471_SR_16	SrezWo gaNgADarastatkzaRam mArutimandiramupeyAya
sp010-000472_SR_16	tatra dfzwastena nArAyaRo DyAnamagnaH bAhyasya viSvasya nAstyeva tasmin parAmarSaH
sp010-000473_SR_16	mahatA prayAsena tasya manaH sAmAnyAm sTitimApa
sp010-000474_SR_16	akziRyunmIlya sa yAvat paSyati agre agrajam gaNgADaram paSyati
sp010-000475_SR_16	tasmE praRamya nArAyaRoऽbrUta BrAtaH BavatAऽhamavahelitaH
sp010-000476_SR_16	kintu dattadarSanena BagavatA hanUmatAऽhamupAdeSi rAmanAma japeti
sp010-000477_SR_16	idAnImaham svakIyam jIvanam rAmaBaktaye samarpayizye
sp010-000478_SR_16	agrajo gaNgADaroऽbrUta harzasyAyam vizayaH yAdfSI praBoricCA
sp010-000479_SR_16	kintu idAnIm tvam graham cala jananI nO nirantarakftASrupAtA roditi
sp010-000480_SR_16	gaNgADaro nArAyaRam gfhamAninAya
sp010-000481_SR_16	tasmin dfzwamAtre rARUdevI daDAva
sp010-000482_SR_16	sA nArAyaRam vakzasi saYjayAmAsa
sp010-000483_SR_16	idAnIm tasyA akzRorAnandASrURyavarzan
sp010-000484_SR_16	tadApraBfti nArAyaRo gItamekam nirantaram svagatatvena gAyati
sp010-000485_SR_16	prAptavyo yadi sa praBustyajata re BaktAH svakAn bAnDavAn
sp010-000486_SR_16	mAyApASavahAnaTo pradadata svam sarvamevAsuBiH
sp010-000487_SR_16	aTa kadAcid rAmam praBum yAcate
sp010-000488_SR_16	mizwAm dehi giram pradehi kuSale karmaRyaBizvaYjanAm
sp010-000489_SR_16	kAlodboDamaTo dayasva Bagavan dAtum kriyA kOSalam
sp010-000490_SR_16	hitAhitavivecanAm pradiSa rAma sOKyAvaham
sp010-000491_SR_16	samasya jagataH praBo kuru kuruzva hfdvIkzaRam
sp010-000492_SR_16	tanuzva suhfdam sfteravahitim niDehyAtmanaH
sp010-000493_SR_16	suBAzitarucim guRAn susuraBInaTo Dehi naH
sp010-000494_SR_16	vivAhamaRqapAt palAyanam
sp010-000495_SR_16	nArAyaRo mitravyAsaNgam tatyAja kevalam DyAnaDAraRAdIneva sizeve
sp010-000496_SR_16	PalAhArameva karoti dugDAhArameva vA
sp010-000497_SR_16	mitrajAtamAhvayati tarhi uttarati nAham sAvakASaH sanDyAmupAse japaScalati ityAdikam
sp010-000498_SR_16	idAnIm mAtA rARUH SaNkate mA BUdasAvito himagirim prasTitaH
sp010-000499_SR_16	mA BUdasO tyaktasaMsAro viraktaH sADuH iti
sp010-000500_SR_16	tayA vyacAri vivAhoऽsya karttavyaH
sp010-000501_SR_17	kftavivAhA aneke yuvAno dfzwAH kalpanAlokAt vAstave viSvasminnavatarantaH
sp010-000502_SR_17	vAyunoqqInA BUmaRqalam spfSantaH ISaBaktim parityajya lavaRa tEla kAzWa mUlyAni pfcCantaH
sp010-000503_SR_17	praBo kuru mama nArAyaRam mArgasTam yojayEnam gfhasTASrama iti
sp010-000504_SR_17	rARUdevI jyezWena putreRa parAmamarSa gaNgADareRa
sp010-000505_SR_17	sa samajYApayAYcakAra mAtaram mAtaH pUrvam nArAyaRam pfcCa sa nAnujYAsyati vivAham
sp010-000506_SR_17	apfzwvAऽऽyojite vivAhasannAhe sa vidroham karizyati
sp010-000507_SR_17	yadA vivAhacarcA balavatI jAtA tadA nArAyaRasya mitramaRqalI AyAtA pfzwavatI kutrAsti nArAyaRa iti
sp010-000508_SR_17	nAsti gfhe sa ityukte sA caturasram DAvati paSyati ca tatra tatra
sp010-000509_SR_17	ekena mitreRa nArAyaRo dfzwaH
sp010-000510_SR_17	sa AsIdaSvatTavfkzasya mahati vitAne nitAntamupari vidyamAnAm SAKAmekAmArUQa iti
sp010-000511_SR_17	AkAritaH sa nASrOzIt nApyaDastAdfzwim daDO
sp010-000512_SR_17	ante jyezWo BrAtA gaNgADara AgataH uktavA~Sca nedamucitam
sp010-000513_SR_17	nArAyaRa kIdfSastvam putraH mAtA bAzpam dfSorvarzantI tizWati tvam punaratra vfkzamAruhya
sp010-000514_SR_17	nIcErehi tavecCAyA viroDe na karizyati koऽpi tava vivAhamiti
sp010-000515_SR_17	nArAyaRastata eva kUrditaH nIcEH
sp010-000516_SR_17	sarvEravaboDitaH sa gaNgADareRAgrajena saha gfhamupetaH
sp010-000517_SR_17	katicid dinAni vivAhacarcA SAntA
sp010-000518_SR_17	tadvizaye sarveऽpi mOninoऽtizWan
sp010-000519_SR_17	aTEkadA mAtA rARUdevI nArAyaRam pArSve upaveSya maDureRa svareRa premRovAca
sp010-000520_SR_17	nArAyaRa tvamasi mama vatsalaH putraH tavApyaham pUjyA jananI
sp010-000521_SR_17	kim maMsyase tvam mamEkAm yAcanAm
sp010-000522_SR_17	nArAyaRoऽbrUta praTamatamoऽhamambAyA AjYAkaraH
sp010-000523_SR_17	ucyatAm
sp010-000524_SR_17	putra ahamicCAmi tvAmekadA vivAhacatuzke sTitam
sp010-000525_SR_17	tad dfSyam dfzwamaTa mamAkziRI paritfpte purohitena sAvaDAna iti
sp010-000526_SR_17	padamekavAram uccAritam SrutvEva mama SravasI tarpizyataH
sp010-000527_SR_17	etAvadevAhamicCAmi
sp010-000528_SR_17	apyanumatam tava iti
sp010-000529_SR_17	nArAyaRa udatarat etAvadaham karizyAmi
sp010-000530_SR_17	purohitenoccAritam sAvaDAnaSabdam yAvadaham sTAsyAmi vivAhacatuzke
sp010-000531_SR_17	mAtarASvasihi
sp010-000532_SR_17	mAtA prasannA
sp010-000533_SR_17	tayA vyacAri yuvakA AdO nahItyeva Amreqayanti jAtavivAhAH punaH sarvamUrIkurvantyeveti
sp010-000534_SR_17	nArAyaRoऽpi taTEva paScAdanukUlo Bavizyati
sp010-000535_SR_17	tayA Asana nAmno grAmasya BAnajIpanta gosAvI samparcitaH
sp010-000536_SR_17	sa svIkftim dattavAn AtmanaH kanyAm nArAyaRAya dAtum
sp010-000537_SR_18	tiTirvivAhaGawikA ca niScite
sp010-000538_SR_18	varam puraskftya varayAtriRa AsanagrAmam prAptAH
sp010-000539_SR_18	samakzamantarapawa AstftaH
sp010-000540_SR_18	idAnIm purohitaH tArasvareRoccArayati vaDvAgamananAndImiva sAvaDAna iti
sp010-000541_SR_18	nArAyaRaH pfcCati kam vA BavAn sAvaDAnam cikIrzasi kimiti evam tAreRa svareRa
sp010-000542_SR_18	purohitaH provAca Bavantameva prati sAvaDAno Bava vaDUrAgacCati
sp010-000543_SR_18	tasyAH santAnAnAm jIvikAyAH vyavasAyasya ca BArastvayEva soQavya iti
sp010-000544_SR_18	nArAyaRasya manasi vicAraJaYJA protTitA
sp010-000545_SR_18	sa vyacArayat kimaham dravyam jIvikA gArhasTyakam pAlayitumasmyutpannaH
sp010-000546_SR_18	mama Dyeyam tu parameSvarasya prAptiH
sp010-000547_SR_18	aham Druva iva tapaScaritumutpannaH BagavatA hanUmatAऽऽdizwoऽsmi rAmaBaktim kartum
sp010-000548_SR_18	mayA mAtre kevalamiyadeva pratiSrutam yat sAvaDAnaDvanim yAvat sTAsyAmyaham vivAhacatuzke
sp010-000549_SR_18	purohitenoccArita eva sAvaDAna iti SabdaH
sp010-000550_SR_18	mama vacanam pUrRam jAtam
sp010-000551_SR_18	idAnImitoऽpEmi
sp010-000552_SR_18	purohitoऽkziRI nimIlya maNgalAzwakam paWati sma
sp010-000553_SR_18	Akarzakam vitAnam SoBamAnamAsIt
sp010-000554_SR_18	bahumUlyAni vAsAMsi BUzaRAni ca DArayantyaH striyastatrAtmano nepaTyavEBavam darSayanti sma
sp010-000555_SR_18	SiSavaH pariDAvanti sma paritaH
sp010-000556_SR_18	pArSva evAsId mahAnasam
sp010-000557_SR_18	tatra viviDAni mizwAni sADyamAnAnyaBUvan
sp010-000558_SR_18	anyeऽpi tiktAsvAdA viviDAH pAkAH sADyante sma
sp010-000559_SR_18	tezAm sOraByam paritaH prasarIsarati sma
sp010-000560_SR_18	anekezAm muKezu jalam sravati sma
sp010-000561_SR_18	kanyApakzA BojanAdivyavasTAlagnA aBUvan
sp010-000562_SR_18	sarvatrEva janasammarda AsIt
sp010-000563_SR_18	kolAhalo jAyate sma
sp010-000564_SR_18	ekam SlokamuccArya purohito yAvat paSyati sa sahasEva kaTayati varaH kutra gata iti
sp010-000565_SR_18	janA anyonyam pfcCanti varaH kveti
sp010-000566_SR_18	sarve kaTayitumArabDA varaH palAyita iti
sp010-000567_SR_18	sarveऽpi janAH sIdadantaraNgAH stabDASca jAtAH
sp010-000568_SR_18	IdfSam tu kadApi nAGawata nAdfSyata nASrUyateti virAvaH sarvatra
sp010-000569_SR_18	anvizyatAmanvizyatAm kutra vA yAsyati atrEva kvApi BavizyatIti janaravaH
sp010-000570_SR_18	AsanagrAmasya pratyekam gfhamadfSyata kintu na dfzwaH kutrApi varaH
sp010-000571_SR_18	sarvezAmutsAhoऽnavAsAdayata
sp010-000572_SR_18	nArAyaRasya mAtA rARUdevI mahattamamADimanvaBUt
sp010-000573_SR_18	tAmasAntvayat gaNgADaraH
sp010-000574_SR_19	soऽcakaTat mAtaH yad Gawitam tadasamBAvitam nAsIt
sp010-000575_SR_19	nArAyaRavivAhe prAramBata evAsamaham badDasandehaH
sp010-000576_SR_19	nAsIt nArAyaRaH sADAraRo bAlaH
sp010-000577_SR_19	AsIt sa bAlayogI
sp010-000578_SR_19	sa nAstyevAsya lokasya
sp010-000579_SR_19	asmAkam pUrvasukftAnAmayam parIpAko yat nArAyaRoऽsmAkam gfham janmanA vyaBUzayata
sp010-000580_SR_19	ko vA runDyAd vidyutam ko vA baDnIta samudram kaSceSvaraBaktam sAMsArikezu banDanezu baDnIta
sp010-000581_SR_19	DruvaH prahlAdaScEvamviDAvevAjAyetAm
sp010-000582_SR_19	asmAkam nArAyaRoऽpi tatsamakowika AsIt
sp010-000583_SR_19	viSvasimi kAmam kiyAnapi kAlAvaDirvyatyetu ekadA nArAyaRa Agamizyatyeva
sp010-000584_SR_19	rARUdevI svasya jyezWasya putrasya BAzaRam tUzRIm SrutavatI
sp010-000585_SR_19	aSrURi proYCitAni
sp010-000586_SR_19	kiYcidiva sAऽSAmyata
sp010-000587_SR_19	tapaScaryA
sp010-000588_SR_19	nArAyaRo vivAhamaRqapAdiyatA vegenADAvat yanna kaScidaSakat tam drazwum
sp010-000589_SR_19	sambanDiBirizwajanESca bahuDA prayatitam kintu nASakat kaScanApi tamanvezwum
sp010-000590_SR_19	sa gahanamaraRyamaviSat
sp010-000591_SR_19	dine pracCanno rAtrO ca prakASaH sa pravAsam karoti
sp010-000592_SR_19	nAsikam prAptumAsIt saNkalpastasya
sp010-000593_SR_19	nAsikam hi godAvarItIrasTitam tIrTam
sp010-000594_SR_19	tatrAvasat BagavAn rAmacandraH sOmitriRA sItayA ca sArDam
sp010-000595_SR_19	tatrEvAsIt tasya paYcavawI
sp010-000596_SR_19	tatrEva vasatA BagavatA rAmeRa sahasraSo rAkzasA hatAH
sp010-000597_SR_19	sA hi tapoBUmiH SataSatAnAmfzIRAm munInAYca
sp010-000598_SR_19	nArAyaRastatra gantum niracinot
sp010-000599_SR_19	AsanagrAmAnnizkramya sa godAvarItIramAsadat
sp010-000600_SR_19	mArgamasO pfcCati sma tA~stAn paTi sTitAYjanAn
sp010-000601_SR_19	godAvarIpraBavaBUmidiSam sa calati
sp010-000602_SR_19	avirAmam aSramam ca sa nirantaram calannevAvartizwa
sp010-000603_SR_19	rUkzaSuzkAm rowikAm kaScidASayati cet tAmaSnAti agrataSca sarati
sp010-000604_SR_19	kadAcit kasmiMScinmandire kadAcid DarmaSAlAyAm
sp010-000605_SR_19	kadAcit kzetrasya Kale kadAcicca vfkzatale nidrAm nayati sma
sp010-000606_SR_19	prabudDamAtraH pravarttate smAgresartum
sp010-000607_SR_19	evamekAdaSa dinAni nItvA nAsikakzetram sa prApa
sp010-000608_SR_19	rAmakuRqe kftasnAnaH sa mandiram prApa
sp010-000609_SR_19	sa praBoH sammuKe sAzwANgam praRanAma
sp010-000610_SR_19	tataH sAYjalibanDo DyAnasTaH sannupAviSat
sp010-000611_SR_19	premakAruRyapUrRAm tAm mUrtim dfzwvA nArAyaRaH kftakftyatAmanvaBUt
sp010-000612_SR_19	SarIre romARyahfzyan
sp010-000613_SR_19	tasyANgAni sPuraRAmadButAmavApan
sp010-000614_SR_22	sampUjya ajapat sa godAvarIjale sTitvA gAyatrIm jaya rAma SrIrAma jaya jaya rAmeti ca
sp010-000615_SR_22	maDyAhnasanDyAvandanAduttaram sa grAme gatvA BikzAm yAcate kevalAn paYcEva gfhAn
sp010-000616_SR_22	BikzAyA aprAptO alpaprAptO vA zazWam gfham nopayAti
sp010-000617_SR_22	BikzAyE sa rAma ityevoccEssvareRoccArayate
sp010-000618_SR_22	pAdabadDadfzwireva sadA sa tizWati
sp010-000619_SR_22	prAptAm BikzAmAdadAnaH sa nadIm prApnoti
sp010-000620_SR_22	BikzAyA annam triviBaktam tanoti
sp010-000621_SR_22	ekam BAgam sa matsyezu kzipati dvitIyam BAgam gomAtre yacCati
sp010-000622_SR_22	tftIyam BAgam sa prasevake sTApayitvA nadIjale vAratrayam brUqayati
sp010-000623_SR_22	tena BikzAnnasyAmlatvam kawutvam vAऽpEti jihvAlOlyajananam
sp010-000624_SR_22	dehaDAraRamuddiSya tamasAvatti
sp010-000625_SR_22	dehaDAraRamapi nABUt suKAya
