sp002-000001_KS_04	mUrcCitA ratiH ityuktam
sp002-000397_KS_04	heSoBane tattasmAtkAraRAt BavitavyaH BavizyanpriyasaNgamaH yasya yasya tat taToktamidam vapuH parirakza
sp002-000398_KS_04	taTAhi
sp002-000399_KS_04	ravipItajalA nadI tapAtyaye prAvfzi
sp002-000400_KS_04	prAvfw tapAtyaye iti halAyuDaH
sp002-000401_KS_04	punaroGeRa pravAheRa yujyate saNgacCate hi
sp002-000402_KS_04	itTamiti
sp002-000403_KS_04	itTam anena prakAreRa adfSyarUpam kimapi BUtam kaScitprARI
sp002-000404_KS_04	yuktekzmAdAvfte BUtam prARyatIte same trizu ityamaraH
sp002-000405_KS_04	rateH madanadArARAm maraRavyavasAyabudDim maraRodyogabudDim mandIcakAra
sp002-000406_KS_04	nivArayAmAsa ityarTaH
sp002-000407_KS_04	mUQAlpApawunirBAgyA mandAH ityamaraH
sp002-000408_KS_04	aTa kusumAyuDabanDuH vasantaSca tatpratyayAt tasminBUte viSvAsAt
sp002-000409_KS_04	pratyayaH aDInaSapaTajYAnaviSvAsahetuzu ityamaraH
sp002-000410_KS_04	enAm ratim suzWu caritArTAni padAni yezAm tEH vacoBiH vAkyEH ASvAsayat
sp002-000411_KS_04	sarvaTA te devatAprasAdAt priyasaNgamaH Bavizyati ityAdivacanEH asyAH duHKam apAcakAra ityarTaH
sp002-000412_KS_04	aTeti
sp002-000413_KS_04	aTa anantaram vyasanena duHKena kfSA madanavaDUH ratiH upaplavAntam vipadavaDim
sp002-000414_KS_04	kiraRaparikzayeRa DUsarA malinA divAtanasya dinaBavasya
sp002-000415_KS_04	sAyaYciram ityAdinA wyupratyayaH
sp002-000416_KS_04	SaSinaH candrasya leKA pradozam rAtrimiva paripAlayAmbaBUva pratIkzAYcakre
sp002-000417_KS_04	puzpitAgrAvfttam
sp002-000418_KS_04	ayuji nayugarePato yakAro yuji ca najO jaragASca puzpitAgrA iti lakzaRAt
sp002-000419_KS_04	iti SrImanmahAmahopADyAyakolAcalamallinATasUriviracitayA saYjIvinIsamAKyayA vyAKyayA sametaH
sp002-000420_KS_04	SrIkAlidAsakftO kumArasamBave mahAkAvye rativilApo nAma caturTaH sargaH
sp002-000421_KS_06_1-15	aTeti
sp002-000422_KS_06_1-15	aTa devadevAnugrahAnantaram gOrI pArvatI viSvam AtmA svarUpam yasya iti
sp002-000423_KS_06_1-15	viSvasya AtmA iti vA
sp002-000424_KS_06_1-15	viSvAtmane SivAya miTaH rahasi
sp002-000425_KS_06_1-15	miToऽnyoऽnyam rahasyapi ityamaraH
sp002-000426_KS_06_1-15	saKIm sandideSa atisasarja
sp002-000427_KS_06_1-15	kriyAmAtrayogeऽpi sampradAnatvAt caturTI
sp002-000428_KS_06_1-15	kimiti
sp002-000429_KS_06_1-15	BUBftAm nATaH himavAn me mama dAtA saH
sp002-000430_KS_06_1-15	pramARIkriyatAmiti
sp002-000431_KS_06_1-15	dAtftvena pramARIkriyatAm ityarTaH
sp002-000432_KS_06_1-15	prArTanAyAm low
sp002-000433_KS_06_1-15	pitrA dIyamAnAyAH parigrahaH mama mahAn anugrahaH iti BAvaH
sp002-000434_KS_06_1-15	tayeti
sp002-000435_KS_06_1-15	tayA saKyA
sp002-000436_KS_06_1-15	saKImuKena ityarTaH
sp002-000437_KS_06_1-15	vyAhftasandeSa uktavAcikA priye haravizaye niBftA niScalA
sp002-000438_KS_06_1-15	paramAsaktA ityarTaH
sp002-000439_KS_06_1-15	sA gOrI
sp002-000440_KS_06_1-15	maDO vasante niBftA sTirA paraBftayA kokilayA unmuKI muKarA paraBftonmuKI
sp002-000441_KS_06_1-15	muKaSabdena aBiBAzaRavyApAro lakzyate
sp002-000442_KS_06_1-15	taTA ca paraBftAmuKena vyAharantI ityarTaH
sp002-000443_KS_06_1-15	paraBftA iti kriyASabdavivakzAyAm jAterastrI iti NIzpratyayo naBavati
sp002-000444_KS_06_1-15	tayA iti upameyasya vyastatvAt upamAnavAci paraBftASabdasya samAsaH soQavyaH
sp002-000445_KS_06_1-15	aTavA BfdBaraRam
sp002-000446_KS_06_1-15	sampadAditvAt kvip
sp002-000447_KS_06_1-15	parEH Bft yasyAH tayA paraBftA iti vyAsena vyAKyeyam
sp002-000448_KS_06_1-15	padamaYjarIkArastu parErBriyate iti karmaRi kvipamAha
sp002-000449_KS_06_1-15	cUtayazwiH cUtaSAKA iva aByASe antike baBO
sp002-000450_KS_06_1-15	sadeSAByASa saviDa samaryAda saveSavat
sp002-000451_KS_06_1-15	upakaRWAntikAByarRAByagrA api aBitaH avyayam
sp002-000452_KS_06_1-15	ityamaraH
sp002-000453_KS_06_1-15	sa iti
sp002-000454_KS_06_1-15	saH prakftaH
sp002-000455_KS_06_1-15	SAstIti SAsanaH bahulagrahaRAtkartari lyuw
sp002-000456_KS_06_1-15	smarasya SAsanaH ISvaraH taTA iti pratijYAya
sp002-000457_KS_06_1-15	taTA karizyAmi iti uktvA ityarTaH
sp002-000458_KS_06_1-15	umAm kaTamapi kfcCreRa visfjya
sp002-000459_KS_06_1-15	tatra gAQAnurAgatvAditi BAvaH
sp002-000460_KS_06_1-15	jyotirmayAn tejorUpAn saptarzIn aNgiraHpraBftIn sasmAra smftavAn
sp002-000461_KS_06_1-15	ta iti
sp002-000462_KS_06_1-15	te tapa eva Danam yezAm te tapoDanAH saptarzayaH praBAmaRqalEH
sp002-000463_KS_06_1-15	tejaHpuYjEH vyoma AkASam dyotayantaH prakASayantaH
sp002-000464_KS_06_1-15	arunDatyA saha vartante iti sArunDatIkAH santaH
sp002-000465_KS_06_1-15	nadyutaSca iti kap
sp002-000466_KS_06_1-15	sapadi praBoH ISvarasya puraH puroBAge prAdurAsan pratyakzAH baBUvuH
sp002-000467_KS_06_1-15	itaH param zaqBiH SlokEH tAneva munIn varRayati
sp002-000468_KS_06_1-15	AplutA iti
sp002-000469_KS_06_1-15	utkiranti vikzipantI iti utkirAH
sp002-000470_KS_06_1-15	igupaDa ityAdinA kapratyayaH
sp002-000471_KS_06_1-15	tIre ye mandArAH kalpavfkzAH tezAm kusumAnAm utkirAH vIcayaH taraNgAH yezAm tezu
sp002-000472_KS_06_1-15	diNnAgAnAm diggajAnAm madaganDaH yezu iti taToktezu
sp002-000473_KS_06_1-15	vyomagaNgApravAhezu AkASagaNgAsrotassu AplutAH snAtAH
sp002-000474_KS_06_1-15	mukteti
sp002-000475_KS_06_1-15	muktAnAm mOktikAnAm yajYopavItAni muktAmayAni ityarTaH
sp002-000476_KS_06_1-15	biBrataH daDAnAH
sp002-000477_KS_06_1-15	hemamayAni valkalAni yezAm te hEmavalkalAH
sp002-000478_KS_06_1-15	ratnamayAni akzasUtrARi yezAm te ratnAkzasUtrAH
sp002-000479_KS_06_1-15	pravrajyAm pravrajanam
sp002-000480_KS_06_1-15	vrajayajorBAve kyap iti kyap
sp002-000481_KS_06_1-15	ASritAH kalpavfkzAH iva sTitAH
sp002-000482_KS_06_1-15	atra caturTASramavAcinA pravrajyASabdena vAnaprasTASramo lakzyate
sp002-000483_KS_06_1-15	jahuH parigrahavrIqAm prAjApatyAH tapasvinaH
sp002-000484_KS_06_1-15	iti sapatnIkatvA aBiDAnAt sutavinyastapatnIkaH tayA vA anugataH api san
sp002-000485_KS_06_1-15	iti vAnaprasTasya uBayaTA smaraRAt
sp002-000486_KS_06_1-15	aDa iti
sp002-000487_KS_06_1-15	aDaH prasTApitASvena
sp002-000488_KS_06_1-15	sUryamaRqaloparivartitvAt saptarzimaRqalasya iti BAvaH
sp002-000489_KS_06_1-15	samAvarjitaketunA tanmaRqalAGAtaSaNkayA nAmitaDvajena sahasraraSminA sUryeRa
sp002-000490_KS_06_1-15	sAkzAt svayameva sAkzAt svayameva sapraRAmam udIkzitAH
sp002-000491_KS_06_1-15	gamanAByanujYAdAnaparyantam ityarTaH
sp002-000492_KS_06_1-15	BagavataH sUryasyApi upAsyAH iti BAvaH
sp002-000493_KS_06_1-15	Asakteti
sp002-000494_KS_06_1-15	punaH kiMviDAH
sp002-000495_KS_06_1-15	pralayApadi kalpAntasaNkawe AsaktabAhulatayA
sp002-000496_KS_06_1-15	daMzwrAyAmiti SezaH
sp002-000497_KS_06_1-15	udDftayA
sp002-000498_KS_06_1-15	daMzwrayA iti SezaH
sp002-000499_KS_06_1-15	BuvA sArDam DaraRyA saha mahAvarAhadaMzwrAyAm viSrAntAH
sp002-000500_KS_06_1-15	mahApralaye api avinASinaH ityarTaH
sp002-000501_KS_06_1-15	sargeti
sp002-000502_KS_06_1-15	viSvayoneH brahmaRaH anantaram sargaSezasya praRayanAt
sp002-000503_KS_06_1-15	brahmasfzWAvaSizwasfzweH karaRAdDetorityarTaH
sp002-000504_KS_06_1-15	purAvidBiH purARavediBiH vyAsAdiBiH purAtanAH DAtAraH iti kIrtitAH
sp002-000505_KS_06_1-15	viSvayoneriti sambanDamAtre zazWI
sp002-000506_KS_06_1-15	tasyAnantaramiti BAzye darSanAt
sp002-000507_KS_06_1-15	apAdAnatvavivakzAyAm tu paYcamI
sp002-000508_KS_06_1-15	ayam adaH SabdaH yaTASabdAvfttAt anantarasya iti SAbaraBAzye darSanAt
sp002-000509_KS_06_1-15	taTA aTAto DarmajijYAsA vedADyAyAdanantaram iti AcAryAH
sp002-000510_KS_06_1-15	kaviSca purARapattrApagamAdanantaram iti
sp002-000511_KS_06_1-15	evamanyatrApi drazwavyam
sp002-000512_KS_06_1-15	prAktanAnAmiti
sp002-000513_KS_06_1-15	prAktanAnAm janmAntaraBavAnAm viSudDAnAm nirmalAnAm paripAkam PaladAnonmuKatvam upeyuzAm gatAnAm
sp002-000514_KS_06_1-15	tapasAm PalAni upaBuYjAnAH api tapasvinaH taponizWAH
sp002-000515_KS_06_1-15	prArabDaBoginaH niHspfhASca iti BAvaH
sp002-000516_KS_06_1-15	kulakam
sp002-000517_KS_06_1-15	tezAmiti
sp002-000518_KS_06_1-15	tezAm fzIRAm maDyagatA sADvI pativratA
sp002-000519_KS_06_1-15	ata eva patyuH vasizWasya pAdayoH arpitekzaRA nivizwadfzwiH
sp002-000520_KS_06_1-15	arunDatI sAkzAtpratyakzA tapaHsidDiriva tezAm eva iti SezaH
sp002-000521_KS_06_1-15	tezAm maDyagate maDyagatA iti liNgavacanAdi sAmyAt iyam upamA
sp002-000522_KS_06_1-15	bahu BUyizWam baBAse BAti sma
sp002-000523_KS_06_1-15	tAmiti
sp002-000524_KS_06_1-15	ISvaraH BagavAn tAm arunDatIm munIMSca agOravaBedena samAnapratipattyA apaSyat dfzwavAn
sp002-000525_KS_06_1-15	na ca ayam avivekaH ityAha
sp002-000526_KS_06_1-15	hi yasmAt strI pumAMSca iti ezA anAsTA strIpuMsaBedaH na vivakzitaH
sp002-000527_KS_06_1-15	kintu satAm sADUnAm vfttam caritrameva mahitam pUjyam
sp002-000528_KS_06_1-15	guRAH pujAsTAnam guRizu na ca liNgam na ca vayaH iti BAvaH
sp002-000529_KS_06_1-15	taditi
sp002-000530_KS_06_1-15	taddarSanAt arunDatIdarSanAt SamBoH dArArTam dArArTam dAraparigrahArTam AdaraH BUyAn bahutaraH aBUt
sp002-000531_KS_06_1-15	nanu dArAH kutra upayujyante ityatra Aha
sp002-000532_KS_06_1-15	GarmyARAm DarmAt anapetAnAm
sp002-000533_KS_06_1-15	DarmapaTyarTanyAyAdanapete iti yatpratyayaH
sp002-000534_KS_06_1-15	kriyARAm ijyAdInAm satyaH pativratAH patnyaH satpatnyaH
sp002-000535_KS_06_1-15	patyurno yajYasaMyoge iti NIp
sp002-000536_KS_06_1-15	nakAraSca
sp002-000537_KS_06_1-15	mUlakAraRam Kalu
sp002-000538_KS_06_1-15	DarmeReti
sp002-000539_KS_06_1-15	DarmeRa dArasaYjiGfkzAlakzaRenApi kartrA
sp002-000540_KS_06_1-15	Sarve ISvare pArvatIm prati padam karote padam kArite sati
sp002-000541_KS_06_1-15	hfkroranyatarasyAmiti Sarvasya aRikartuH karmatvam
sp002-000542_KS_06_1-15	pUrvAparADaBItasya kAmasya mana ucCvasitam
sp002-000543_KS_06_1-15	punarujjIvanAvakASaH BavatIti sapratyASam aBUt ityarTaH
sp002-000544_KS_06_1-15	aTeti
sp002-000545_KS_06_1-15	aTa anUcAnAH
sp002-000546_KS_06_1-15	sANgavedapravaktAraH
sp002-000547_KS_06_1-15	anUcAnaH pravacane sANge aDItI gurostu yaH ityamaraH
sp002-000548_KS_06_1-15	upeyivAn anASvAn anUcAnaSca iti nipAtaH
sp002-000549_KS_06_1-15	prItyA kaRwakitAH pulakitAH tvacaH yezAm te taToktAH
sp002-000550_KS_06_1-15	te sarve munayaH jagadgurum haram mAnayitvA pUjayitvA idam vakzyamARam UcuH
sp002-000551_RV_02	aTeti
sp002-000552_RV_02	aTa niSApanayanAnantaram yaSa eva Danam yasya sa yaSoDanaH
sp002-000553_RV_02	kIrti sampannaH prajAnAm aDipo dilIpaH
sp002-000554_RV_02	praBAte prAtaHkAle jAyayA sudakziRayA
sp002-000555_RV_02	pratigrAhite svIkArite ganDamAlye yayA sA jAyApratigrAhitaganDamAlyA
sp002-000556_RV_02	tAm pItam pAnamasyAstIti pItaH
sp002-000557_RV_02	pItavAn ityarTaH
sp002-000558_RV_02	arSa AditvAd acpratyayaH
sp002-000559_RV_02	pItA gAvo BuktA brAhmaRAH iti mahABAzya prayoga darSanAt
sp002-000560_RV_02	pItaH pratibadDaH vatso yasyAstAm fzerDenum vanAya vanam gantum
sp002-000561_RV_02	mumoca kriyArTopapade ityAdinA caturTI
sp002-000562_RV_02	jAyApadasAmarTyAt sudakziRAyAH putrajananayogyatvamastIti sUcitam
sp002-000563_RV_02	taTA ca SrutiH patirjAyAm praviSati garBo BUtvA sa mAtaram
sp002-000564_RV_02	tasyAm punarnavo BUtvA daSame mAsi jAyate
sp002-000565_RV_02	tajjAyA jAyA Bavati yadasyAm jAyate punaH
sp002-000566_RV_02	iti
sp002-000567_RV_02	yaSoDana ityanena putravattAkIrtiloBAt rAjAnarhepi gorakzaRe pravftta iti gamyate
sp002-000568_RV_02	asmin sarge vfttamupajAtiH
sp002-000569_RV_02	syAdindravajrA yadi tO jagO gaH
sp002-000570_RV_02	upendravajrA jatajAstato gOH
sp002-000571_RV_02	ityatroktam kedAreRa
sp002-000572_RV_02	anantarodIritalakzmaBAjaH pAdA yadIyA upajAtayastAH iti
sp002-000573_RV_02	tasyA iti
sp002-000574_RV_02	pAMsavo dozA AsAm santIti pAMsulAH svEriRyaH
sp002-000575_RV_02	svEriRI pAMsuletyamaraH
sp002-000576_RV_02	siDmAdiByaSca iti lacpratyayaH
sp002-000577_RV_02	tA na BavantIti apAMsulAH tAsAm Duri agre kIrtanIyA parigaRanIyA manuzyeSvaraDarmapatnI
sp002-000578_RV_02	dilIpaDarmapatnI sudakziRA KuranyAsEH pavitrapAMsum
sp002-000579_RV_02	tasyAm DenoH mArgam smftiH manvAdivAkyam SrutervedavAkyasya arTamaBiDeyamiva
sp002-000580_RV_02	anvagacCat anusftavatI
sp002-000581_RV_02	yaTA smftiH SrutikzuRRameva arTamanusarati taTA sApi goKurakzuRRameva mArgamanusasAra ityarTaH
sp002-000582_RV_02	DarmapatnIti atra aSvaGAsAdivat tAdarTye zazWIsamAsaH
sp002-000583_RV_02	prakftivikArABAvABAvAt
sp002-000584_RV_02	nivartyeti
sp002-000585_RV_02	dayAluH kAruRikaH
sp002-000586_RV_02	syAddayAluH kAruRikaH ityamaraH
sp002-000587_RV_02	spfhigfhi ityAdinA AlucpratyayaH
sp002-000588_RV_02	yaSoBiH suraBiH manojYaH
sp002-000589_RV_02	suraBiH syAnmanojYeऽpi iti viSvaH
sp002-000590_RV_02	rAjA dayitAm nivartya sOraBeyIm kAmaDenusutAm tAm nandinIm
sp002-000591_RV_02	DarantIti DarAH
sp002-000592_RV_02	pacAdyac
sp002-000593_RV_02	payasAm DarAH payoDarAH stanAH
sp002-000594_RV_02	strIstanAbdO payoDarA ityamaraH
sp002-000595_RV_02	apayoDarAH payoDarAH sampadyamAnA BUtAH payoDarI BUtAH
sp002-000596_RV_02	aBUtatadBAve cviH
sp002-000597_RV_02	kugatiprAdayaH iti samAsaH
sp002-000598_RV_02	payoDarIBUtAScatvAraH samudrAH yasyAstAm
sp002-000599_RV_02	anekamanyapadArTe iti anekapadagrahaRasAmarTyA tripado bahuvrIhiH
sp002-000600_RV_02	gorUpasya DarAm urvIm vasuDAmiva vasuDorvI vasunDarA ityamaraH
sp002-000601_RV_02	jugopa rarakza
sp002-000602_RV_02	BUrakzaRaprayatneneva rarakza iti BAvaH
sp002-000603_RV_02	upU rakzaRa iti DAtoH kartari liw
sp002-000604_RV_02	Denupakze payasA dugDena aDarIBUtAScatvAraH samudrAH yasyAH sA taToktAm
sp002-000605_RV_02	dugDatiraskftasAgarAmityarTaH
sp002-000606_RV_02	vratAyeti
sp002-000607_RV_02	vratAya DenoH anucareRa
sp002-000608_RV_02	na tu jIvanAya iti BAvaH
sp002-000609_RV_02	tena dilIpena Sezopi avaSizwoऽpi anuyAyivargaH anucarasaNGaH nyazeDi nivartitaH
sp002-000610_RV_02	Sezatvam sudakziRApekzayA
sp002-000611_RV_02	kaTam tarhi AtmarakzaRam ityata Aha na ceti
sp002-000612_RV_02	tasya dilIpasya SarIrarakzA ca anyataH puruzAntarAt na ca
sp002-000613_RV_02	hi yasmAt manoH prasUyata iti prasUtiH santatiH svavIryaguptA svaparAkrameRa rakzitA
sp002-000614_RV_02	na hi svaparAkrama nirvAhakasya parApekzeti BAvaH
sp002-000615_RV_02	AsvAdavadBiriti
sp002-000616_RV_02	samrAw maRqaleSvaraH
sp002-000617_RV_02	yenezwam rAjasUyena maRqalasyeSvaraSca yaH
sp002-000618_RV_02	SAsti yaScAjYayA rAjYaH sa samrAw ityamaraH
sp002-000619_RV_02	sa rAjA
sp002-000620_RV_02	AsvAdavadBiH rasavadBiH
sp002-000621_RV_02	tfRAnAm kavalEH grAsEH
sp002-000622_RV_02	kaRqUyanEH daMSAnAm vanamakzikARAm nivAraRESca
sp002-000623_RV_02	daMSastu vanamakziketyamaraH
sp002-000624_RV_02	avyAhatEH apratihatEH svEragatEH svacCandagamanESca tasyAH
sp002-000625_RV_02	DenvAH samArADanatatparaH SuSrUzAsaktaH aBUt
sp002-000626_RV_02	tadeva param praDAnam yasya sa tatparaH
sp002-000627_RV_02	tatpare prasitAsaktO ityamaraH
sp002-000628_RV_02	sTita iti
sp002-000629_RV_02	BUpatiH dilIpaH tAm gAm sTitAm satIm sTitaH san
sp002-000630_RV_02	sTitiH UrDvAvasTAnam
sp002-000631_RV_02	prayAtAm prasTitAm satIm uccalitaH prasTitaH san
sp002-000632_RV_02	nizeduzIm nizaRRAm satIm upavizwAmityarTaH
sp002-000633_RV_02	BAzAyAm sadavasaSruva iti kvasupratyayaH
sp002-000634_RV_02	ugitaSca iti NIp
sp002-000635_RV_02	Asanasya banDe upaveSane DIraH sTiraH upavizwaH san ityarTaH
sp002-000636_RV_02	jalam AdadAnAm pibantIm satIm
sp002-000637_RV_02	jalABilAzI san piban ityarTaH
sp002-000638_RV_02	itTam CAyeva anvagacCat anusftavAn
sp002-000639_RV_02	sa iti
sp002-000640_RV_02	nyastAni parihftAni cihnAni CatracAmarAdIni yasyAH tAm taTABUtAmApi
sp002-000641_RV_02	tejoviSezeRa pratiBAtiSayena anumitAm
sp002-000642_RV_02	sarvaTA rAjEvAyam Bavet iti aByUhitAm rAjyalakzmIm daDAnaH
sp002-000643_RV_02	sa rAjA anAvizkftadAnarAjiH bahiraprakawita madareKaH
sp002-000644_RV_02	antar madAvasTA yasya sa taTABUtaH dvipendra iva AsIt
sp002-000645_RV_02	lateti
sp002-000646_RV_02	latAnAm vallInAm vallI tu vratatirlatetyamaraH
sp002-000647_RV_02	tAsAm pratAnEH kuwilatantuBiH ut unnamayya graTitAH badDAH ye keSAH tErupalakzitaH
sp002-000648_RV_02	itTamBUtalakzaRe iti tftIyA
sp002-000649_RV_02	sa rAjA
sp002-000650_RV_02	aDijYyam AropitamOrvIkam Danuryasya saH aDijYyaDanvA san
sp002-000651_RV_02	DanuzaSca iti anaNAdeSaH
sp002-000652_RV_02	munihomaDenoH rakzApadeSAt saMrakzaRavyAjAt
sp002-000653_RV_02	vanyAn vane BavAn duzwasattvAn duzwajantUn
sp002-000654_RV_02	dravyAsuvyavasAyezu sattvamastrI tu jantuzu ityamaraH
sp002-000655_RV_02	vinezyan Sikzayanniva
sp002-000656_RV_02	dAvam vanam
sp002-000657_RV_02	vicacAra vane ca vanavahnO ca davo dAva ihezyate iti yAdavaH
sp002-000658_RV_02	vane saYcacAra ityarTaH
sp002-000659_RV_02	deSakAlADvagantavyAH karmasaYjYA hi akarmaRAm iti dAvasya karmatvam
sp002-000660_RV_02	visfzwetyAdiBiH zaqBiH SlokEH tasya mahAmahimatayA drumAdayoऽpi rAjopacAram cakrurityAha
sp002-000661_RV_02	visfzweti
sp002-000662_RV_02	visfzwAH pArSvAnucarAH pArSvavartino janAH yena tasya
sp002-000663_RV_02	pASaBftA varuRena samasya tulyasya
sp002-000664_RV_02	anena anuBAvaH sUcitaH
sp002-000665_RV_02	tasya rAjYaH pArSvadrumAH
sp002-000666_RV_02	unmadAnAm utkawamadAnAm vayasAm KagAnAm
sp002-000667_RV_02	KagabAlyAdinorvayaH ityamaraH
sp002-000668_RV_02	virAvEH Aloka Sabdam Alokasya vAcakam AlokayA iti SabdamityarTaH
sp002-000669_RV_02	udIrayAmAsuriva avadan iva
sp002-000670_RV_02	iti utprekzA
sp002-000671_RV_02	maruditi
sp002-000672_RV_02	marutprayuktAH vAyunA preritAH bAlalatAH ArAtsamIpe aBivartamAnam
sp002-000673_RV_02	ArAddUrasamIpayorityamaraH
sp002-000674_RV_02	marutaH vAyoH saKA marutsaKaH agniH
sp002-000675_RV_02	sa iva ABAtIti marutsaKABam
sp002-000676_RV_02	AtaScopasarga iti kapratyayaH
sp002-000677_RV_02	tam arcyam pUjyam tam dilIpam prasUnEH puzpEH
sp002-000678_RV_02	pOrakanyAH pOrASca tAH kanyASca pOrakanyAH AcArArTErlAjEH AcAralAjEriva
sp002-000679_RV_02	avAkiran
sp002-000680_RV_02	tasyopari vikziptavatyaH ityarTaH
sp002-000681_RV_02	saKA hi saKAyamAgatam upacaratIti BAvaH
sp002-000682_RV_02	DanurBfta iti
sp002-000683_RV_02	DanurBftoऽpyasya rAjYaH
sp002-000684_RV_02	etena BayasamBAvanA darSitA
sp002-000685_RV_02	taTApi viSaNkEH nirBIkEH antaHkaraREH kartfBiH
sp002-000686_RV_02	dayayA kfpArasena ArdraH siktaH BAvaH aBiprAyaH yasya tat dayArdraBAvam tat AKyAtam
sp002-000687_RV_02	dayArdraBAvametat iti AKyAtamityarTaH
sp002-000688_RV_02	BAvaH sattA svaBAvABiprAyacezwAtmajanmasu iti amaraH
sp002-000689_RV_02	taTAviDam vapuH vilokayantyaH hariRyaH akzRAm prakAmavistArasya atyantaviSalatAyAH Palam ApuH
sp002-000690_RV_02	vimalam kaluzIBavacca cetaH kaTayatyeva hitEziRam ripum ca iti nyAyena
sp002-000691_RV_02	svAntaHkaraRavfttiprAmARyAdeva viSrabDam dadfSuH ityarTaH
sp002-000692_RV_02	sa iti
sp002-000693_RV_02	sa dilIpaH mArutena vAyunA pUrRAni pUritAni ranDrARi yezAm tEstaToktEH
sp002-000694_RV_02	ata eva kUjadBiH svanadBiH kIcakEH veRuviSezEH
sp002-000695_RV_02	veRavaH kIcakAste syuH ye svananti anilodDatAH ityamaraH
sp002-000696_RV_02	uccEH ApAditam sampAditam vaMSaH suziravAdyaviSezaH
sp002-000697_RV_02	vaMSAdikam tu suziram ityamaraH
sp002-000698_RV_02	vaMSasya kftyam kAryam yasminkarmaRi tadyaTA Bavati taTA
sp002-000699_RV_02	kuYjezu latAgfhezu
sp002-000700_RV_02	nikuYjakuYjO vA klIbe latAdipihitodare ityamaraH
sp002-000701_RV_02	vanadevatABiH udgIyamAnam uccErgIyamAnam svam svakIyam yaSaH kIrtim SuSrAva SrutavAn
sp002-000702_RV_02	pfkta iti
sp002-000703_RV_02	girizu nirJarARAm SElanadIpravAhARAm
sp002-000704_RV_02	pravAho nirJaro JaraH ityamaraH
sp002-000705_RV_02	tuzArEH sIkareH
sp002-000706_RV_02	tuzArO himasIkarO iti SASvataH
sp002-000707_RV_02	pfktaH sampfktaH anokahAnAm vfkzARAm AkampitAni IzatkampitAni yAni puzpARi
sp002-000708_RV_02	tezAm yo ganDaH soऽsyAstIti taToktaH
sp002-000709_RV_02	IzatkampitapuzpaganDavAn
sp002-000710_RV_02	evaMSIta mandaH suraBiH pavanaH vAyuH anAtapatram vratArTam parihftacCatram
sp002-000711_RV_02	ata eva AtapaklAntam Atapena sUryatejasA klAntam Kinnam AcArapUtam AcAraSudDam tam dilIpam sizeve
sp002-000712_RV_02	AcArapUtatvAt sa rAjA jagatpAvanasyApi pavanasya sevyaH AsIt iti BAvaH
sp002-000713_RV_02	SaSAmeti
sp002-000714_RV_02	goptari rakzake tasminrAjYi vanam gAhamAne praviSati sati vfzwyA vinApi
sp002-000715_RV_02	davAgniH SaSAma
sp002-000716_RV_02	SAntim prApa
sp002-000717_RV_02	PalAnAm puzpARAm ca vfdDiH
sp002-000718_RV_02	viSizyata iti viSezA
sp002-000719_RV_02	atiSayitA AsIt
sp002-000720_RV_02	karmArTe GaYpratyayaH
sp002-000721_RV_02	sattvezu jantuzu maDye
sp002-000722_RV_02	yataSca nirDAraRamiti saptamI
sp002-000723_RV_02	aDikaH prabalo vyAGrAdiH Unam durbalam hariRAdikam na babADe
sp002-000724_RV_02	na hinastismA
sp002-000725_RV_02	saYcAreti
sp002-000726_RV_02	pallavasya rAgo varRaH pallavarAgaH
sp002-000727_RV_02	rAgoऽnurAge mAtsarye kleSAdO lohitAdizu iti SASvataH
sp002-000728_RV_02	sa iva tAmrA pallavarAgatAmrA pataNgasya sUryasya praBA kAntiH
sp002-000729_RV_02	pataNgaH pakzisUyaryoH iti SASvataH
sp002-000730_RV_02	muneH DenuSca
sp002-000731_RV_02	digantarARi diSAm avakASAn
sp002-000732_RV_02	antaramavakASAvaDi pariDAnAntarTiBedatAdarTye ityamaraH
sp002-000733_RV_02	saYcAreRa pUtAni SudDAni kftvA dinAnte sAyaNkAle nilayAya AstamayAya
sp002-000734_RV_02	Denupakze AlayAya ca
sp002-000735_RV_02	gantum pracakrame
sp002-000736_RV_02	tAmiti
sp002-000737_RV_02	maDyamalokapAlaH BUpAlo dilIpaH
sp002-000738_RV_02	devatApitratiTInAm kriyA yAgaSrAdDadAnAni tA eva arTaH prayojanam yasyAstAm Denum anvak anupadam yayO
sp002-000739_RV_02	anvaganvakzamanugeऽnupadam klIbamavyayam ityamaraH
sp002-000740_RV_02	satAm matena sadBiH sammAnyamAnena
sp002-000741_RV_02	matibudDi ityAdinA vartamAne taH
sp002-000742_RV_02	tasya ca vartamAne iti zazWI
sp002-000743_RV_02	tena rAjYA upapannA yuktA sA DenuH
sp002-000744_RV_02	satAm matena anuzWAnena upapannA SradDA AstikyabudDiriva baBO
sp002-000745_RV_02	sa iti
sp002-000746_RV_02	sa rAjA palvaleByaH alpajalASayeByaH uttIrRAni nirgatAni
sp002-000747_RV_02	bavarAhARAm yUTAni kulAni yezu tAni
sp002-000748_RV_02	barhARyezAm santIti barhiRaH mayUrAH
sp002-000749_RV_02	mayUro barhiRo barhI ityamaraH
sp002-000750_RV_02	PalabarhAByAm inacpratyayo vaktavyaH
sp002-000751_RV_02	iti matvarTIya inacpratyayaH
sp002-000752_RV_02	AvAsavfkzonmuKAH barhiRAH yezu tAni SyAmAyamAnAni
