sp003-000001_RV_03	rAjYI sudakziRA garBamADatta ityuktam
sp003-001437_RV_06	na kevalam mahokzarUpaDAriRaH eva tasya kakudam Arukzat
sp003-001438_RV_06	kintu nijarUpaDAriRopi indrasya arDAsanam ityapiSabdArTaH
sp003-001439_RV_06	aTavA arDAsanamapIti aperanvayaH
sp003-001440_RV_06	jAta iti
sp003-001441_RV_06	urukIrtiH mahAyaSAH kulapradIpaH vaMSapradIpakaH dilIpaH nfpatiH tasya kakutsTasya kule jAtaH kila
sp003-001442_RV_06	yaH dilIpaH SakrAByasUyAvinivfttaye
sp003-001443_RV_06	na tu aSaktyA iti BAvaH
sp003-001444_RV_06	ekena UnAH Satam kratvaH yasya saH ekonaSatakratuH tasya BAve tattve atizWat
sp003-001445_RV_06	indraprItaye Satatamam kratum avaSezitavAn ityarTaH
sp003-001446_RV_06	yasminniti
sp003-001447_RV_06	yasmin dilIpe mahIm SAsati sati
sp003-001448_RV_06	viharati atreti vihAraH krIqAsTAnam
sp003-001449_RV_06	tasya arDapaTe nidrAm gatAnAm vARinInAm mattANganAnAm
sp003-001450_RV_06	vARinI nartakImattAvidagDavanitAsu ca iti viSvaH
sp003-001451_RV_06	vARinyO nartakIdUtyO ityamaraSca
sp003-001452_RV_06	aMSukAni vastrARi vAtoऽpi nAsraMsayat nAkampayat
sp003-001453_RV_06	AharaRAya apahartum kaH hastam lambayet
sp003-001454_RV_06	tasya AjYAsidDatvAt akutoBayasaYcArAH prajAH ityarTaH
sp003-001455_RV_06	arDaSca asO panTASceti vigrahaH
sp003-001456_RV_06	samapraviBAge pramARABAvAt na ekadeSisamAsaH
sp003-001457_RV_06	putra iti
sp003-001458_RV_06	viSvajitaH nAma mahAkratoH prayoktA anuzWAtA tasya dilIpasya putraH raGuH padam pEtryameva
sp003-001459_RV_06	praSAsti pAlayati
sp003-001460_RV_06	yaH raGuH catasfByaH digByaH AvarjitA hftA sammftA samyagvarDitA ca yA
sp003-001461_RV_06	caturdigAvarjitasamBftA tAm viBUtim sampadam mftpAtrameva SezaH yasyAH tAm akarot
sp003-001462_RV_06	viSvajidyAgasya sarvasvadakziRAkatvAt ityarTaH
sp003-001463_RV_06	ArUQam iti
sp003-001464_RV_06	kiYca
sp003-001465_RV_06	adrIn ArUQam
sp003-001466_RV_06	udaDIn vitIrRam avagAQam
sp003-001467_RV_06	sakalaBUgolavyApakam ityarTaH
sp003-001468_RV_06	BujaNgamAnAm vasatim pAtAlam pravizwam
sp003-001469_RV_06	UrDvam svargAdikam gatam vyAptam
sp003-001470_RV_06	itTam sarvadigvyApi ityarTaH
sp003-001471_RV_06	anubaDnAtIti anubanDi ca avicCedi
sp003-001472_RV_06	kAlatrayavyApakam cetyarTaH
sp003-001473_RV_06	ata eva evamBUtam yasya yaSaH iyattayA deSataH kAlato vA kenacinmAnena paricCettum parimAtum nAlam na Sakyam
sp003-001474_RV_06	asAviti
sp003-001475_RV_06	asO ajAKyaH kumAraH
sp003-001476_RV_06	trivizwapasya svargasya patim indram jayantaH iva
sp003-001477_RV_06	jayantaH pAkaSAsaniH ityamaraH
sp003-001478_RV_06	tam raGum anujAtaH
sp003-001479_RV_06	tasmAjjAtaH ityarTaH
sp003-001480_RV_06	tajjAtoऽpi tadanujAtaH Bavati janyajanakayoH AnantaryAt
sp003-001481_RV_06	gatyarTAkarmakaSlizaSINsTAsavasajanaruhajIryatiByaSca iti ktaH
sp003-001482_RV_06	sopasfzwatvAt sakarmakatvam
sp003-001483_RV_06	Aha ca atrEva sUtre vfttikAraH SlizAdayaH sopasfzwAH sakarmakAH Bavanti iti
sp003-001484_RV_06	damyaH SikzaRIyAvasTaH
sp003-001485_RV_06	yaH ajaH gurvIm Buvanasya Duram DuryeRa DuranDareRa ciranirUQena
sp003-001486_RV_06	pitrA sadfSam tulyam yaTA taTA biBarti
sp003-001487_RV_06	yaTA kaScit vatsasaroऽpi DuryeRa mahokzeRa samam vahatIti upamAlaNkAraH Dvanyate
sp003-001488_RV_06	damyavatsatarO samO ityamaraH
sp003-001489_RV_06	kuleneti
sp003-001490_RV_06	kulena kAntyA lAvaRyena navena vayasA yOvanena vinayaH praDAnam yezAm
sp003-001491_RV_06	tEstErguREH SrutaSIlAdiBiSca AtmanaH tulyam syAnurUpam amum ajam tvam vfRIzva
sp003-001492_RV_06	kim bahunA
sp003-001493_RV_06	ratnam kAYcanena samAgacCatu saNgacCatAm
sp003-001494_RV_06	prArTanAyAm low
sp003-001495_RV_06	ratnakAYcanayoriva atyanta anurUpatvAt yuvayoH samAgamaH prArTyate ityarTaH
sp003-001496_RV_06	tata iti
sp003-001497_RV_06	tataH sunandAvacanasya avasAne ante narendrakanyA indumatI lajjAm tanUkftya saNkocya prasAdena
sp003-001498_RV_06	manaHprasAdena amalayA prasannayA dfzwyA saMvaraRasya srajA svayaMvaraRArTam srajeva kumAram ajam pratyagrahIt svIcakAra
sp003-001499_RV_06	samyaksAnurAgam apaSyat ityarTaH
sp003-001500_RV_06	seti
sp003-001501_RV_06	sA kumArI yUni tasmin aje aBilAzabanDam anurAgagranTim SAlInatayA aDfzwatayA
sp003-001502_RV_06	syAdaDfzwe tu SAlInaH ityamaraH
sp003-001503_RV_06	SAlInakOpIne aDfzwAkAryayoH iti nipAtaH
sp003-001504_RV_06	vaktum na SaSAka
sp003-001505_RV_06	taTApi arAlakeSyAH saH aBilAzabanDaH romAYcalakzyeRa pulakavyAjena
sp003-001506_RV_06	vyAjoऽpadeSo lakzyam ca ityamaraH
sp003-001507_RV_06	gAtrayazwim BittvA nirAkrAmat
sp003-001508_RV_06	sAttvikAvirBAvaliNgena prakASitaH ityarTaH
sp003-001509_RV_06	taTeti
sp003-001510_RV_06	saKyAm indumatyAm taTAgatAyAm taTABUtAyAm
sp003-001511_RV_06	dfzwAnurAgAyAm satyAm ityarTaH
sp003-001512_RV_06	saKI sahacarI
sp003-001513_RV_06	saKyaSiSvIti BAzAyAm iti nipAtanAt NIz
sp003-001514_RV_06	vetraBft sunandA
sp003-001515_RV_06	he Arye pUjye anyataH anyam prati vrajAmaH iti parihAsapUrvam AbaBAze
sp003-001516_RV_06	aTa vaDUH indumati yenAm sunandAm asUyayA rozeRa kuwilam dadarSa
sp003-001517_RV_06	anyagamanasya asahyatvAt ityarTaH
sp003-001518_RV_06	seti
sp003-001519_RV_06	karaBaH karapradeSaviSezaH
sp003-001520_RV_06	maRibanDAt AkanizWam karasya karaBo bahiH ityamaraH
sp003-001521_RV_06	karaBaH upamA yayoH tO UrU yasyAH sA karaBopamorUH
sp003-001522_RV_06	UrUttarapadAdOpamye ityUNpratyayaH
sp003-001523_RV_06	sA kumArI cUrRena maNgalacUrRena gOram lohitam guRam srajam
sp003-001524_RV_06	mUrtam mUrtimantam anurAgamiva
sp003-001525_RV_06	DAtryAH upamAtuH sunandAyAH karAByAm raGunandanasya ajasya kaRWe yaTApradeSam yaTAsTAnam AsaYjayAmAsa Asaktam kArayAmAsa
sp003-001526_RV_06	na tu svayam AsasaYja
sp003-001527_RV_06	anOcityAt
sp003-001528_RV_06	tayeti
sp003-001529_RV_06	vareRyaH varaRIyaH utkfzwaH
sp003-001530_RV_06	vfYa eRyaH
sp003-001531_RV_06	saH ajaH maNgalapuzpamayyA maDukAdikusumamayyA viSAlavfkzaHsTale lambayA
sp003-001532_RV_06	lambamAnayA tayA prakftayA srajA vidarBarAjAvarajAm indumatIm kaRWArpitO bAhU eva pASO yayA tAm amaMsta
sp003-001533_RV_06	manyaterluNga
sp003-001534_RV_06	bAhupASakalpasuKam anvaBUdityarTaH
sp003-001535_RV_06	SaSinamiti
sp003-001536_RV_06	tatra svayaMvare samaguRayoH tulyaguRayoH indumatIraGunandanayoH yogena prItiH yezAm te samaguRayogaprItayaH
sp003-001537_RV_06	pOrAH pure BavAH janAH iyam ajasaNgatA indumatI meGEH muktam SaSinam Saraccandram upagatA kOmudI
sp003-001538_RV_06	anurUpam sadfSam jalaniDim avatIrRA pravizwA jahnukanyA BAgIraTI
sp003-001539_RV_06	tatsadfSI ityarTaH
sp003-001540_RV_06	ityevam nfpARAm SravaRayoH kawu paruzam ekam avisaMvAdi vAkyam ekavAkyam vivavruH
sp003-001541_RV_06	vivavruH
sp003-001542_RV_06	mAlinIvfttam
sp003-001543_RV_06	pramuditeti
sp003-001544_RV_06	ekataH ekatra pramuditaH hfzwaH varasya jAmAtuH pakzaH vargaH yasya tat taToktam
sp003-001545_RV_06	anyatra anyataH anyatra vitAnam SUnyam
sp003-001546_RV_06	BagnASatvAt aprahfzwam ityarTaH
sp003-001547_RV_06	tatkzitipatimaRqalam
sp003-001548_RV_06	uzasi praBAte praPullapadmam kumudavanena pratipannanidram prAptanimIlanam saraH iva sarastulyam
sp003-001549_RV_06	AsIt
sp003-001550_RV_06	puzpitAgrAvfttametat
sp003-001551_RV_06	iti mahAmahopADyAyakolAcalamallinATasUriviracitayA saYjIvinIsamAKyayA vyAKyayA sametaH
sp003-001552_RV_06	mahAkaviSrIkAlidAsakftO raGuvaMSe mahAkAvye svayaMvaravarRano nAma zazWaH sargaH
sp003-001553_RV_10	pfTivImiti
sp003-001554_RV_10	pfTivIm SAsataH pAlayataH pAkaSAsanatejasaH indravarcasaH
sp003-001555_RV_10	anUnarTeH mahAsamfdDeH tasya daSaraTasya kiYcit Unam IzannyUnam
sp003-001556_RV_10	SaradAm vatsarARAm syAdftO vatsareSarat ityamaraH
sp003-001557_RV_10	ayutam daSasahasram yayO
sp003-001558_RV_10	ekadaSaSatasahasrARyayutam lakzam taTA prayutam kowyarbudam ca padmam sTAnAtsTAnam daSaguRam syAt
sp003-001559_RV_10	ityAryaBawwaH
sp003-001560_RV_10	idam ca muniSApAtparam veditavyam na tu jananAt
sp003-001561_RV_10	zazwivarzasahasrARi jAtasya mama kOSika
sp003-001562_RV_10	duHKenotpAditaScAyam na rAmam netumarhasi
sp003-001563_RV_10	iti rAmAyaRaviroDAt
sp003-001564_RV_10	nApyaBizekAtparam tasyApi samyagvinItamaTa varmaharam kumAram AdiSya
sp003-001565_RV_10	rakzaRaviDo viDivatprajAnAm iti kOmArAnuzWitatvABiDAnAt sa eva viroDaH iti
sp003-001566_RV_10	na ceti
sp003-001567_RV_10	saH daSaraTaH pUrvezAm pitFRAm fRanirmokzasADanam
sp003-001568_RV_10	eza vA anfRo yaH putrI iti SruteH
sp003-001569_RV_10	pitFRAm fRarnimuktikAraRam
sp003-001570_RV_10	sadyaH SokaH eva tamaH tadapahantIti Sokatamopaham
sp003-001571_RV_10	atra aBayakara itivat upapadeऽpi tadantaviDim ASritya ape kleSatamasoH iti qapratyayaH
sp003-001572_RV_10	sutABiDAnam sutAKyam jyotiH nopaleBe na prApa ca
sp003-001573_RV_10	atizWaditi
sp003-001574_RV_10	pratyayam hetum apekzata iti pratyayApekzA santatiH yasya saH taToktaH
sp003-001575_RV_10	pratyayoऽDInaSapaTajYAnaviSvAsahetuzu ityamaraH
sp003-001576_RV_10	sa nfpaH manTAtprAk manTanAtpUrvam anaBivyaktA adfzwA
sp003-001577_RV_10	ratnotpattiH yasya saH arRavaH iva ciram atizWat
sp003-001578_RV_10	sAmagryaBAvAt vilambaH na tu vanDyatvAt iti BAvaH
sp003-001579_RV_10	fzyaSfNgeti
sp003-001580_RV_10	fzyaSfNgAdayaH
sp003-001581_RV_10	fzyaSfNgo nAma kaScidfziH
sp003-001582_RV_10	tadAdayaH
sp003-001583_RV_10	ftum ftO vA yajantIti ftvijaH yAjYikAH
sp003-001584_RV_10	ftvigdaDfk ityAdinA kvinnantaH nipAtaH
sp003-001585_RV_10	jitAtmAnaH jitAntaHkaraRA santaH santAnakANkziRaH
sp003-001586_RV_10	putrArTinaH tasya daSaraTasya putrIyAm putranimittAm
sp003-001587_RV_10	putrAcCa ca iti CapratyayaH
sp003-001588_RV_10	izwim yAgam AreBire pracakramire
sp003-001589_RV_10	tasminniti
sp003-001590_RV_10	tasminnavasare putrakAmezwipravfttisamaye devAH pulastyasya gotrApatyam pumAnpOlastyaH rAvaRaH
sp003-001591_RV_10	tena upaplutAH pIqitAH santaH nidAGArtAH GarmAturAH
sp003-001592_RV_10	aDvAnam gahaCantIti aDvagAH pAnTAH
sp003-001593_RV_10	antAtyantADvadUrapArasarvAnantezu qaH iti qapratyayaH
sp003-001594_RV_10	CAyApraDAnam vfkzam CAyAvfkzam iva
sp003-001595_RV_10	SAkapArTivAditvAtsamAsaH
sp003-001596_RV_10	harim vizRum aBijagmuH
sp003-001597_RV_10	ta iti
sp003-001598_RV_10	te devASca udanvantam samudram
sp003-001599_RV_10	udanvAnudaDO ca iti nipAtaH
sp003-001600_RV_10	prApuH
sp003-001601_RV_10	AdipUruzaH vizRuSca bubuDe
sp003-001602_RV_10	yoganidrAm jahAvityarTaH
sp003-001603_RV_10	gamanapratiboDayoH avilambArTO cakArO
sp003-001604_RV_10	taTAhi
sp003-001605_RV_10	avyAkzepaH gamyasya avyAsaNgaH
sp003-001606_RV_10	avilambaH iti yAvat
sp003-001607_RV_10	BavizyadyAha kAryasidDeH lakzaRam liNgam hi
sp003-001608_RV_10	uktam ca ananyaparatA cAsya kAryasidDestu lakzaRam iti
sp003-001609_RV_10	BogIti
sp003-001610_RV_10	dyOH okaH yezAm te divOkasaH devAH
sp003-001611_RV_10	pfzodarAditvAtsADuH
sp003-001612_RV_10	yadvA divaSabdaH adantoऽpyasti
sp003-001613_RV_10	TA ca budDacarite na SoBate tena hi no vinA puram marutvatA vftravaDe yaTA divam iti
sp003-001614_RV_10	atra divu krIqAdO iti DAtoH igupaDa ityAdinA kaH
sp003-001615_RV_10	divam okaH ezAm iti vigrahaH
sp003-001616_RV_10	BoginaH Sezasya BogaH SarIram
sp003-001617_RV_10	BogaH suKe sryAdiBftO aheSca PaRakAyayoH ityamaraH
sp003-001618_RV_10	sa eva Asanam siMhAsanam
sp003-001619_RV_10	tatra AsInam upavizwam
sp003-001620_RV_10	AseH SAnac
sp003-001621_RV_10	IdAsaH iti IkArAdeSaH
sp003-001622_RV_10	tasya BoginaH PaRAmaRqale ye udarcizaH udraSmayaH maRayaH tEH dyotitavigraham tam vizRum dadfSuH
sp003-001623_RV_10	Sriya iti
sp003-001624_RV_10	kIdfSam vizRum
sp003-001625_RV_10	padme nizaRRAyAH upavizwAyAH SriyaH kzOmAntaritA
sp003-001626_RV_10	dukUlavyavahitA meKalA yasya tasmin
sp003-001627_RV_10	AstIrRO karapallavO pARipallavO yasmin
sp003-001628_RV_10	viSezaRadvayenApi caraRayoH sOkumAryAt kawimeKalAsparSa asahatvam sUcyate
sp003-001629_RV_10	tasminnaNge nikziptO caraRO yena tam
sp003-001630_RV_10	prabudDeti
sp003-001631_RV_10	punaH kIdfSam
sp003-001632_RV_10	prabudDe vikasite puRqarIke iva akziRI yasya tam
sp003-001633_RV_10	divase tu puRqarIkameva akzi yasyeti vigrahaH
sp003-001634_RV_10	bAlAtapaniBam aMSukam yasya tam
sp003-001635_RV_10	pItAmbaraDaram ityarTaH
sp003-001636_RV_10	anyatra bAlAtapavyAjAMSukam ityarTaH
sp003-001637_RV_10	niBo vyAjasadfkzayoH iti viSvaH
sp003-001638_RV_10	prakfzwaH AramBaH yogaH yezAm te prAramBAH prakfzwodyogAH yoginaH tezAm suKadarSanam
sp003-001639_RV_10	anyatra prAramBaH AdO suKadarSanam SAradam SaratsambanDinam divasamiva sTitam
sp003-001640_RV_10	praBeti
sp003-001641_RV_10	punaH kiMviDam
sp003-001642_RV_10	praBayA anuliptam anuraYjitam SrIvatsam nAma lAYCanam yena tam
sp003-001643_RV_10	lakzmyAH viBramadarpaRaH kOstuBaH ityAKyA yasya tam
sp003-001644_RV_10	apAm samudrARAm sAram sTirAMSam
sp003-001645_RV_10	ammayamaRim ityarTaH
sp003-001646_RV_10	bfhatorasA viBrARam
sp003-001647_RV_10	bAhuBiriti
sp003-001648_RV_10	viwapAkArEH SAKAkArEH divyABaraRaBUzitEH bAhuBiH upalakzitam
sp003-001649_RV_10	ata eva apAm sEnDavAnAm maDye AvirBUtam aparam dvitIyam pArijAtamiva sTitam
sp003-001650_RV_10	dEtyeti
sp003-001651_RV_10	dEtyastrIgaRqaleKAnAm asurANganAgaRRqasTalInAm yaH madarAgaH
sp003-001652_RV_10	tam vilumpanti harantIti madarAgavilopinaH
sp003-001653_RV_10	tEH cetanAvadBiH sajIvEH hetiBiH sudarSanAdiBiH SastrEH
sp003-001654_RV_10	raverarciSca Sastram ca vahnijvAlA ca hetayaH ityamaraH
sp003-001655_RV_10	udIritajayasvanam
sp003-001656_RV_10	jayaSabdam udGozayantIBiH mUrtimatIBiH astradevatABiH upAsyamAnam ityarTaH
sp003-001657_RV_10	mukteti
sp003-001658_RV_10	muktaH BagavatsanniDAnAttyaktaH SezeRa ahISvareRa saha viroDaH sahajamiti vEram yena tena
sp003-001659_RV_10	kuliSavraRAH amftAharaRakAle indrayudDe ye vajraprahArAH te eva lakzmARi yasya saH tena
sp003-001660_RV_10	prabadDaH aYjaliH yena tena prAYjalinA
sp003-001661_RV_10	kftAYjalinA ityarTaH
sp003-001662_RV_10	vinItena anudDatena garutmatA upasTitam upAsitam
sp003-001663_RV_10	purA kila mAtaliprArTitena BagavatA tadduhituH guRakeSyAH patyuH kasyacitsarpasya
sp003-001664_RV_10	garuqAt aBayadAne kfte svavipakzaraRakzuBitam pakzirAjam tvadvoQA aham tvattaH balAQyaH
sp003-001665_RV_10	iti garvitam svavAmatarjanIBAreREva BaNktvA BagavAn vininAya iti mahABAratIyAm kaTAm sUcayati vinItena ityanena
sp003-001666_RV_10	yogeti
sp003-001667_RV_10	yogaH manasaH vizayAntaravyAvfttiH tadrUpA yA nidrA tasyAH ante avasAne viSadEH prasannEH
sp003-001668_RV_10	pAvanEH SoDanEH avalokanEH suKaSayanam pfcCantIti sOKaSAyanikAH tAn
sp003-001669_RV_10	pfcCatO susnAtAdiByaH ityupasaNKyAnAt WakpratyayaH
sp003-001670_RV_10	BfgvAdIn fzIn anugfhRantam
sp003-001671_RV_10	praRipatyeti
sp003-001672_RV_10	aTa darSanAnantaram surAH suradvizAm asurARAm Samayitre
sp003-001673_RV_10	vinASakAya tasmE vizRave praRipatya stutyam stotrArham
sp003-001674_RV_10	etistuSAsvfdfjuzaH kyap iti kyappratyayaH
sp003-001675_RV_10	vAkca manaSca vANmanase
sp003-001676_RV_10	acatura ityAdinA acpratyayAnto nipAtaH
sp003-001677_RV_10	tayoH gocaraH vizayaH na BavatIti avANmanasagocaraH
sp003-001678_RV_10	yadAha yato vAco nivartante aprApya manasA saha iti SrutiH
sp003-001679_RV_10	tam enam vizRum tuzwuvuH astuvan
sp003-001680_RV_10	nama iti
sp003-001681_RV_10	pUrvam AdO viSvasfje viSvasrazwre tadanu sargAnantaram viSvam viBrate puzRate
sp003-001682_RV_10	aTa viSvasya saMhartre
sp003-001683_RV_10	evam treDA sfzwisTitisaMhArakartftvena sTitaH AtmA svarUpam
sp003-001684_RV_10	yasya tasmE brahmavizRuharAtmane tuByam namaH
sp003-001685_RV_10	nanu kUwasTasya kaTam trErUpyam ityASaNkya OpADikam ityAha
sp003-001686_RV_10	rasAntarARIti
sp003-001687_RV_10	ekarasam maDurEkarasam divi Bavam divyam payaH varzodakam deSe deSe
sp003-001688_RV_10	UzarAdideSe anyAn anyAnrasAnrasAntarARi lavaRAdIni yaTA aSnute prApnoti
sp003-001689_RV_10	evam avikriyaH nirvikAraH
sp003-001690_RV_10	ekarUpa ityarTaH
sp003-001691_RV_10	tvam guRezu sattvAdizu avasTAH srazwftvAdirUpAH aSnuze
sp003-001692_RV_10	ameya iti
sp003-001693_RV_10	he deva tvam ameyaH lokEH iyattayA na paricCedyaH
sp003-001694_RV_10	mitalokaH paricCinnalokaH
sp003-001695_RV_10	anarTI niHspfhaH
sp003-001696_RV_10	AvahatIti AvahaH
sp003-001697_RV_10	pacAdyac
sp003-001698_RV_10	prArTanAnAm AvahaH kAmadaH
sp003-001699_RV_10	ajitaH anyEH na jitaH
sp003-001700_RV_10	jizRuH jayaSIlaH
sp003-001701_RV_10	atyantam avyaktaH atisUkzmarUpaH
sp003-001702_RV_10	vyaktasya sTUlarUpasya kAraRam
sp003-001703_RV_10	hfdayasTamiti
sp003-001704_RV_10	he deva tvAm hfdayasTam sarvAntaryAmitayA nityasannihitam
sp003-001705_RV_10	taTApi Asannam agamyarUpatvAt viprakfzwam ca viduH
sp003-001706_RV_10	sannikfzwasyApi viprakfzwatvam iti viroDaH
sp003-001707_RV_10	taTA akAmam
sp003-001708_RV_10	na kAmaH aBilAzaH asya tam paripUrRatvAt niHspfhatvAcca nizkAmam
sp003-001709_RV_10	taTApi tapasvinam praSastatapoyuktam viduH
sp003-001710_RV_10	yaH nizkAmaH saH kaTam tapaH kurute iti viroDaH
sp003-001711_RV_10	parihArastu fzirUpeRa dustaram tapaH tapyate
sp003-001712_RV_10	dayAlum paraduHKaprahARaparam taTApi anaGaspfzwam nityAnandasvarUpatvAt aduHKinam viduH
sp003-001713_RV_10	aGam duritaduHKayoH iti viSvaH
sp003-001714_RV_10	dayAluH aduHKI ceti viroDaH
sp003-001715_RV_10	IrzI GfRI tvasantuzwaH kroDano nityaSaNkitaH
sp003-001716_RV_10	paraBAgyopajIvI ca zaqete nityaduHKitAH iti mahABArate
sp003-001717_RV_10	purARam anAdim ajaram nirvikAratvAt akzaram viduH
sp003-001718_RV_10	cirantanam na jIryata iti viroDAlaNkAraH
sp003-001719_RV_10	uktam ca ABAsatve viroDasya viroDAlaNkftirmatA iti
sp003-001720_RV_10	viroDena ca alOkikamahimatvam vyajyate
sp003-001721_RV_10	sarvajYa iti
sp003-001722_RV_10	tvam sarvam jAnAtIti sarvajYaH
sp003-001723_RV_10	igupaDa ityAdinA kapratyayaH
sp003-001724_RV_10	avijYAtaH
sp003-001725_RV_10	na kenApi vijYAtaH ityarTaH
sp003-001726_RV_10	tvam sarvasya yoniH kAraRam
sp003-001727_RV_10	tvamAtmanaH eva BavatIti AtmaBUH
sp003-001728_RV_10	na te kiYcitkAraRam astItyarTaH
sp003-001729_RV_10	tvam sarvasya praBuH
sp003-001730_RV_10	tvam anISaH
sp003-001731_RV_10	tvam ekaH sarvarUpaBAk
sp003-001732_RV_10	tvam eka eva sarvAtmanA vartase ityarTaH
sp003-001733_RV_10	sapteti
sp003-001734_RV_10	he deva tvAm saptaBiH sAmaBiH raTantarAdiBiH upagItam
sp003-001735_RV_10	tadDitArTa ityuttarapadasamAsaH
sp003-001736_RV_10	saptAnAm arRavAnAm jalam saptArRavajalam
sp003-001737_RV_10	pUrvavatsamAsaH
sp003-001738_RV_10	tatra Sete yaH saH saptArRavajaleSayaH
sp003-001739_RV_10	tam
sp003-001740_RV_10	SayavAsavAsizvakAlAt ityaluk
sp003-001741_RV_10	saptArciH muKam yasya tam
sp003-001742_RV_10	agnimuKA vE devAH iti SruteH
sp003-001743_RV_10	saptAnAm lokAnAm BUrBuvaHsvarAdInAm ekasaMSrayam
sp003-001744_RV_10	evamBUtam AcaKyuH
sp003-001745_RV_10	caturvargaPalamiti
sp003-001746_RV_10	caturRAm DarmArTakAmamokzARAm vargaH caturvargaH
sp003-001747_RV_10	trivargo DarmakAmArTEH caturvargaH samokzakEH ityamaraH
sp003-001748_RV_10	tatPalakam yajjYAnam
sp003-001749_RV_10	catvAri yugAni kftatretAdIni yAsu tAH caturyugAH kAlAvasTAH kAlaparimARam
sp003-001750_RV_10	catvAraH varRAH prakftA ucyante yasminniti caturvarRamayaH
sp003-001751_RV_10	cAturvarRyapracuraH ityarTaH
sp003-001752_RV_10	tatprakftavacane mayaw
sp003-001753_RV_10	tadDitArTa ityAdinA tadDitArTe vizaye tatpuruzaH
sp003-001754_RV_10	saH lokaH
sp003-001755_RV_10	ityevaMrUpam sarvam caturmuKAt caturmuKarUpiRaH tvattaH
sp003-001756_RV_10	jAtamiti SezaH
sp003-001757_RV_10	idam sarvamasfjata yadidam kiYca iti SruteH
sp003-001758_RV_10	aByAseti
sp003-001759_RV_10	aByAsena nigfhItam vizayAntareByaH nivartitam
sp003-001760_RV_10	tena manasA yoginaH hfdayASrayam hftpadmasTam jyotirmayam
sp003-001761_RV_10	tvAm vimuktaye mokzArTam vicinvanti anvizyanti
sp003-001762_RV_10	DyAyantItyarTaH
sp003-001763_RV_10	ajasyeti
sp003-001764_RV_10	na jAyate ityajaH
sp003-001765_RV_10	anyezvapi dfSyate iti qapratyayaH
sp003-001766_RV_10	tasyA ajasya janmaSUnyasyApi janma gfhRataH
sp003-001767_RV_10	matsyAdirUpeRa jAyamAnasya
sp003-001768_RV_10	nirIhasya cezwArahitasyApi hatadvizaH SatruGAtinaH jAgarUkasya
sp003-001769_RV_10	sarvasAkzitayA nityaprabudDasyApi svapataH yoganidrAm anuBavataH
sp003-001770_RV_10	itTam virudDacezwasya tava yATArTyam ko veda vetti
sp003-001771_RV_10	vido lawo vA iti RalAdeSaH
sp003-001772_RV_10	SabdAdIriti
sp003-001773_RV_10	kiYca
sp003-001774_RV_10	kfzRAdirUpeRa SabdAdIn vizayAn Boktum naranArAyaRAdirUpeRa duScaram tapaScaritum
sp003-001775_RV_10	taTA dEtyamardanena prajAH pAtum OdAsInyena tAwasTyena vartitum ca paryAptaH samarToऽsi
sp003-001776_RV_10	BogatapasoH pAlanOdAsInyayoSca parasparavirudDayoH AcaraRe tvadanyaH kaH samarTaH ityarTaH
sp003-001777_RV_10	bahuDeti
sp003-001778_RV_10	AgamEH trayIsANKyAdiBiH darSanEH bahuDA BinnAH api
sp003-001779_RV_10	sidDihetavaH puruzArTasADakAH panTAnaH upAyAH
sp003-001780_RV_10	jAhnavyAH ime jAhnavIyAH gANgAH
sp003-001781_RV_10	vfdDAcCaH iti CapratyayaH
sp003-001782_RV_10	oGAH pravAhAH
sp003-001783_RV_10	teऽpi AgamEH AgatiBiH bahuDA BinnAH sidDihetavaSca arRave iva tvayyeva nipatanti praviSanti
sp003-001784_RV_10	yena kenApi rUpeRa tvAmeva upayAntItyarTaH
sp003-001785_RV_10	yaTAhurAcAryAH kim bahunA kAravoऽpi viSvakarmetyupAsate iti
sp003-001786_RV_10	tvayIti
sp003-001787_RV_10	tvayi AveSitam niveSitam cittam yEstezAm
sp003-001788_RV_10	tuByam samarpitAni karmARi yEstezAm
sp003-001789_RV_10	manmanA Bava madBakto madyAjI mAm namaskuru
sp003-001790_RV_10	mAmevEzyasi kOnteya pratijAne priyoऽsi me
sp003-001791_RV_10	iti BagavadvacanAt
sp003-001792_RV_10	vItarAgARAm viraktAnAm aBUyaHsannivfttaye apunarAvfttaye mokzAya ityarTaH
sp003-001793_RV_10	tvameva gatiH sADanam
sp003-001794_RV_10	tamevam viditvA atimftyumeti nAnyaH panTA vidyate ayanAya iti SruterityarTaH
sp003-001795_RV_10	pratyakza iti
sp003-001796_RV_10	pratyakzaH pratyakzapramARagamyoऽpi tava mahyAdiH pfTivyAdiH mahimA ESvaryam aparicCedyaH
sp003-001797_RV_10	iyattayA nAvaDAryaH
sp003-001798_RV_10	AptavAgvedaH
sp003-001799_RV_10	yato vA imAni BUtAni jAyante ityAdiSruteH
sp003-001800_RV_10	anumAnam kzityAdikam sakartfkam kAryatvAt GawavadityAdikam
sp003-001801_RV_10	tAByAm sADyam gamyam tvAm prati kA kaTA
sp003-001802_RV_10	pratyakzamapi tvatkftam jagat aparicCedyam
sp003-001803_RV_10	tatkAraRam apratyakzaH tvam aparicCedyaH iti kimu vaktavyamityarTaH
sp003-001804_RV_10	kevalamiti
sp003-001805_RV_10	smaraRena kevalam kftsnam
sp003-001806_RV_10	kevalaH kftsna ekaSca iti SASvataH
sp003-001807_RV_10	puruzam smartAram janam punAsi yataH yad ityarTaH
